AGENT_TYPE,PREFERRED NAME,PREFERRED 1,PREFERRED 2,PREFERRED 3,PREFERRED 4,PREFERRED 5,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,A. A. Babcock,,,,,,A. A. Babcock,A.A. Babcock,A.A. Babcock
person,A. A. Barden,,,,,,A. A. Barden,A A Barden,A A Barden
person,A. A. Heamphreys,,,,,,General A.A. Heamphreys,Gen. A.A. Heamphreys,Gen. A.A. Heamphreys
person,A. A. Hinkley,,,,,,A. A. Hinkley,A.A. Hinkley,A.A. Hinkley
person,A. A. Hinkley,,,,,,A. A. Hinkley,A. A. Hinkley,A. A. Hinkley
person,A. A. Hinkley,,,,,,A. A. Hinkley,A.A. Hinkley,AMBIGUOUS
person,A. A. Hinkley,,,,,,A. A. Hinkley,A.A. Hinkley,"Purchased, A.A. Hinkley"
person,A. A. Humphreys,,,,,,General A. A. Humphreys,Brigadeer General A. A. Humphreys,Brigadeer General A. A. Humphreys
person,A. A. Peterson,,,,,,A. A. Peterson,A.A. Peterson,A.A. Peterson
person,A. A. Young,,,,,,A. A. Young,A.A. Young,A.A. Young
person,A. A. Young,,,,,,Reverend A.A. Young,Rev. A.A. Young,Rev. A.A. Young
person,A. Ackerman,,,,,,A. Ackerman,A. Ackerman,A. Ackerman
person,A. Ackerman,,,,,,A. Ackerman,A. Ackerman,AMBIGUOUS
person,A. Ackermann,,,,,,A. Ackermann,A. Ackermann,A. Ackermann
person,A. Aiello,,,,,,A. Aiello,A. Aiello,A. Aiello
person,A. August Pahnke,,,,,,A. August Pahnke,A. August Pahnke,A. August Pahnke
person,A. Ayyash,,,,,,A. Ayyash,A. Ayyash,A. Ayyash
person,A. B. Bertolet,,,,,,A. B. Bertolet,A. B. Bertolet,A. B. Bertolet
person,A. B. Gard,,,,,,A. B. Gard,A.B. Gard,A.B. Gard
person,A. B. Hine,,,,,,A. B. Hine,A.B. Hine,A.B. Hine
person,A. B. Horrell,,,,,,A. B. Horrell,A B Horrell,A B Horrell
person,A. B. Howell,,,,,,A. B. Howell,A.B. Howell,A.B. Howell
person,A. B. Johnson,,,,,,A. B. Johnson,A.B. Johnson,A.B. Johnson
person,A. B. Lichtenberg,,,,,,A. B. Lichtenberg,A B Lichtenberg,A B Lichtenberg
person,A. B. Lichtenberg,,,,,,Dr. A. B. Lichtenberg,Dr. A.B. Lichtenberg,Dr. A.B. Lichtenberg
person,A. B. Walcott,,,,,,A. B. Walcott,A.B. Walcott,A.B. Walcott
person,A. B. Walcott,,,,,,A. B. Walcott,A. B. Walcott,A. B. Walcott
person,A. B. Wolcott,,,,,,A. B. Wolcott,A.B.Wolcott,A.B.Wolcott
person,A. B. Wolcott,,,,,,A. B. Wolcott,A.B. Wolcott,A.B. Wolcott
person,A. B. Wolcott,,,,,,A. B. Wolcott,A. B. Wolcott,A. B. Wolcott
person,A. B. Wolcott,,,,,,Mrs. A. B. Wolcott,Mrs. A.B. Wolcott,Mrs. A.B. Wolcott
person,A. Ballard,,,,,,A. Ballard,A. Ballard,A. Ballard
person,A. Barden,,,,,,A. Barden,A Barden,A Barden
person,A. Bernier,,,,,,A. Bernier,A. Bernier,A. Bernier
person,A. Blair,,,,,,A. Blair,A. Blair,A. Blair
organization,A. Booth Packing Company,,,,,,A. Booth Packing Co. ,A. Booth Packing Co.,A. Booth Packing Co.
organization,A. Booth Packing Company,,,,,,Booth Packing Company,Booth Packing Company,Booth Packing Company
person,A. Brinkman,,,,,,A. Brinkman,A. Brinkman,A. Brinkman
person,A. Brooks,,,,,,A. Brooks,A. Brooks,A. Brooks
person,A. Brooks,,,,,,A. Brooks,A Brooks,A Brooks
person,A. Brooks,,,,,,A. Brooks,A. Brooks,H.M. Laing from A. Brooks
person,A. C. Bent,,,,,,A. C. Bent,A.C. Bent,A.C. Bent
person,A. C. Bent,,,,,,A. C. Bent,A C Bent,A C Bent
person,A. C. Billups,,,,,,A. C. Billup,A.C. Billup,A.C. Billup
person,A. C. Billups,,,,,,A. C. Billups,A.C. Billups,A.C. Billups
person,A. C. Billups,,,,,,A. C. Billups,A. C. Billups,A. C. Billups
person,A. C. Harris,,,,,,A. C. Harris,A.C. Harris,A.C. Harris
person,A. C. Higginbotham,,,,,,A. C. Higginbotham,A C Higginbotham,A C Higginbotham
person,A. C. Holden,,,,,,A. C. Holden,A C Holden,A C Holden
person,A. C. Marsh,,,,,,A.C. Marsh,Prof. A.C. Marsh,Prof. A.C. Marsh
person,A. C. Rogers,,,,,,A. C. Rogers,A.C. Rogers,A.C. Rogers
person,A. C. Rogers,,,,,,A. C. Rogers,A C Rogers,A C Rogers
person,A. C. Rosrustone,,,,,,A. C. Rosrustone,A.C. Rosrustone,A.C. Rosrustone
person,A. C. Siebold,,,,,,A. C. Siebold,A.C. Siebold,A.C. Siebold
person,A. C. Sieborth,,,,,,A. C. Sieborth,A.C. Sieborth,A.C. Sieborth
person,A. C. Sieboth,,,,,,A. C. Sieboth,A.C. Sieboth,A.C. Sieboth
person,A. C. Twomey,,,,,,A. C. Twomey,A.C. Twomey,A.C. Twomey
person,A. C. Webb,,,,,,A. C. Webb,A.C. Webb,A.C. Webb
person,A. C. Weed,,,,,,A. C. Weed,A C Weed,A C Weed
person,A. Carter,,,,,,A. Carter,A. Carter,A. Carter
person,A. Chase,,,,,,A. Chase,A. Chase,A. Chase
person,A. Covili,,,,,,A. Covili,A. Covili,A. Covili
person,A. Crocker,,,,,,A. Crocker,A. Crocker,A. Crocker
person,A. D. Davidson,,,,,,A. D. Davidson,A.D. Davidson,A.D. Davidson
person,A. D. Davidson,,,,,,Mrs. A. D. Davidson,Mrs. A.D. Davidson,Mrs. A.D. Davidson
person,A. D. Davies,,,,,,A. D. Davies,A.D. Davies,A.D. Davies
person,A. D. Davis,,,,,,A. D. Davis,A.D. Davis,A.D. Davis
person,A. D. Hagan,,,,,,A.D. Hagan,Prof. A.D. Hagan,Prof. A.D. Hagan
person,A. D. Stecher,,,,,,A. D. Stecher,A.D. Stecher,A.D. Stecher
person,A. D. Stecher,,,,,,Reverend A. D. Stecher,Reverend A.D. Stecher,Reverend A.D. Stecher
person,A. E. Borell,,,,,,A. E. Borell,A.E. Borell,A.E. Borell
person,A. E. Butler,,,,,,A. E. Butler,A.E. Butler,A.E. Butler
person,A. E. Carlson,,,,,,A. E. Carlson,A.E. Carlson,A.E. Carlson
person,A. E. D. Scott,,,,,,A. E. D. Scott,A.E.D. Scott,A.E.D. Scott
person,A. E. Ebert,,,,,,A. E. Ebert,A.E. Ebert,A.E. Ebert
person,A. E. Ebert,,,,,,A. E. Ebert,A. E. Ebert,J.A. Gibson through A.E. Ebert
person,A. E. Emerson,,,,,,A. E. Emerson,A E Emerson,A E Emerson
person,A. E. Emerson,,,,,,Dr. A. E. Emerson,Dr. A.E. Emerson,Dr. A.E. Emerson
person,A. E. Foote,,,,,,A. E. Foote,A.E. Foote,A.E. Foote
person,A. E. Johnson,,,,,,A. E. Johnson,A.E. Johnson,A.E. Johnson
person,A. E. Kent,,,,,,A. E. Kent,A.E. Kent,A.E. Kent
person,A. E. Lytle,,,,,,A. E. Lytle,A.E. Lytle,A.E. Lytle
person,A. E. Ortmann,,,,,,A. E. Ortmann,A.E. Ortmann,A.E. Ortmann
