KEY_TO_RAW,HIGHER_GEOG,municipality
"""? ? Peard Bay south of Barrow 40 miles"", Barrow Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"""Avery Is. La""","North America, United States, Louisiana, Iberia Parish, Avery Island",Avery Island
"""beach"", Lake Co., Ill [Illinois]","North America, United States, Illinois, Lake County",Beach Park
"""Breton Island""","North America, Canada, Nova Scotia",
"""Cameron, Orange Land Co."" back of tag","North America, United States, Louisiana, Cameron Parish",
"""Florida""","North America, United States, Florida",
"""Indian Ridge"", Cummings, Cook Co., Ill. [Illinois]","North America, United States, Illinois, Cook County",Chicago
"""Lake Clear, Renfrew Co. Ontario""","North America, Canada, Ontario, Renfrew County",
"""Lita""","North America, United States, Minnesota, Otter Tail County",Lida Township
"""Lower Cal"" [Sierra del la Laguna is a mountain range on the sourthern end of the Baja Peninsula]","North America, Mexico, Baja California Sur",
"""Masol NR: Sigor"" [Kenya?]","Africa, Kenya, West Pokot",Sigor
"""N.W.U."" [Northwestern University]","North America, United States, Illinois, Cook County",Evanston
"""Nicoris"", Nicasio Calif.","North America, United States, California, Marin County",Nicasio
"""Norway"" (see comments for 4087)","Europe, Norway",
"""Pembroke Twp"" ""near"" ""Section 33"", St. Anne, Ill. Kankakee Co.","North America, United States, Illinois, Kankakee County",Saint Anne
"""Rock Canon, N.E. Tuscon"" [Rock Canyon, northeast Tucson]","North America, United States, Arizona, Pima County",Tucson
"""Sand ? Peard Bay south of Barrow 40 miles"". Barrow Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"""San G.? Calif, Marine Co""","North America, United States, California, Marin County",San Geronimo
"""Thatcher's Woods""","North America, United States, Illinois, Cook County",River Forest
(Paredon Chis) Mexico,"North America, Mexico, Chiapas",ParedÃ³n
"[near Nome?], Alaska: Metletavick","North America, United States, Alaska, Nome Quad",Wales
[no locality recorded],no higher geography recorded,
[transcribed directly into formatted locality fields],"South America, Argentina, Tucuman",Concepcion
"#1 Museum Location, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"#2, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"#2 Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"#6 site, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"#72, right by loading dock door, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"1/2 mi. S of, Claremont, Los Angeles Co., Calif.","North America, United States, California, Los Angeles County",Claremont
"1/4 mile east of St. Germain River in thick stand of pines, St. Germain, Vilas Co., Wis.","North America, United States, Wisconsin, Vilas County",Saint Germain
10 mi. N.E.,"North America, United States, Mississippi, Jackson County",Vancleave
"10 mi E Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"10 miles east of Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"10 miles N of Salem, Jackson Co., Oregon","North America, United States, Oregon, Marion County",Salem
"10 miles north of Salem, Oregon","North America, United States, Oregon, Marion County",Salem
"10 miles North of San Gorgino, CA","North America, United States, California, San Bernardino County",San Gorgonio
10 miles north of Vancleave,"North America, United States, Mississippi, Jackson County",Vancleave
"10 miles NW of Fairview Bear Canyon, Alt 6800 ft","North America, United States, New Mexico, Sierra County",
"10 miles SE of Dos Cahezas, alt. 4,700', Cochise Co. Ariz.","North America, United States, Arizona, Cochise County",
10 mi NE Van Cleave,"North America, United States, Mississippi, Jackson County",Vancleave
10 mi NW,"North America, United States, Utah, Salt Lake County",Salt Lake City
"1-1/2 mi W of Club, Mt Huron","North America, United States, Michigan, Marquette County",Mount Huron
"11 miles east of Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"11 miles west of Superior, Arizona, Pinal Co, 1700 ft","North America, United States, Arizona, Pinal County",Superior
12 miles north Canaveral,"North America, United States, Florida, Brevard County",Cape Canaveral
12 miles north of Canaveral,"North America, United States, Florida, Brevard County",Cape Canaveral
12 miles north of Conaveral,"North America, United States, Florida, Brevard County",Cape Canaveral
"12 miles northwest of Eupora, Webster Co., Mississippi","North America, United States, Mississippi, Webster County",Eupora
"12 miles northwest of Europa [sic: Eupora], MS","North America, United States, Mississippi, Webster County",Eupora
12 miles NW [northwest],"North America, United States, Mississippi, Webster County",Eupora
12mi NW,"North America, United States, Mississippi, Webster County",Eupora
12 mi NW,"North America, United States, Mississippi, Webster County",Eupora
12 mi NW Eupora,"North America, United States, Mississippi, Webster County",Eupora
12mi NW Europa,"North America, United States, Mississippi, Webster County",Eupora
12mi NW of Eupora,"North America, United States, Mississippi, Webster County",Eupora
12 mi NW of Eupora,"North America, United States, Mississippi, Webster County",Eupora
12 mi NW of Europa,"North America, United States, Mississippi, Webster County",Eupora
12mi W of Eupora,"North America, United States, Mississippi, Webster County",Eupora
12 mi W of Eupora,"North America, United States, Mississippi, Webster County",Eupora
