KEY_TO_RAW,HIGHER_GEOG,CONTINENT_OCEAN,COUNTRY,STATE_PROV,COUNTY,QUAD,FEATURE,ISLAND_GROUP,ISLAND,SEA,municipality
",Africa,,,",Africa,Africa,,,,,,,,,
",Africa?,,,",Africa,Africa,,,,,,,,,
"Africa,,,,",Africa,Africa,,,,,,,,,
"Africa,Africa,,,",Africa,Africa,,,,,,,,,
"Africa,Canary Islands,,,","Atlantic Ocean, Spain, Canary Islands",Atlantic Ocean,Spain,Canary Islands,,,,,,,
",[Algeria],,,","Africa, Algeria",Africa,Algeria,,,,,,,,
",Algeria,,,","Africa, Algeria",Africa,Algeria,,,,,,,,
"Africa,Algeria,,,","Africa, Algeria",Africa,Algeria,,,,,,,,
",Algeria,,,Algiers","Africa, Algeria, al-Jaza'ir Wilayat",Africa,Algeria,al-Jaza'ir Wilayat,,,,,,,Algiers
"Algeria,,,,Algiers","Africa, Algeria, al-Jaza'ir Wilayat",Africa,Algeria,al-Jaza'ir Wilayat,,,,,,,Algiers
",Algeria,Algiers,,","Africa, Algeria, al-Jaza'ir Wilayat",Africa,Algeria,al-Jaza'ir Wilayat,,,,,,,Algiers
"Africa,Central African Republic,,,","Africa, Central African Republic",Africa,Central African Republic,,,,,,,,
",Congo,,,","Africa, Democratic Republic of the Congo",Africa,Democratic Republic of the Congo,,,,,,,,
"Belgian Congo [Democratic Republic of Congo],,,,","Africa, Democratic Republic of the Congo",Africa,Democratic Republic of the Congo,,,,,,,,
"Africa,Zaire [Democratic Republic of the Congo],Katanga,,","Africa, Democratic Republic of the Congo, Katanga",Africa,Democratic Republic of the Congo,Katanga,,,,,,,
"Africa,Zaire [Democratic Republic of the Congo],[North] Kivu,,Goma","Africa, Democratic Republic of the Congo, North Kivu",Africa,Democratic Republic of the Congo,North Kivu,,,,,,,Goma
"Africa,Zaire [Democratic Repubulic of the Congo],Shaba,,","Africa, Democratic Republic of the Congo, Katanga",Africa,Democratic Republic of the Congo,Shaba,,,,,,,
",Egypt,,,","Africa, Egypt",Africa,Egypt,,,,,,,,
"Africa,Egypt,,,","Africa, Egypt",Africa,Egypt,,,,,,,,
",Egypt,,,Alexandria","Africa, Egypt, Alexandria Governorate",Africa,Egypt,Alexandria Governorate,,,,,,,Alexandria
"Africa,Egypt,,,Alexandria","Africa, Egypt, Alexandria Governorate",Africa,Egypt,Alexandria Governorate,,,,,,,Alexandria
"Africa,Egypt,,,Cairo","Africa, Egypt, Cairo Governorate",Africa,Egypt,Cairo Governorate,,,,,,,Cairo
",Egypt,,,Philae","Africa, Egypt, Aswan Governorate",Africa,Egypt,Aswan Governorate,,,,,,,Philae
"Africa,Gabon,,,","Africa, Gabon",Africa,Gabon,,,,,,,,
"Africa,Gambia,,,","Africa, Gambia",Africa,Gambia,,,,,,,,
",Kenya,,,","Africa, Kenya",Africa,Kenya,,,,,,,,
"Africa,Kenya,,,","Africa, Kenya",Africa,Kenya,,,,,,,,
"Kenya,,,,","Africa, Kenya",Africa,Kenya,,,,,,,,
"Africa,Kenya,,,Kericho","Africa, Kenya",Africa,Kenya,,,,,,,,Kericho
"Africa,Kenya,,,Kilifi","Africa, Kenya",Africa,Kenya,,,,,,,,Kilifi
",Kenya,,,Mombasa","Africa, Kenya",Africa,Kenya,,,,,,,,Mombasa
"Africa,Kenya,,,Nairobi","Africa, Kenya, Nairobi Province",Africa,Kenya,Nairobi Province,,,,,,,Nairobi
"Africa,Kenya,,,Nayahururu","Africa, Kenya",Africa,Kenya,,,,,,,,Nayahururu
"Africa,Kenya,,,Njoro","Africa, Kenya",Africa,Kenya,,,,,,,,Njoro
"Africa,Kenya,,,Sigor","Africa, Kenya, West Pokot",Africa,Kenya,West Pokot,,,,,,,Sigor
