COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN _DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,HABITAT,COLL_EVENT_REMARKS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,GUID_PREFIX,COLL_OBJ_REMARKS,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,OTHER_ID_NUM_4,OTHER_ID_NUM_TYPE_4,OTHER_ID_REFERENCES_4,PART_NAME_1,PART_CONDITION_1,PART_LOC_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOC_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DET_METHOD_4,ATTRIBUTE_DETERMINER_4,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1,ekrimmel,597,249cfc84-52d4-4352-879a-fbf83a4d8efc,UUID,self,[CHAS:Mamm]1522,Accipiter cooperii,ID of kin,Francis S. Dayton,1890-05-19,Cooper's Hawk. Bird seen. Verbatim AOU Number: 333.,5/19/1890,1890-05-19,1890-05-19,"North America, United States, Illinois, Cook County",Chicago,"Galewood, [Historic] Jefferson [Township] [Chicago], Cook County, Illinois",Pat Munroe,2011-06-01,unverified,In the crutch of a small oak tree about 35' from the ground and near the top of the tree.  The tree was one of a copse first back of a house on the ridge forming the divide of Chicago and Desplaines Rivers.,,Francis S. Dayton,collector,,,,,CHAS:Egg,"DISPLAY NOTES: Diameter: inside-8"", outside-19""; Depth: inside-4"", outside-12."" DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",FSD-102,collector number,self,431/2,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,4,in collection,,,,,,,,verbatim collector,Spencer Dayton,Erica Krimmel,incubation stage,just commenced,Francis S. Dayton,nest description,"Composed by the birds neatly, first came a basin shaped arrangement of twigs of the oak tree rather loose but quite deep. Then a few twigs, very small & the lining of the little square pieces of flat oak bark. The whole nest composed of different parts of the oak tree. ",Francis S. Dayton,,,,,"30 days ago I started the bird out of this clumb of trees and found her nest.  Two weeks after our visiting it again it was empty but the bird nearby.  I had almost give it up when my friend whom I asked visited it and reported 4 eggs.  The male was sitting on and didn't fly until I was halfway up the tree.  He was very noisy and remained in the nest tree screaming and making a cackling noise.  Eggs pale but decided bluish white with a few spots and cloudings of brown smeared with dried blood and smutted with dirt, but handsome set nevertheless.",accepted place of collection
2,ekrimmel,598,35b52003-51f7-4525-90fb-261b01320c24,UUID,self,[CHAS:Mamm]1522,Accipiter cooperii,ID of kin,Francis S. Dayton,1893-05-24,Cooper's Hawk. Bird flew from nest. Verbatim AOU Number: 333.,5/24/1893,1893-05-24,1893-05-24,"North America, United States, Illinois, Cook County",,"East of Shermanville, Northfield Township, Cook County, Illinois",Pat Munroe,2011-06-01,unverified,Situated in an oak in the thick woods rather near its center along the east branch of the north fork of the Chicago River.,,Francis S. Dayton,collector,,,,,CHAS:Egg,"DISPLAY NOTES: Diameter: inside-9"", outside-18""; Depth: inside-1.5."" DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",FSD-173,collector number,self,431/3,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,3,in collection,,,,,,,,verbatim collector,Spencer Dayton,Erica Krimmel,incubation stage,day or two,Francis S. Dayton,nest description,"Typical, composed entirely of twigs and lined with pieces of bark. Birds had selected a crotch of the main stems of the oak tree about 30' from the ground and had carried small twigs arranging them to form a circular platform on which she had built up.  The twigs selected being smallish as the structure rose to a height of 12 to 14"".  The depression was very little and the lining consisted of bits of fine twigs and pieces of the scaley bark of the oak the size of a dollar and that was all",Francis S. Dayton,,,,,"The hawks at very close and did not fly from off the nest until I had thrown a stone at it.  She then darted off the nest and disappeared into the woods  All the while I was in the tree she was away and silent.  Afterward I heard her making that cackling sound they make when their nest is disturbed.  These hawks have now full sets of eggs.  I found their sets 2 of 4 and one of 3.  4 is the usual number but often three are laid.  Eggs a very pale bluish green covered with what might have be [?] to a white bloom.  This bloom is wanting in places and in such places the background shows through more plainly giving a marbled effect.  One egg has faint four markings of umber on the greater end, the others are immaculate.",accepted place of collection
3,ekrimmel,599,362e891e-5366-42f3-9981-dc786794fd4e,UUID,self,[CHAS:Mamm]1522,Accipiter cooperii,ID of kin,Francis S. Dayton,1893-05-25,Cooper's Hawk. Bird seen near nest. Verbatim AOU Number: 333.,5/25/1893,1893-05-25,1893-05-25,"North America, United States, Illinois, Cook County",Chicago,"1 mile west of Fort Sheridan [Chicago], Cook County, Illinois",Pat Munroe,2011-06-01,unverified,In the crotch of a white oak 30' from the ground in a thick damp wood near the Skokie woods and along side a newly cut wood road a little over a mile W. of Ft. Sheridan and on W. side of the valley of the east fork on N. branch of Chicago River.,,Francis S. Dayton,collector,,,,,CHAS:Egg,"DISPLAY NOTES: Diameter: outside-18."" DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",FSD-175,collector number,self,431/4,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,4,in collection,,,,,,,,verbatim collector,F.S. Dayton,Erica Krimmel,incubation stage,young well formed,Francis S. Dayton,nest description,Hawks had built on an old leaf nest and was composed entirely of oak twigs growing smaller from base upward. The lining being a few pieces of oak bark. The nest was quite flat and with little depression. ,Francis S. Dayton,,,,,Bird seen on the nest but was very wild. Keep to the tree tops at some distance from the nest.,accepted place of collection
4,ekrimmel,1692,66af71c1-608b-444c-ac15-d320dc79a0b5,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,legacy,A. Schoenebeck,1918-04-25,Cooper's Hawk. Verbatim AOU Number: 333.,1918-04-25,1918-04-25,1918-04-25,"North America, United States, Wisconsin, Shawano County",Cecil,"Cecil, Shawano County, Wisconsin",Pat Munroe,2011-06-01,unverified,,,A. Schoenebeck,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'Assembled as a University study collection. Value to be set by Director, future date' [from accession card]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",Saint Mary of the Lake Seminary 239,original identifier,self,4.25.18. 1/4,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,4,in collection,,,,,,,,verbatim collector,A. Schoenebeck,Erica Krimmel,incubation stage,slight,A. Schoenebeck,,,,,,,,,accepted place of collection
5,ekrimmel,1004,bc797f5e-e557-4336-bb36-f17bf7f4f66b,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,ID of kin,Frank Pitelka,1935-05-30,Cooper's Hawk. Bird on eggs. Verbatim AOU Number: 333.,1935-05-30; June 1935,1935-05-30,1935-05-30,"North America, United States, Indiana, Clark County",Wilson,"Sand Dunes, North Indiana, near Wilson, Clark County, Indiana",Pat Munroe,2011-06-01,unverified,In a pine tree 40' up,,Frank Pitelka,collector,,,,,CHAS:Egg,"INTERNAL NOTES: Collection date listed as ""June 1935"" in egg catalog, needs to be verified [A. King]. ""Packed with 779"" [egg catalog]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",333/1004,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,3,in collection,,,,,,,,verbatim collector,Frank Pitelka,Erica Krimmel,,,,nest description,sticks,Frank Pitelka,,,,,Nest found on 5/23.,accepted place of collection
6,ekrimmel,596,ed3e48d8-f7e3-4378-89cc-3d099e9ac560,UUID,self,[CHAS:Mamm]1522,Accipiter cooperii,ID of kin,Francis S. Dayton,1890-05-17,Cooper's Hawk. Bird shot. Verbatim AOU Number: 333.,5/17/1890,1890-05-17,1890-05-17,"North America, United States, Illinois, Cook County",Chicago,"east of Peterson's & west of Bowmanville, [Historic] Jefferson [Township] [Chicago], Cook County, Illinois",Pat Munroe,2011-06-01,unverified,In a crutch formed by the separation of the main trunk into 3 branches in an oak 50 or 60' up. In the middle of a thick wood of tall trees.,,Francis S. Dayton,collector,,,,,CHAS:Egg,"DISPLAY NOTES: Diameter: inside-13.5, outside-29""; Depth: inside-1.5"", outside-12."" DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",FSD-101,collector number,self,431/1,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,3,in collection,,,,,,,,verbatim collector,F.S. Dayton,Erica Krimmel,incubation stage,just commenced,Francis S. Dayton,nest description,Composed by fitting up an old Red-shoulder's nest. The platform built of large sticks & twigs then came a few short ends of twigs & some fine inner bark of the oak & a few downy feathers of the bird,Francis S. Dayton,,,,,"The nest was very flat.  I was attracted by the cackling noise of the female which I shot as it was perched on a branch.  While I came to the nest the female was sitting.  I threw several sticks and it flew swiftly away and did not return.  This is the first of the hawk taken this year.  See note 19c and Jr. of the first.  Eggs pale bluish white unmarked.  One of the eggs abnormally large, the surface of all the eggs were more or less smeared and blurred with dirt.",accepted place of collection
7,ekrimmel,1304,efedc446-0897-4864-8dcb-6bab8a03ada9,UUID,self,[CHAS:Mamm]4352,Accipiter cooperii,legacy,Earl G. Wright,1937-06-10,Cooper's Hawk. Verbatim AOU Number: 333.,1937-06-10,1937-06-10,1937-06-10,"North America, United States, Arizona, Yavapai County",,"Yavapai County, Arizona",Pat Munroe,2011-06-01,unverified,37' up in live oak.,Academy Arizona Expedition,Earl G. Wright,collector,,,,,CHAS:Egg,"DISPLAY NOTES: Diameter: 20""; Depth: 7."" DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",333/1304,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,2,in collection,,,,,,,,verbatim collector,E.G. Wright,Erica Krimmel,,,,nest description,Of light twigs not larger than pencil. Lined with pieces of coarse bark and a spray of green wild cherry,Earl G. Wright,,,,,,accepted place of collection
8,ekrimmel,2416,303915c8-62d7-4b08-b887-47717231bbf1,UUID,self,[CHAS:Mamm]4232,Accipiter cooperii,legacy,J. D. Currie,1903-05-20,Cooper's Hawk. Verbatim AOU Number: 333.,1930-05-20,1903-05-20,1903-05-20,"North America, United States, Minnesota, Hennepin County",,"Hennefoin [Hennipen?] County, Minnesota",Pat Munroe,2011-06-01,unverified,20' up in oak in thick woods,,J. D. Currie,collector,,,,,CHAS:Egg,DATA HISTORY: Date listed as verified/cataloged is 1989-11-15. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).,E. E. Armstrong 429,collector number,self,338 1/4,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: M,4,in collection,,,,,,,,verbatim collector,J.D. Currie,Erica Krimmel,,,,,,,,,,,,accepted place of collection
9,ekrimmel,2230,474f3e69-77eb-427f-9355-0f13a0af2856,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,ID of kin,Edward R. Ford,1893-05-25,Cooper's Hawk. Saw bird. Verbatim AOU Number: 333.,5/25/1893,1893-05-25,1893-05-25,"North America, United States, Illinois, Lake County",Deerfield,"West Deerfield, near Ft. Sherdan, Lake County, Illinois",Pat Munroe,2011-06-01,unverified,35' up in oak,,Edward R. Ford,collector,,,,,CHAS:Egg,"INTERNAL NOTES: ""15"" in LRC of Egg Card [A. King]. DISPLAY NOTES: Diameter: exterior-15""; Depth: 1.5."" DATA HISTORY: Date listed as verified/cataloged is 1988-03-11. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",333/2,original identifier,self,,,,,,,egg,3 eggs broken.,RVWD: 302: Ool Cab 02: M,4,in collection,,,,,,,,verbatim collector,E.R. Ford,Erica Krimmel,incubation stage,slight,Edward R. Ford,nest description,"Of sticks and twigs; smaller interiorly, a few pieces of oak bark served as a lining",Edward R. Ford,,,,,Notes pg. 129. ,accepted place of collection
10,ekrimmel,2247,5e8fdba1-735b-40b7-8248-99d9c15dc67c,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,ID of kin,Dwight W. Cusack,1899-06-05,Cooper's Hawk. Bird flushed. Verbatim AOU Number: 333.,6/5/1899,1899-06-05,1899-06-05,"North America, United States, Minnesota, Brown County",Sleepy Eye,"Sleepy Eye, Brown County, Minnesota",Pat Munroe,2011-06-01,unverified,Situated 22' from the ground in boxwood tree,,Dwight W. Cusack,collector,,,,,CHAS:Egg,"DISPLAY NOTES: .30, .90. DATA HISTORY: Date listed as verified/cataloged is 1988-03-01. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",68C-8,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: M,3,in collection,,,,,,,,verbatim collector,Dwight W. Cusack,Erica Krimmel,incubation stage,had slightly commenced,Dwight W. Cusack,nest description,"Constructed of sticks and twigs, no lining",Dwight W. Cusack,,,,,,accepted place of collection
