MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_1000-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_1000-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1000,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_1000-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_1000-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1000,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_1000-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_1000-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1000,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_1000-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_1000-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1000,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,View of mandible.
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_1000-5.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_1000-5.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1000,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-5.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_110-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_110-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:110,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_110-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_113-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_113-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:113,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_113-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_113-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:113,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_113-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_113-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:113,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_113-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_113-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:113,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,View of mandible.
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_114-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_114-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:114,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_114-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_114-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:114,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_114-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_114-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:114,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
http://web.corral.tacc.utexas.edu/CAS/20161121/jpg/chas_mamm_114-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161121/tb/tn_chas_mamm_114-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:114,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,View of mandible.
