MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_301-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_301-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_301-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_301-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_301-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_301-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_301-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_301-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_301-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_302-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_302-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_302-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_302-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_302-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_302-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_302-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_302-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_302-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_305-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_305-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:305,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_305-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_305-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_305-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:305,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_305-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_305-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_305-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:305,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_305-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_306-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_306-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:306,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_306-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_306-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_306-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:306,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_306-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_306-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_306-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:306,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_306-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_306-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_306-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:306,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_306-4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_307-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_307-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:307,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_307-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_307-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_307-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:307,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_307-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_307-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_307-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:307,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_307-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_308-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_308-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:308,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_308-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_308-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_308-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:308,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_308-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_308-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_308-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:308,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_308-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_309-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_309-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:309,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_309-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_309-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_309-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:309,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_309-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_309-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_309-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:309,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_309-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_310-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_310-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:310,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_310-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_310-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_310-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:310,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_310-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_310-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_310-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:310,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_310-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_311-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_311-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:311,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_311-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_311-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_311-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:311,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_311-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_311-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_311-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:311,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_311-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_312-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_312-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:312,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_312-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_312-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_312-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:312,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_312-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_312-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_312-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:312,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_312-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_313-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_313-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:313,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_313-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_313-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_313-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:313,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_313-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_313-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_313-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:313,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_313-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_313-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_313-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:313,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_313-4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_314-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_314-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:314,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_314-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_314-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_314-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:314,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_314-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_314-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_314-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:314,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_314-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_315-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_315-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:315,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_315-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_315-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_315-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:315,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_315-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_315-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_315-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:315,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_315-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_316-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_316-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:316,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_316-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_316-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_316-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:316,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_316-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_316-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_316-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:316,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_316-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_317-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_317-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:317,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_317-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_317-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_317-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:317,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_317-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_317-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_317-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:317,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_317-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_318-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_318-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:318,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_318-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_318-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_318-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:318,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_318-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-02/jpg/chas_egg_318-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-02/tb/tn_chas_egg_318-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:318,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-02/chas_egg_318-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
