MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_URI,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.1.dng,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.2.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.3.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.4.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.5.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.6.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.7.dng,made date,2014-01-16,subject,mammal,description,View of mandible.
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1503.8.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.1.dng,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.2.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.3.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.4.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.5.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.6.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.7.dng,made date,2014-01-16,subject,mammal,description,View of mandible.
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1504.8.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.1.dng,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.2.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.3.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.4.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.5.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.6.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.7.dng,made date,2014-01-16,subject,mammal,description,View of mandible.
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1505.8.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.1.dng,made date,2015-02-06,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.2.dng,made date,2015-02-06,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.3.dng,made date,2015-02-06,subject,mammal,description,"View of study skin, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.4.dng,made date,2015-02-06,subject,mammal,description,"View of study skin, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.5.dng,made date,2015-02-06,subject,mammal,description,"View of cranium, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.6.dng,made date,2015-02-06,subject,mammal,description,"View of cranium, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.7.dng,made date,2015-02-06,subject,mammal,description,View of mandible.
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1506.8.dng,made date,2015-02-06,subject,mammal,description,"View of cranium, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1507.1.dng,made date,2015-02-20,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1507.2.dng,made date,2015-02-20,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1507.3.dng,made date,2015-02-20,subject,mammal,description,"View of study skin, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1507.4.dng,made date,2015-02-20,subject,mammal,description,"View of study skin, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1507.5.dng,made date,2015-02-20,subject,mammal,description,"View of cranium, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1507.6.dng,made date,2015-02-20,subject,mammal,description,"View of cranium, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_mamm_1507.7.dng,made date,2015-02-20,subject,mammal,description,View of mandible.
