AGENT_TYPE,PREFERRED NAME,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,A. A. Babcock,A. A. Babcock,A.A. Babcock,A.A. Babcock
person,A. A. Hinkley,A. A. Hinkley,A.A. Hinkley,A.A. Hinkley
person,A. A. Hinkley,A. A. Hinkley,A.A. Hinkley,"Purchased, A.A. Hinkley"
person,A. A. Hinkley,A. A. Hinkley,A.A. Hinkley,AMBIGUOUS
person,A. A. Hinkley,A. A. Hinkley,A. A. Hinkley,A. A. Hinkley
person,A. July Pahnke,A. A. Pahnke,A.A. Pahnke,A.A. Pahnke
person,A. A. Peterson,A. A. Peterson,A.A. Peterson,A.A. Peterson
person,A. A. Young,A. A. Young,A.A. Young,A.A. Young
person,A. Ackerman,A. Ackerman,A. Ackerman,A. Ackerman
person,A. Ackerman,A. Ackerman,A. Ackerman,"S.S. Gregory, Jr. or A. Ackerman"
person,A. Ackerman,A. Ackerman,A. Ackerman,AMBIGUOUS
person,A. Ackermann,A. Ackermann,A. Ackermann,A. Ackermann
person,A. Aiello,A. Aiello,A. Aiello,A. Aiello
person,A. August Pahnke,A. August Pahnke,A. August Pahnke,A. August Pahnke
person,A. Ayyash,A. Ayyash,A. Ayyash,A. Ayyash
person,A. B. Bertolet,A. B. Bertolet,A. B. Bertolet,A. B. Bertolet
person,A. B. Gard,A. B. Gard,A.B. Gard,A.B. Gard
person,Arnold B. Grobman,A. B. Grobman,A.B. Grobman,Walter Auffenberg and A.B. Grobman
person,A. B. Hine,A. B. Hine,A.B. Hine,A.B. Hine
person,A. B. Howell,A. B. Howell,A.B. Howell,A.B. Howell
person,A. B. Johnson,A. B. Johnson,A.B. Johnson,A.B. Johnson
person,A. B. Walcott,A. B. Walcott,A.B. Walcott,A.B. Walcott
person,A. B. Walcott,A. B. Walcott,A. B. Walcott,A. B. Walcott
person,A. B. Wolcott,A. B. Wolcott,A.B.Wolcott,A.B.Wolcott
person,A. B. Wolcott,A. B. Wolcott,A.B. Wolcott,A.B. Wolcott
person,A. B. Wolcott,A. B. Wolcott,A. B. Wolcott,A. B. Wolcott
person,A. Ballard,A. Ballard,A. Ballard,A. Ballard
person,A. Bernier,A. Bernier,A. Bernier,A. Bernier
person,A. Blair,A. Blair,A. Blair,A. Blair
person,Andrew Bolter,A. Bolter,A. Bolter,A. Bolter
person,Andrew Bolter,A. Bolter,A. Bolter,Mrs. C. Sonne & A. Bolter
person,Andrew Bolter,A. Bolter,A. Bolter,Mrs. Chas. Sonne & A. Bolter
person,Andrew Bolter,A. Bolter,A. Bolter,Mrs. Chas. Sonne and A. Bolter
person,Andrew Bolter,A. Bolter,A. Bolter,Chas. Sonne A. Bolter
person,Andrew Bolter,A. Bolter,A. Bolter,AMBIGUOUS
organization,A. Booth Packing Company,A. Booth Packing Co. ,A. Booth Packing Co.,A. Booth Packing Co.
person,A. Brinkman,A. Brinkman,A. Brinkman,A. Brinkman
person,A. Brooks,A. Brooks,A. Brooks,H.M. Laing from A. Brooks
person,A. Brooks,A. Brooks,A. Brooks,A. Brooks
person,A. C. Bent,A. C. Bent,A.C. Bent,A.C. Bent
person,A. C. Billups,A. C. Billup,A.C. Billup,A.C. Billup
person,A. C. Billups,A. C. Billups,A.C. Billups,A.C. Billups
person,A. C. Billups,A. C. Billups,A. C. Billups,A. C. Billups
person,unknown,A. C. G. ,A.C.G.,A.C.G.
person,A. C. Harris,A. C. Harris,A.C. Harris,A.C. Harris
person,A. C. Rogers,A. C. Rogers,A.C. Rogers,A.C. Rogers
person,A. C. Rosrustone,A. C. Rosrustone,A.C. Rosrustone,A.C. Rosrustone
person,A. C. Siebold,A. C. Siebold,A.C. Siebold,A.C. Siebold
person,A. C. Sieborth,A. C. Sieborth,A.C. Sieborth,A.C. Sieborth
person,A. C. Sieboth,A. C. Sieboth,A.C. Sieboth,A.C. Sieboth
person,A. C. Twomey,A. C. Twomey,A.C. Twomey,A.C. Twomey
person,A. C. Webb,A. C. Webb,A.C. Webb,A.C. Webb
person,A. Carter,A. Carter,A. Carter,A. Carter
person,A. Chase,A. Chase,A. Chase,A. Chase
person,A. Covili,A. Covili,A. Covili,A. Covili
person,A. Crocker,A. Crocker,A. Crocker,A. Crocker
person,A. D. Davidson,A. D. Davidson,A.D. Davidson,A.D. Davidson
person,A. D. Davies,A. D. Davies,A.D. Davies,A.D. Davies
person,A. D. Davis,A. D. Davis,A.D. Davis,A.D. Davis
person,Albert D. Doerge,A. D. Doerge,A.D. Doerge,A.D. Doerge
person,A. D. Stecher,A. D. Stecher,A.D. Stecher,A.D. Stecher
person,A. E. Borell,A. E. Borell,A.E. Borell,A.E. Borell
person,A. E. Butler,A. E. Butler,A.E. Butler,A.E. Butler
person,A. E. Carlson,A. E. Carlson,A.E. Carlson,A.E. Carlson
person,A. E. D. Scott,A. E. D. Scott,A.E.D. Scott,A.E.D. Scott
person,A. E. Ebert,A. E. Ebert,A.E. Ebert,A.E. Ebert
person,A. E. Ebert,A. E. Ebert,A. E. Ebert,J.A. Gibson through A.E. Ebert
person,A. E. Foote,A. E. Foote,A.E. Foote,A.E. Foote
person,A. E. Johnson,A. E. Johnson,A.E. Johnson,A.E. Johnson
person,A. E. Kent,A. E. Kent,A.E. Kent,A.E. Kent
person,A. E. Kent,Mssrs. A. E. ,A.E. Kent,Mssrs. A.E. & Sidney E. Kent
person,A. E. Lytle,A. E. Lytle,A.E. Lytle,A.E. Lytle
person,A. E. Ortmann,A. E. Ortmann,A.E. Ortmann,A.E. Ortmann
person,A. E. Pratt,A. E. Pratt,A.E. Pratt,A.E. Pratt
person,A. E. Pratt,A. E. Pratt,A. E. Pratt,A. E. Pratt
person,A. E. Williams,A. E. Williams,A.E. Williams,A.E. Williams
person,A. E. Wyatt,A. E. Wyatt,A. E. Wyatt,A. E. Wyatt
person,A. Emerson,A. Emerson,A. Emerson,A. Emerson
