COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,part_loc_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_DATE_4,ATTRIBUTE_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_DETERMINER_5,ATTRIBUTE_DATE_5,ATTRIBUTE_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_DETERMINER_6,ATTRIBUTE_DATE_6,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1102,ekrimmel,1974.24.1,,,,[CHAS.Mamm]1974.24,"unidentifiable {Biface, stone}",student,Sam Howes,2016-02-16,Biface stone.,"[no date recorded, date range based on accession year]",1800,1974-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Sam Howes (2016-02-09).,,,,,,,object,Good.,6,in collection,RVWD: 302: Anth Cab 02: K,,,,,,,,,,,description,Anthropology: stone tool-biface; generally leaf shaped and worked on two long edges; cream colored chert.,Sam Howes,2016,materials,"stone, sedimentary, chert",Sam Howes,2016,,,,,,,,,,place of use
1100,ekrimmel,1974.24.2,,,,[CHAS.Mamm]1974.24,"unidentifiable {Bowl, stone}",student,Sam Howes,2016-02-16,Stone bowl.,"[no date recorded, date range based on accession year]",1800,1974-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Sam Howes (2016-02-09).,,,,,,,object,Good; has been broken and repaired-adhesive residue.,1,in collection,RVWD: 302: Anth Cab 02: K,,,,,,,,,,,description,Anthropology: stone bowl; miniature bowl in a orange colored stone.,Sam Howes,2016,materials,stone,Sam Howes,2016,,,,,,,,,,place of use
1059,ekrimmel,1974.24.3,,,,[CHAS.Mamm]1974.24,"unidentifiable {Debitage, flake, utilized}",student,Sam Howes,2016-02-16,"Debitage, flake.","[no date recorded, date range based on accession year]",1800,1974-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Sam Howes (2016-02-09).,,,,,,,object,Good.,10,in collection,RVWD: 302: Anth Cab 02: K,,,,,,,,,,,description,Anthropology: debitage-utilized fake; cream colored chert.,Sam Howes,2016,materials,"stone, chert",Sam Howes,2016,,,,,,,,,,place of use
1103,ekrimmel,1974.24.4,,,,[CHAS.Mamm]1974.24,"unidentifiable {Projectile point, stone}",student,Sam Howes,2016-02-16,Arrowhead.,"[no date recorded, date range based on accession year]",1800,1974-08-31,"North America, United States",no specific locality recorded,Likely from the Midwest or eastern United States.,Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Sam Howes (2016-02-09).,,,,,,,object,Good.,61,in collection,RVWD: 302: Anth Cab 02: K,,,,,,,,,,,description,"Anthropology: stone tool-projectile points and point fragments; largely made from cream colored chert. Label: ""miscellaneous bifaces, point fragments, and pot sherds"", ""Parry (?) 8/74"". One point has ""porter"" written on it.",Sam Howes,2016,materials,"stone, sedimentary, chert",Sam Howes,2016,,,,,,,,,,place of use
1099,ekrimmel,1974.24.5,,,,[CHAS.Mamm]1974.24,"unidentifiable {Sherd, ceramic}",student,Sam Howes,2016-02-16,Ceramic sherd.,"[no date recorded, date range based on accession year]",1800,1974-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Sam Howes (2016-02-09).,,,,,,,object,Good.,5,in collection,RVWD: 302: Anth Cab 02: K,,,,,,,,,,,description,Anthropology: ceramic-sherd; brown clay temper unknown; 2 have cording marks.,Sam Howes,2016,materials,ceramic,Sam Howes,2016,,,,,,,,,,place of use
1297,ekrimmel,10539,,,,[CHAS:Mamm]1874.37,"unidentifiable {Clothing, shirt, seal skin}",legacy,unknown,,Seal skin suit shirt.,"[no date recorded, date range based on accession year]",1800,1875-12-31,"North America, United States, Alaska",no specific locality recorded,Alaska,Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,"EXHIBIT AND LOAN HISTORY: On display at The Grove, Glenview Park District, prior to 2008 to present. DATA HISTORY: Information transcribed from original catalogue book. References ""Dr. Robt. Kennicot"".",,,,,,,object,unchecked,1,on loan,,,,,,,,,,,,description,"Anthropology: From original catalogue book: Seal skin suit shirt, Worn by R. Kennicot [Robert Kennicott] in Alaska.",Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1298,ekrimmel,10540,,,,[CHAS:Mamm]1874.37,"unidentifiable {Clothing, gloves, seal skin}",legacy,unknown,,Seal skin suit gloves.,"[no date recorded, date range based on accession year]",1800,1875-12-31,"North America, United States, Alaska",no specific locality recorded,Alaska,Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,"DATA HISTORY: Information transcribed from original catalogue book. References ""Dr. Robt. Kennicot"".",,,,,,,object,unchecked,2,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Seal skin suit gloves.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1299,ekrimmel,10541,,,,[CHAS:Mamm]1874.37,"unidentifiable {Clothing, boots, seal skin}",legacy,unknown,,Seal skin suit boots.,"[no date recorded, date range based on accession year]",1800,1875-12-31,"North America, United States, Alaska",no specific locality recorded,Alaska,Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,"DATA HISTORY: Information transcribed from original catalogue book. References ""Dr. Robt. Kennicot"".",,,,,,,object,unchecked,2,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Seal skin suit boots.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1300,ekrimmel,10542,,,,[CHAS:Mamm]1874.37,"unidentifiable {Clothing, pants, seal skin}",legacy,unknown,,Seal skin suit pants.,"[no date recorded, date range based on accession year]",1800,1875-12-31,"North America, United States, Alaska",no specific locality recorded,Alaska,Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,"DATA HISTORY: Information transcribed from original catalogue book. References ""Dr. Robt. Kennicot"".",,,,,,,object,unchecked,2,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Seal skin suit pants.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1029,ekrimmel,11067,,,,[CHAS:Mamm]1877.20,"unidentifiable {Sherd, ceramic}",student,Sam Howes,2016-02-16,Ceramic sherd.,[transcribed directly into formatted date fields],1877-04-04,1877-04-04,"North America, United States, Florida, Levy County",Cedar Key,"Cedar Key, Fla [Florida]",Dawn R. Roberts,2018-01-12,unverified,William Wirt Calkins,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2018-01-12). This record has been compared to CHAS accession and catalog records. Information from original catalogue book incorporated. ,,,,,,,object,Good; fragile.,2,in collection,RVWD: 302: Anth Cab 01: B,,verbatim collector,W.W. Calkins,Erica Krimmel,2016-03-22,,,,,,description,"Anthropology: Ceramic-sherd; brown clay with unknown temper.  1 sherd is incised and the other appears to have some kind of impression. From original catalogue book: fabric-marked pottery, Found in shell mound, 3 pieces.",Sam Howes,2016,materials,ceramic,Sam Howes,2016,,,,,,,,,Found in shell mound.,place of use
