COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_REMARKS_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_DATE_4,SPECIMEN_EVENT_TYPE
1,ekrimmel,2017.3.1,HIS-528,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2014-11-28,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Next time this case is opened, record more complete information about the camera. Info taken through display glass. [DR]. EXHIBIT AND LOAN HISTORY: Beecher Lab display, prior to 2008 to present. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2012-09-04). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-11-28).",object,Good.,1,on exhibit,Number of Pieces: 2.,,,,,description,"SCIENTIFIC HISTORY. Wood exterior, brass lens with leather cover, black accordian body. Label plate on front of camera ""SOENNECKEN & Co.  ??????  MUNCHEN"". Two pieces in case appear to be part of the same unit.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
2,ekrimmel,1982.2.1,HIS-440,original identifier,self,[CHAS:Mamm]1982.2,unidentifiable {binoculars},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2014-11-28,unverified,Pioneer Instrument Company,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Donated in honor of John Miles. EXHIBIT AND LOAN HISTORY: Beecher Lab display, October 2001 to present. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-06-01). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-11-28).",object,unchecked,1,on exhibit,Number of Pieces: 1.,verbatim collector,Pioneer,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. binoculars-Eclipse Pioneer 7x50 10 degrees; ON DISPLAY.  Case-black plastic and jelly bean shaped.  Metal on strap corroding,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,value,5000,US dollar,"Valued at $5,000 in 1982.",Erica Krimmel,2017-02-20,place of manufacture
3,ekrimmel,2017.3.2,HIS-514,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2014-11-28,unverified,Leica,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Additional information provided through an information request, see file for print-out regarding three-lens turret and print out of email exchange regarding camera. Next time this case is opened, record more complete information about the camera. Info taken through display glass. [DR] Lens cap to camera separated from camera body and in storage at RVWD.Hist Cab 4.C. EXHIBIT AND LOAN HISTORY: Beecher Lab display, prior to summer 2009 to present. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2012-04-03). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-11-28).",object,Good.,1,on exhibit,,verbatim collector,Leica,Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. Leica camera; ""Leica D.R.P., Ernst Leitz Wetzlar"" on body of camera; attached is a ""three-lens turret"" which has three lenses allowing the user to adjust for focal lengeth; Nikon strap.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
4,ekrimmel,2017.3.3,HIS-525,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {stereoscope viewer},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Amber King,2012-09-10,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Next time this case is opened, record more complete information about the item; info taken through display glass [DR]. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2012-09-04). Record last updated in Excel (prior to Arctos migration) by Amber King (2012-09-10).",object,Good.,1,on exhibit,,,,,,description,"SCIENTIFIC HISTORY. Hand-held viewer for stereoscope images. Wood, shaped handle, enclosed copper eye box with raised makers mark in center top of box, but needs to be looked at up close to determine acutal maker.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
5,ekrimmel,2017.3.4,HIS-526,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-motion film},legacy,Erica Krimmel,2017-02-18,1930-1960s,1930,1960,no higher geography recorded,no specific locality recorded,[no locality recorded],Amber King,2012-09-10,unverified,Paillard Bolex,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Next time this case is opened, record more complete information about the item; info taken through display glass [DR]. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2012-09-04). Record last updated in Excel (prior to Arctos migration) by Amber King (2012-09-10).",object,Good.,1,on exhibit,,verbatim collector,Paillard Bolex,Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. Black motion film camera with silver trim, handle at top. Maker's mark ""Bolex paillard"" on right side.  ""Bolex| H16 Reflex| MADE IN SWITZERLAND"" on opposite side above extended winding handle.  Has extra, extended piece on same side as maker's mark, possibly for tracking time on film.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
6,ekrimmel,2017.3.5,HIS-527,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,"North America, United States, New York, Monroe County",Rochester,[transcribed directly into formatted locality fields],Amber King,2012-09-10,unverified,Bausch and Lomb,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Next time this case is opened, record more complete information about the item. Info taken through display glass. [DR]. Markings on eyepiece different from that on measuring piece on base, these two piece could be from two separate manufacturer's, needs to be verified when pulled out of case the next time. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2012-09-04). Record last updated in Excel (prior to Arctos migration) by Amber King (2012-09-10).",object,Good.,1,on exhibit,,verbatim collector,Bausch & Lomb Optical Co.; Busch Rathenow,Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. Black steel microscope with brass trimmed eyepiece and adjustment levers, ""Y"" shaped base.  Eyepiece has three rotating lenses.  Marked on measuring brass piece on PR side with name of manufacturer, ""Bausch & Lomb Optical Co. | Rochester, N.Y. & New York City | Pat. Aug. 24, 97"".  Also marked on front of eyepiece, ""Busch |Rashenow | 25290"".",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
7,ekrimmel,1983.8.1,HIS-063,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {strop},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,"Europe, United Kingdom, England, British Isles, Britain",no specific locality recorded,[transcribed directly into formatted locality fields],Erica Krimmel,2015-03-03,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Part of Leon Urbain's ""junk box"" (wooden box that largely contains cutting tools). EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-30). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Fair. Signs of heavy usage. See condition report L2014.4.,1,on exhibit,Number of Pieces: 1. Dimensions: length = 50 mm; height = 250 mm.,,,,,description,"SCIENTIFIC HISTORY. strop; wooden paddle-shaped object with red leather pad (1mm thick) on one side of the wide, squared end, rounded handle with hole drilled through on end. Stamped at top of leather: ""STROP"" and ""MADE IN ENGLAND"". Used to sharpen blades.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
8,ekrimmel,1983.8.2,HIS-072,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {knife-grafting; tree-nursery billhook},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,"Europe, Italy",no specific locality recorded,Italy,Erica Krimmel,2015-03-03,unverified,Due Buoi,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Part of Leon Urbain's ""junk box"" (wooden box that largely contains cutting tools); this is used for plants as a grafting or pruning. EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara. Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,"Good. Finger prints on blade, minor corrosion on blade and metal separator on handle and scratch on back lower side of handle.",1,on exhibit,Number of Pieces: 1. Dimensions: length = 190 mm; height = 20 mm.,verbatim collector,Due Buoi,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. folding knife-sickled; wooden handle with 4 brass rivets that fits the curvature of hand.  Steel blade curves toward the hand.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
9,ekrimmel,1983.8.3,HIS-077,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {razor-straight},legacy,Erica Krimmel,2017-02-18,ca. 1890s,1890,1899,"Europe, United Kingdom, England, British Isles, Britain",Sheffield,"Sheffield, England",Erica Krimmel,2015-03-03,unverified,Wade and Butcher,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Part of Leon Urbain's ""junk box"" (wooden box that largely contains cutting tools). EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-04-02). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Good. Minor flecks of corrosion on blade.,1,on exhibit,Number of Pieces: 1. Dimensions: length = 240 mm; height = 20 mm.,verbatim collector,Wade and Butcher,Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. razor-straight; yellow handle with leaves engraved on it.  Flat, rectangular blade folds into handle, but sharp edge hangs out the bottom.  A curved non-sharpened part at end of blade piece extends from handle when closed. On back side of handle, scratched into the surface: ""A 4157"" and ""6"" [or ""G""?].",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
10,ekrimmel,1983.8.4,HIS-102,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {tweezers-bent tip},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-03-03,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Part of Leon Urbain's ""junk box"" (wooden box that largely contains cutting tools). EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-04-05). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Fair. Corroded throughout surface.,3,on exhibit,Number of Pieces: 3. Dimensions: length = 101 mm; height = 8 mm.,,,,,description,SCIENTIFIC HISTORY. tweezers-bent tip; two flat pieces of metal welded together at one end and that come to a point on a 45 degree angle on the other. Three total.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
