COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_NUM_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOC_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
95,ekrimmel,2017.2.32,,,,[CHAS:Mamm]2017.2,Chrysemys picta,expert,Tom G. Anton,2009,"Painted Turtle. Region species is found in: North America, Central America.",[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-04-16). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good.,RVWD: 202.Library: Models Cabinet,1,on loan,,description,Model.,Erica Krimmel,materials,Fiberglass.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
77,ekrimmel,2017.2.98,15307,CHAS:Herp,same individual as,[CHAS:Mamm]2017.2,Nerodia sipedon sipedon,expert,Tom G. Anton,2009,Northern Water Snake. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,11/28/2014,unverified,Thurston I. Wright,maker,Fred H. Jaeger,maker,EH,"EXHIBIT AND LOAN HISTORY: Laflin building: Diorama 16, #7, ca. 1994. DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-04-16). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-11-28).",object,Fair. Painted as eastern milk snake. Paint peeling.,RVWD: 202.Library: Models Cabinet,1,on loan,,description,Model.,Erica Krimmel,materials,Fiberglass.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
78,ekrimmel,2017.2.96,,,,[CHAS:Mamm]2017.2,Nerodia sipedon,expert,Tom G. Anton,2009,Northern Water Snake. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-04-16). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good. Tail tip broken off.,RVWD: 202.Library: Models Cabinet,1,on loan,,description,Model.,Erica Krimmel,materials,"Fiberglass, plaster.",Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
46,ekrimmel,2017.2.126,,,,[CHAS:Mamm]2017.2,Rana pipiens,expert,Tom G. Anton,2009,Northern Leopard Frog. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-05-11). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good. Some paint flaking.,RVWD: 202.Library: DM Row 08: C,1,on loan,,description,Model.,Erica Krimmel,materials,Fiberglass.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
48,ekrimmel,2017.2.128,,,,[CHAS:Mamm]2017.2,Rana sylvatica,expert,Tom G. Anton,2009,Wood Frog. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-04-20). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Fair. Toes and feet damage.,RVWD: 202.Library: DM Row 08: C,1,on loan,,description,Model.,Erica Krimmel,materials,Fiberglass.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
35,ekrimmel,2017.2.2,,,,[CHAS:Mamm]2017.2,Acris crepitans,expert,Tom G. Anton,2009,"Cricket Frog. Region species is found in: North America, Central America.",[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,###############################################################################################################################################################################################################################################################,object,Excellent.,RVWD: 202.Library: DM Row 09: C,3,in collection,"IPM freeze treatment after external loan, 2013-05-24.",description,"Model. Three frogs on small habitat base; one frog perched on wood chunk; one situated slightly under wood chunk; one situated in the open near cavity, poised to jump.",Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
36,ekrimmel,2017.2.3,,,,[CHAS:Mamm]2017.2,Acris crepitans,expert,Tom G. Anton,2009,"Cricket Frog. Region species is found in: North America, Central America.",[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Herp Display box 4: Salamanders. DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-08-25). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,,RVWD: 202.Library: DM Row 09: C,1,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
2,ekrimmel,2017.2.4,,,,[CHAS:Mamm]2017.2,Agaricus arvensis,legacy,unknown,,Horse mushroom.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,2/14/2014,unverified,unknown,maker,,,EH,###############################################################################################################################################################################################################################################################,object,Good.,RVWD: 202.Library: DM Row 08: D,1,in collection,"Vacuumed, 2013-08-19.",description,"Model. Model of four horse mushrooms in grass, one mushroom tilts outward. Measures 21.5cm length, 13.6cm height, 15cm depth/width.",Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
3,ekrimmel,2017.2.6,,,,[CHAS:Mamm]2017.2,Amanita caesarea,legacy,unknown,,Caesar's mushroom.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,2/14/2014,unverified,unknown,maker,,,EH,###############################################################################################################################################################################################################################################################,object,Good.,RVWD: 202.Library: DM Row 09: E,1,in collection,"Vacuumed, 2013-08-19.",description,"Model. Model of three mushrooms with orange caps, one mushroom is just emerging, small beetle on ground and grass. Measures 24cm length, 16cm height, 13cm depth.",Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
4,ekrimmel,2017.2.7,,,,[CHAS:Mamm]2017.2,Amanita muscaria var. guessowii,legacy,unknown,,Fly mushroom.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,2/14/2014,unverified,unknown,maker,,,EH,###############################################################################################################################################################################################################################################################,object,"Good. Largest mushroom loose in base and turns, crack on neck of tallest mushroom under cap, crack in center of base.",RVWD: 202.Library: DM Row 09: D,1,in collection,"Vacuumed, 2013-08-19.",description,Model. Model of three mushrooms with orange red centers on cap and white marking amongst grass with ground beetle.,Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
5,ekrimmel,2017.2.8,,,,[CHAS:Mamm]2017.2,Amanita phalloides,legacy,unknown,,Fungi.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Botany Display Cabinet 2: Fungi. DATA HISTORY: Inventory catalogued/verified by  Mariann Hosler (2009-09-22). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good.,RVWD: 202.Library: DM Row 08: E,2,in collection,,description,Model.,Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
6,ekrimmel,2017.2.9,,,,[CHAS:Mamm]2017.2,Amanita verna,legacy,unknown,,Fungi.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Botany Display Cabinet 2: Fungi. DATA HISTORY: Inventory catalogued/verified by  Mariann Hosler (2009-09-22). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good.,RVWD: 202.Library: DM Row 08: E,3,in collection,,description,Model.,Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
50,ekrimmel,2017.2.11,,,,[CHAS:Mamm]2017.2,Ambystoma jeffersonianum,expert,Tom G. Anton,2009,Jefferson Salamander. Illinois State Threatened. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Herp Display box 4: Salamanders. DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-08-25). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,,RVWD: 202.Library: DM Row 08: A,1,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
51,ekrimmel,2017.2.12,,,,[CHAS:Mamm]2017.2,Ambystoma maculatum,expert,Tom G. Anton,2009,Spotted Salamander. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Herp Display box 4: Salamanders. DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-08-25). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,,RVWD: 202.Library: DM Row 08: A,1,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
52,ekrimmel,2017.2.13,,,,[CHAS:Mamm]2017.2,Ambystoma opacum,expert,Tom G. Anton,2009,Marbled Salamander. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Herp Display box 4: Salamanders. DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-08-25). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,,RVWD: 202.Library: DM Row 08: A,2,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
53,ekrimmel,2017.2.14,,,,[CHAS:Mamm]2017.2,Ambystoma tigrinum,expert,Tom G. Anton,2009,Eastern Tiger Salamander. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,###############################################################################################################################################################################################################################################################,object,Excellent.,RVWD: 202.Library: DM Row 09: A,1,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
91,ekrimmel,2017.2.16,,,,[CHAS:Mamm]2017.2,Apalone spinifera,expert,Tom G. Anton,2009,Spiny Softshell Turtle. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Herp Display box 3: Turtles. DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-08-25). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,,RVWD: 202.Library: Models Cabinet,1,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
7,ekrimmel,2017.2.18,,,,[CHAS:Mamm]2017.2,Astraeus hygrometricus,legacy,unknown,,Fungi.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Botany Display Cabinet 3: Fungi. DATA HISTORY: Inventory catalogued/verified by  Mariann Hosler (2009-09-22). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good.,RVWD: 202.Library: DM Row 08: E,6,in collection,,description,Model.,Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
8,ekrimmel,2017.2.20,,,,[CHAS:Mamm]2017.2,Boletus satanas,legacy,unknown,,Fungi.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Botany Display Cabinet 3: Fungi. DATA HISTORY: Inventory catalogued/verified by  Mariann Hosler (2009-09-22). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good.,RVWD: 202.Library: DM Row 08: E,2,in collection,,description,Model.,Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
59,ekrimmel,2017.2.21,,,,[CHAS:Mamm]2017.2,Bufo americanus,expert,Tom G. Anton,2009,American Toad. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,###############################################################################################################################################################################################################################################################,object,Excellent.,RVWD: 202.Library: DM Row 09: B,1,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
60,ekrimmel,2017.2.22,,,,[CHAS:Mamm]2017.2,Bufo fowleri,expert,Tom G. Anton,2009,Fowler's Toad. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,11/28/2014,unverified,unknown,maker,,,EH,DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-06-30). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-11-28).,object,Good.,PNNM: Wilderness Walk: Diorama Pod 3 (dune),1,on exhibit,,description,Model.,Erica Krimmel,materials,Fiberglass.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
61,ekrimmel,2017.2.23,,,,[CHAS:Mamm]2017.2,Bufo fowleri,expert,Tom G. Anton,2009,Fowler's Toad. Region species is found in: North America.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Herp Display box 2: Frogs and Toads. DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-08-25). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,,RVWD: 202.Library: DM Row 09: B,1,in collection,,description,Model.,Erica Krimmel,,,,historical,yes,Erica Krimmel,,place of manufacture
9,ekrimmel,2017.2.24,,,,[CHAS:Mamm]2017.2,Calvatia cyathiformis,legacy,unknown,,Fungi.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Botany Display Cabinet 3: Fungi. DATA HISTORY: Inventory catalogued/verified by  Mariann Hosler (2009-09-22). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good.,RVWD: 202.Library: DM Row 08: E,3,in collection,,description,Model.,Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
10,ekrimmel,2017.2.25,,,,[CHAS:Mamm]2017.2,Cantharellus cibarius,legacy,unknown,,Fungi.,[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,EXHIBIT AND LOAN HISTORY: Laflin building: Botany Display Cabinet 1: Fungi. DATA HISTORY: Inventory catalogued/verified by  Mariann Hosler (2009-09-22). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good.,RVWD: 202.Library: DM Row 08: E,2,in collection,,description,Model.,Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
92,ekrimmel,2017.2.28,,,,[CHAS:Mamm]2017.2,Chelydra serpentina,expert,Tom G. Anton,2009,"Common Snapping Turtle. Region species is found in: North America, Central America.",[no date recorded],1930,1945,"North America, United States, Illinois, Cook County","Chicago Academy of Sciences, 2001 N Clark St, Chicago, Illinois 60614",,Dawn R. Roberts,9/21/2013,unverified,unknown,maker,,,EH,DATA HISTORY: Inventory catalogued/verified by  Tom G. Anton (2009-04-14). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-09-21).,object,Good. Some chips.,RVWD: 202.Library: Models Cabinet,1,in collection,,description,"Model. Black model, not painted, unmounted.",Erica Krimmel,materials,Plaster.,Erica Krimmel,historical,yes,Erica Krimmel,,place of manufacture
