COLLECTION_OBJECT_ID,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
131,2017.14.2509,Herbert C. Brun-565 (a),collector number,self,[CHAS:Mamm]2017.14,Anatis labiculata,legacy,unknown,,Beetle.,1930-07-16,1930-07-16,1930-07-16,"North America, United States, Illinois, Cook County",Schiller Park,[transcribed directly into formatted locality fields],Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-14).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
358,2017.14.2865,Herbert C. Brun-1039 (b),collector number,self,[CHAS:Mamm]2017.14,Danaus archippus,legacy,unknown,,Lepidopteran.,1927-09-19,1927-09-19,1927-09-19,"North America, United States, Illinois, Cook County",Schiller Park,[transcribed directly into formatted locality fields],Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections.,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
170,2017.14.2666,Herbert C. Brun-563 (a),collector number,self,[CHAS:Mamm]2017.14,Curculio sp.,legacy,unknown,,Beetle.,1928-10-09,1928-10-09,1928-10-09,"North America, United States, Pennsylvania, Allegheny County","Perrymont Station, near Pittsburg","Perrymont Station, near Pittsburg",Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-13).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
217,2017.14.2725,Herbert C. Brun-586 (a),collector number,self,[CHAS:Mamm]2017.14,Sitophilus oryzae,legacy,unknown,,Beetle.,[no date recorded],1800,2018-01-25,"North America, United States",no specific locality recorded,"""Pittsburg, PA (Or Chicago, Ill)""[The label says both]",Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-13).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
218,2017.14.2726,Herbert C. Brun-587 (a),collector number,self,[CHAS:Mamm]2017.14,Sitophilus oryzae,legacy,unknown,,Beetle.,1930,1930-01-01,1930-12-31,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-13).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
294,2017.14.2713,Herbert C. Brun-554 (a),collector number,self,[CHAS:Mamm]2017.14,Megacyllene robinae,legacy,unknown,,Beetle.,1926-09-15,1926-09-15,1926-09-15,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2018-01-25,unverified,Oskar Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-13).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Oskar Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
127,2017.14.2505,Herbert C. Brun-670 (a),collector number,self,[CHAS:Mamm]2017.14,Acalymma vittatum,legacy,unknown,,Beetle.,1928-09-01,1928-09-01,1928-09-01,"North America, United States, Illinois, Cook County",Willow Springs,[transcribed directly into formatted locality fields],Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-14).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory. Described as: Specimen in gel cap.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
215,2017.14.2723,Herbert C. Brun-675 (a),collector number,self,[CHAS:Mamm]2017.14,Physocnemum brevilineum,legacy,unknown,,Beetle.,1934-07-05,1934-07-05,1934-07-05,"North America, United States, Illinois, Cook County","Chicago, Lincoln Park",Lincoln Park,Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-14).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
236,2017.14.2699,Herbert C. Brun-580 (a),collector number,self,[CHAS:Mamm]2017.14,Hippadamia tredecempunctata,legacy,unknown,,Beetle.,1927-07-13,1927-07-13,1927-07-13,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-14).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
262,2017.14.2700,Herbert C. Brun-578 (a),collector number,self,[CHAS:Mamm]2017.14,Hippadamia tredecempunctata,legacy,unknown,,Beetle.,1927-09-05,1927-09-05,1927-09-05,"North America, United States, Illinois, Cook County","Chicago, Lincoln Park",Lincoln Park,Erica Krimmel,2018-01-25,unverified,Herbert C. Brun,collector,CHAS:Ento,DATA HISTORY: Transcribed from Brun catalog books A and B but unable to match up with specimens physically in CHAS collections. Inventory catalogued/verified by Julia Colby (2010-09-14).,whole organism (pinned),Poor.,1,discarded,"Assumed to have been discarded, as many Brun specimens were found in extremely poor condition during 2009-2010 inventory.",verbatim collector,Herbert C. Brun,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
