COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ORIG_ELEV_UNITS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1,ekrimmel,2015.6.17,,,,[CHAS:Mamm]2015.6,Andrenidae,legacy,unknown,,Mining Bee.,25.V.15,2015-05-25,2015-05-25,"North America, United States, Illinois, Cook County","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago, Illinois 60614","PNNM, 2430 North Cannon Drive, Chicago, IL 60614",Erica Krimmel,2017-06-17,unverified,,,,Allen Lawrance,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. EXHIBIT AND LOAN HISTORY: L2015.8, Bees exhibit. DATA HISTORY: Inventory catalogued/verified by Erica Krimmel (2015-06-03). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-06-17).",,,,whole organism (pinned),Excellent.,1,in collection,,verbatim collector,A. Lawrance,Erica Krimmel,2018-01-22,sex,not recorded,Erica Krimmel,2018-01-22,,,,,"Collected by aspirator, either from Zizia aurea or Rosa plants growing outside the Nature Museum.",accepted place of collection
2,ekrimmel,2015.6.18,,,,[CHAS:Mamm]2015.6,Andrenidae,legacy,unknown,,Mining Bee.,25.V.15,2015-05-25,2015-05-25,"North America, United States, Illinois, Cook County","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago, Illinois 60614","PNNM, 2430 North Cannon Drive, Chicago, IL 60614",Erica Krimmel,2017-06-17,unverified,,,,Allen Lawrance,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. EXHIBIT AND LOAN HISTORY: L2015.8, Bees exhibit. DATA HISTORY: Inventory catalogued/verified by Erica Krimmel (2015-06-03). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-06-17).",,,,whole organism (pinned),Excellent.,1,in collection,,verbatim collector,A. Lawrance,Erica Krimmel,2018-01-22,sex,not recorded,Erica Krimmel,2018-01-22,,,,,"Collected by aspirator, either from Zizia aurea or Rosa plants growing outside the Nature Museum.",accepted place of collection
3,ekrimmel,2017.10.1140,,,,[CHAS:Mamm]2017.10,Apidae,legacy,unknown,,Bee.,II/1991,1991-02-01,1991-02-28,"South America, Peru, Loreto, Maynas",Iquitos,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-30). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),unchecked,1,missing,"2017 found missing from drawer, ""Out on Loan"" note includes ""Bee (1).""",,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
4,ekrimmel,2017.10.1184,,,,[CHAS:Mamm]2017.10,Apidae,legacy,unknown,,Bee.,II/1991,1991-02-01,1991-02-28,"South America, Peru, Loreto, Maynas",Iquitos,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. EXHIBIT AND LOAN HISTORY: L2012.15, Insects an Enormous Diversity exhibit.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-30). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),unchecked,1,missing,Not found 2017-05-20.,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
5,ekrimmel,2017.10.1204,,,,[CHAS:Mamm]2017.10,Apidae,legacy,unknown,,Bee.,II/1991,1991-02-01,1991-02-28,"South America, Peru, Loreto, Maynas",Iquitos,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. EXHIBIT AND LOAN HISTORY: L2012.15, Insects an Enormous Diversity exhibit.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-30). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),unchecked,1,missing,Not found 2017-05-20.,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
6,ekrimmel,2017.10.1217,,,,[CHAS:Mamm]2017.10,Apidae,legacy,unknown,,Bee.,II/1991,1991-02-01,1991-02-28,"South America, Peru, Loreto, Maynas",Iquitos,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. EXHIBIT AND LOAN HISTORY: L2012.15, Insects an Enormous Diversity exhibit.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-30). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),unchecked,1,missing,Not found 2017-05-20.,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
7,ekrimmel,2017.10.11232,,,,[CHAS:Mamm]2017.10,Apidae,legacy,unknown,,Bee.,II/1991,1991-02-01,1991-02-28,"South America, Peru, Loreto, Maynas",Iquitos,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-30). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),unchecked,1,missing,Not found 2017-05-20.,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
8,ekrimmel,1990.1.70,,,,[CHAS:Mamm]1990.1,Apinae,legacy,unknown,,Bee.,Sat Jul 30 00:00:00 CDT 1988,1988-07-30,1988-07-30,"North America, United States, Illinois, Cook County","Chicago, Lincoln Park Bird Sanctuary",Lincoln Park Bird Sanctuary,Michael Portala,2017-02-25,unverified,,,,George Hulse,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. Matched to accession during Arctos migration process, 2018, based on collector. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-18). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Fair.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
9,ekrimmel,2017.10.11339,,,,[CHAS:Mamm]2017.10,Apis mellifera,legacy,unknown,,Bee.,[no date recorded],1800,2018-01-22,"North America, United States, Colorado, El Paso County",Colorado Springs,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-17). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Good.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
10,ekrimmel,2017.10.11527,,,,[CHAS:Mamm]2017.10,Apis mellifera,legacy,unknown,,Bee.,Sat May 13 00:00:00 CDT 1990,1990-05-13,1990-05-13,"North America, United States, Illinois, Cook County","Chicago, Jackson Park",Jackson Park,Michael Portala,2017-02-25,unverified,,,,George Hulse,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-30). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Good.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
11,ekrimmel,2017.10.11528,,,,[CHAS:Mamm]2017.10,Apis mellifera,legacy,unknown,,Bee.,Sun Jun 05 00:00:00 CST 1904,1904-06-05,1904-06-05,"North America, United States, Illinois, DuPage County",Glen Ellyn,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-17). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Poor. Missing head.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
12,ekrimmel,1987.5.109,George Hulse-BB3,collector number,self,[CHAS:Mamm]1987.5,Apis mellifera,legacy,unknown,,Bee.,Mon Aug 17 00:00:00 CDT 1987,1987-08-17,1987-08-17,"North America, United States, Illinois, Cook County","Chicago, Humboldt Park",Humboldt Park,Michael Portala,2017-02-25,unverified,,,,George Hulse,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. Matched to accession during Arctos migration process, 2018, based on collector. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-18). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Good.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
13,ekrimmel,1990.1.71,,,,[CHAS:Mamm]1990.1,Apis mellifera,legacy,unknown,,Bee.,Sun Aug 13 00:00:00 CDT 1989,1989-08-13,1989-08-13,"North America, United States, Illinois, Cook County","Chicago, Jackson Park",Jackson Park,Michael Portala,2017-02-25,unverified,,,,George Hulse,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. Matched to accession during Arctos migration process, 2018, based on collector. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-17). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Fair.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
14,ekrimmel,2017.10.11532,,,,[CHAS:Mamm]2017.10,Apis mellifera,legacy,unknown,,Bee.,Sun May 13 00:00:00 CDT 1990,1990-05-13,1990-05-13,"North America, United States, Illinois, Cook County","Chicago, Jackson Park",Jackson Park,Michael Portala,2017-02-25,unverified,,,,George Hulse,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-17). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Fair.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
15,ekrimmel,2017.10.11584,,,,[CHAS:Mamm]2017.10,Apis mellifera,legacy,unknown,,Bee.,Sun Sep 09 00:00:00 CDT 1990,1990-09-09,1990-09-09,"North America, United States, Illinois, Cook County","Chicago, Jackson Park",Jackson Park,Michael Portala,2017-02-25,unverified,,,,George Hulse,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-17). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Good.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
16,ekrimmel,2017.10.11585,,,,[CHAS:Mamm]2017.10,Apis mellifera,legacy,unknown,,Bee.,[no date recorded],1800,2018-01-22,"North America, United States, Illinois",northern Illinois,Northern Illinois,Michael Portala,2017-02-25,unverified,,,,unknown,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Heather Arieti (2010-08-17). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Good.,1,in collection,,,,,,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
17,ekrimmel,2017.10.11847,,,,[CHAS:Mamm]2017.10,Apis mellifera,legacy,Paul Francuch,2017,European Honey Bee.,"""Aug 2012""",2012-08-01,2012-08-31,"North America, United States, Illinois, Cook County","Chicago, Horner Park, from local bee hive","Horner Park, from local bee hive",Michael Portala,2017-02-25,unverified,,,,Robin Delapenna,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. DATA HISTORY: Inventory catalogued/verified by Paul Francuch (2016-04-05). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Fair. Some legs/wings/heads appear missing.,15,in collection,,verbatim collector,Robin Delapenna,Erica Krimmel,2018-01-22,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
18,ekrimmel,2017.14.2277,115,original identifier,self,[CHAS:Mamm]2017.14,Apis mellifera,legacy,unknown,,Bee.,July 6 26,1926-07-06,1926-07-06,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,Herbert C. Brun,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. Matched to accession during Arctos migration process, 2018, based on collector. DATA HISTORY: Inventory catalogued/verified by Michael Portala (2017-02-25). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Good.,1,in collection,,verbatim collector,H. Brun,Erica Krimmel,2018-01-22,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
19,ekrimmel,2017.14.2278,113,original identifier,self,[CHAS:Mamm]2017.14,Apis mellifera,legacy,unknown,,Bee.,June 18 27,1927-06-18,1927-06-18,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,Herbert C. Brun,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. Matched to accession during Arctos migration process, 2018, based on collector. DATA HISTORY: Inventory catalogued/verified by Michael Portala (2017-02-25). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),"Poor. Only dorsal side of thorax remains, with wings attached.",1,in collection,,verbatim collector,H. Brun,Erica Krimmel,2018-01-22,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
20,ekrimmel,2017.14.2279,210,original identifier,self,[CHAS:Mamm]2017.14,Apis mellifera,legacy,unknown,,Bee.,July 21 27,1927-07-21,1927-07-21,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,Herbert C. Brun,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. Matched to accession during Arctos migration process, 2018, based on collector. DATA HISTORY: Inventory catalogued/verified by Michael Portala (2017-02-25). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Poor. Head barely attached.,1,in collection,,verbatim collector,H. Brun,Erica Krimmel,2018-01-22,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
21,ekrimmel,2017.14.2280,114,original identifier,self,[CHAS:Mamm]2017.14,Apis mellifera,legacy,Grace Sandhouse,1929,Bee.,Sept -- 27,1927-09-01,1927-09-30,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Michael Portala,2017-02-25,unverified,,,,Herbert C. Brun,collector,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match. Matched to accession during Arctos migration process, 2018, based on collector. DATA HISTORY: Inventory catalogued/verified by Michael Portala (2017-02-25). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2017-02-25).",,,,whole organism (pinned),Good.,1,in collection,,verbatim collector,H. Brun,Erica Krimmel,2018-01-22,sex,not recorded,Erica Krimmel,2018-01-22,,,,,,accepted place of collection
