COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MAXIMUM_ELEVATION,MINIMUM_ELEVATION,ORIG_ELEV_UNITS,HABITAT,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_REMARKS_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1,ekrimmel,2017.10.27,,,,[CHAS:Mamm]2017.10,Argasidae,student,D. Footle,2009,Tick.,"June, 1937",1937-06-01,1937-06-30,"North America, United States, Arizona",no specific locality recorded,[transcribed directly into formatted locality fields],Erica Krimmel,2016-09-22,unverified,,,,,Earl G. Wright,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by D. Footle (2009-07-02). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),unchecked,1,in collection,,verbatim collector,E.G.W.,2017-07-11,Erica Krimmel,sex,not recorded,,2017-07-11,Erica Krimmel,age class,adult,Verbatim: 'Adult',1937-06-30,Earl G. Wright,,accepted place of collection
2,ekrimmel,2017.10.28,,,,[CHAS:Mamm]2017.10,Ixodidae,student,D. Footle,2009,Tick.,18 May ?,1800-05-18,2017-05-18,"North America, United States",no specific locality recorded,Arboretum,Erica Krimmel,2016-09-22,unverified,,,,,unknown,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Y. Matos (2008-12-08). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),unchecked,4,in collection,,,,,,sex,recorded as unknown,Verbatim: '?',2017-05-18,unknown,,,,,,,accepted place of collection
3,ekrimmel,2017.10.29,,,,[CHAS:Mamm]2017.10,Ixodidae,student,D. Footle,2009,Tick.,5/26/????,1940-05-26,1940-05-26,"North America, United States, Arizona, Pinal County","Superior, W side of Picketpost Mt.",West side of Picketpost,Erica Krimmel,2016-09-22,unverified,,,,under rock,unknown,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by D. Footle (2009-07-02). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),Fair. One leg severed from specimen.,1,in collection,,,,,,sex,not recorded,,2017-07-11,Erica Krimmel,age class,adult,Verbatim: 'Adult',1940-05-26,unknown,,accepted place of collection
4,ekrimmel,2017.10.30,,,,[CHAS:Mamm]2017.10,Phalangiidae,student,D. Footle,2009,Harvestmen.,6 June ?,1800-06-06,2017-06-06,"North America, United States",no specific locality recorded,6 mi. NE of Columbus,Erica Krimmel,2016-09-22,unverified,,,,,unknown,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Y. Matos (2008-11-24). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),unchecked,1,in collection,,,,,,sex,recorded as unknown,Verbatim: '?',2017-06-06,unknown,,,,,,,accepted place of collection
5,ekrimmel,2017.10.31,,,,[CHAS:Mamm]2017.10,Phalangiidae,student,D. Footle,2009,Harvestmen.,05/15/1940,1940-05-15,1940-05-15,"North America, United States",no specific locality recorded,Arboretum,Erica Krimmel,2016-09-22,unverified,,,,,unknown,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Y. Matos (2008-11-17). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),unchecked,5,in collection,,,,,,sex,recorded as unknown,Verbatim: '?',1940-05-15,unknown,,,,,,,accepted place of collection
6,ekrimmel,2017.10.32,,,,[CHAS:Mamm]2017.10,Phalangiidae,student,D. Footle,2009,Harvestmen.,05/27/1947,1947-05-27,1947-05-27,"North America, United States",no specific locality recorded,Arboretum,Erica Krimmel,2016-09-22,unverified,,,,,Robert G. Dunlap,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Y. Matos (2008-12-01). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),unchecked,1,in collection,,verbatim collector,Bob Dunlap,2017-07-11,Erica Krimmel,sex,recorded as unknown,Verbatim: '?',1947-05-27,Robert G. Dunlap,,,,,,,accepted place of collection
7,ekrimmel,2017.10.33,,,,[CHAS:Mamm]2017.10,Phalangiidae,student,D. Footle,2009,Harvestmen.,16 June ?,1800-06-16,2017-06-16,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2016-09-22,unverified,7300,7300,ft,just below cabin,unknown,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Y. Matos (2008-10-27). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),unchecked,1,in collection,,,,,,sex,recorded as unknown,Verbatim: '?',2017-06-16,unknown,,,,,,,accepted place of collection
8,ekrimmel,2017.10.34,,,,[CHAS:Mamm]2017.10,Phalangiidae,student,D. Footle,2009,Harvestmen.,05/15/1940,1940-05-15,1940-05-15,"North America, United States, Arizona, Pinal County",Boyce-Thompson Southwestern Arboretum,arboretum ,Erica Krimmel,2016-09-22,unverified,,,,at night,Donald C. Lowrie,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by D. Footle (2009-06-30). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),"Fair. Some specimens are missing a few legs, and others are in tangled mess of legs.",7,in collection,,verbatim collector,D.C. Lowrie,2017-07-11,Erica Krimmel,sex,not recorded,,2017-07-11,Erica Krimmel,,,,,,,accepted place of collection
9,ekrimmel,2017.10.35,,,,[CHAS:Mamm]2017.10,Phalangiidae,student,D. Footle,2009,Harvestmen.,5/26/????,1940-05-26,1940-05-26,"North America, United States, Arizona, Pinal County",Pinal Mt.,Mt. Pinal,Erica Krimmel,2016-09-22,unverified,7800,7800,ft,,unknown,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by D. Footle (2009-06-30). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),Fair. Some legs severed from specimen.,2,in collection,,,,,,sex,not recorded,,2017-07-11,Erica Krimmel,,,,,,,accepted place of collection
10,ekrimmel,2017.10.36,,,,[CHAS:Mamm]2017.10,Phalangiidae,student,D. Footle,2009,Harvestmen.,05/26/1940,1940-05-26,1940-05-26,"North America, United States, Arizona, Pinal County","Boyce-Thompson Southwestern Arboretum, Queen Creek","Queen Cr., Superior-Thompson Southwestern Arboretum",Erica Krimmel,2016-09-22,unverified,2300,2300,ft,,unknown,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by D. Footle (2009-06-30). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-09-22).,whole organism (vial),unchecked,1,in collection,,,,,,sex,not recorded,,2017-07-11,Erica Krimmel,,,,,,,accepted place of collection
