COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ORIG_ELEV_UNITS,HABITAT,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1,ekrimmel,E2017C.1490,,,,[CHAS:Mamm]E2017C,Orthoptera,legacy,unknown,,Grasshopper.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Julia Colby,2010-09-24,unverified,,,,,unknown,collector,,,CHAS:Teach,DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-24). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-24).,whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
2,ekrimmel,E2017C.1491,,,,[CHAS:Mamm]E2017C,Orthoptera,legacy,unknown,,Grasshopper.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Julia Colby,2010-09-24,unverified,,,,,unknown,collector,,,CHAS:Teach,DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-24). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-24).,whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
3,ekrimmel,17045,,,,[CHAS:Mamm]1408,Calopteryx maculata,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois, DuPage County",Batavia,"FROM SPECIMEN: Batavia; FROM ORIGINAL CATALOG BOOK: Batavia, Ill [Illinois]",Julia Colby,2010-09-21,unverified,,,,,W. E. Longley,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. EXHIBIT AND LOAN HISTORY: One specimen on exhibit in PNNM, since pre-2008. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-21). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-21).",whole organism (pinned),Good.,2,on exhibit,Number of specimens from records: 2 (Original Catalog Book).,,,,,,verbatim collector,W.E. Longley,2018-01-19,Erica Krimmel,sex,female,,W. E. Longley,sex,male,,W. E. Longley,,accepted place of collection
5,ekrimmel,17046.2,17046b,CHAS:Ento,self,[CHAS:Mamm]1408,Calopteryx dimidiata,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois, DuPage County",Batavia,"FROM SPECIMEN: Batavia; FROM ORIGINAL CATALOG BOOK: Batavia, Ill [Illinois]",Julia Colby,2010-09-21,unverified,,,,,W. E. Longley,collector,,,CHAS:Ento,"INTERNAL NOTES: This record (CAS CN 17046) has been divided into separate records (17046 a-b), according to location of specimen found. Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. EXHIBIT AND LOAN HISTORY: One specimen on exhibit in PNNM, since pre-2008. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-21). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-21).",whole organism (pinned),Fair.,1,on exhibit,Number of specimens from records: 2 (Original Catalog Book).,,,,,,verbatim collector,W.E. Longley,2018-01-19,Erica Krimmel,sex,male,,W. E. Longley,,,,,,accepted place of collection
6,ekrimmel,17044,,,,[CHAS:Mamm]1408,Hetaerina americana,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois, DuPage County",Batavia,"FROM SPECIMEN: Batavia; FROM ORIGINAL CATALOG BOOK: Batavia, Ill [Illinois]",Julia Colby,2010-09-21,unverified,,,,,W. E. Longley,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. EXHIBIT AND LOAN HISTORY: One specimen on exhibit in PNNM, since pre-2008. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-21). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-21).",whole organism (pinned),Good.,2,on exhibit,Number of specimens from records: 2 (Original Catalog Book).,,,,,,verbatim collector,W.E. Longley,2018-01-19,Erica Krimmel,sex,female,,Erica Krimmel,,,,,,accepted place of collection
7,ekrimmel,17043,,,,[CHAS:Mamm]1408,Lestes ungniculata,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,FROM SPECIMEN: [no locality recorded]; FROM ORIGINAL CATALOG BOOK: [Glen Ellyn?],Julia Colby,2010-09-21,unverified,,,,,W. E. Longley,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. EXHIBIT AND LOAN HISTORY: One specimen on exhibit in PNNM, since pre-2008. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-21). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-21).",whole organism (pinned),Good.,2,on exhibit,Number of specimens from records: 2 (Original Catalog Book).,,,,,,verbatim collector,W.E. Longley,2018-01-19,Erica Krimmel,sex,female,,W. E. Longley,sex,male,,W. E. Longley,,accepted place of collection
8,ekrimmel,17049,,,,[CHAS:Mamm]1408,Lestus rectangularis,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois, Cook County",Riverside,"FROM SPECIMEN: Riverside; FROM ORIGINAL CATALOG BOOK: Riverside, Ill. [Illinois]",Julia Colby,2010-09-21,unverified,,,,,W. E. Longley,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. EXHIBIT AND LOAN HISTORY: One specimen on exhibit in PNNM, since pre-2008. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-21). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-21).",whole organism (pinned),Good.,2,on exhibit,Number of specimens from records: 2 (Original Catalog Book).,,,,,,verbatim collector,W.E. Longley,2018-01-19,Erica Krimmel,sex,female,,W. E. Longley,sex,male,,W. E. Longley,,accepted place of collection
9,ekrimmel,13575,,,,[CHAS:Mamm]1100,Zygoptera,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois,Julia Colby,2010-09-21,unverified,,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Inventory specimen does not match catalog book specimen [Erica Krimmel]. EXHIBIT AND LOAN HISTORY: One specimen on exhibit in PNNM, since pre-2008. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-21). Record last updated in Excel (prior to Arctos migration) by Julia Colby (2010-09-21).",whole organism (pinned),unchecked,1,on exhibit,,,,,,,verbatim collector,Andrew Bolter,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
10,ekrimmel,2017.10.11529,,,,[CHAS:Mamm]2017.10,Eramoblatta sp.,legacy,Julia Colby,2012,Cockroach.,28 May ?,1800-05-28,2017-05-28,"North America, United States, Arizona, Pinal County",1 mi SW Florence Jct,FROM SPECIMEN: 1 mile S.W. Florence Jct.,Dawn R. Roberts,2014-05-21,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Y. Matos (2008-12-22). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-21).",whole organism (fluid-preserved),unchecked,1,in collection,Separated from a mixed vial of this specimen and a Hymenoptera specimen.,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
11,ekrimmel,2017.10.11530,,,,[CHAS:Mamm]2017.10,Arthropleidae,legacy,D. Footle,,Mayfly.,16 Jun ?,1800-06-16,2017-06-16,"North America, United States, Arizona, Cochise County","Huachuca Mountains, Ramsey Canyon","FROM SPECIMEN: Ramsey Canyon, Huachnea Mts.",Dawn R. Roberts,2014-05-21,unverified,6000,6000,ft,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Y. Matos (2008-10-13). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-21).",whole organism (fluid-preserved),unchecked,2,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,age class,larva,,unknown,,accepted place of collection
12,ekrimmel,2017.10.11531,,,,[CHAS:Mamm]2017.10,Helicopsyche sp.,legacy,unknown,,Caddisfly.,6/16/????,1800-06-16,2017-06-16,"North America, United States, Arizona, Cochise County",below Hamburg Mine,FROM SPECIMEN: Below Hamburg Mine,Dawn R. Roberts,2014-05-21,unverified,6000,6000,ft,stream,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by D. Footle (2009-07-07). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-21).",whole organism (fluid-preserved),unchecked,3,in collection,Possibly one specimen missing and only larval casing remaining.,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,age class,larva,,unknown,,accepted place of collection
13,ekrimmel,1938.4423.2,,,,[CHAS:Mamm]4423,Zygoptera,legacy,unknown,,Damselfly.,"April 30, 1938",1938-04-30,1938-04-30,"North America, United States, Illinois, Lake County","Waukegan Flats, Dead River","FROM SPECIMEN: Waukegan Flats, Ill., Dead River",Dawn R. Roberts,2017-07-01,unverified,,,,,Donald C. Lowrie,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2017-07-01). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2017-07-01).",whole organism (pinned),Fair. Part of abdomen missing.,1,in collection,,,,,,,verbatim collector,Donald C. Lowrie,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
14,ekrimmel,E2017C.1492,,,,[CHAS:Mamm]E2017C,Mantodea sp.,legacy,unknown,,Mantid.,Wed Mar 28 1979,1979-03-28,1979-03-28,"Asia, Malaysia, Perak, Indonesian Archipelago",Gopeng,FROM SPECIMEN: Gopeng,Michael Portala,2016-02-13,unverified,,,,,unknown,collector,,,CHAS:Teach,DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-27). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-13).,whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
15,ekrimmel,1987.5.66,George Hulse-BT13,collector number,self,[CHAS:Mamm]1987.5,Blatella germanica,legacy,unknown,,Cockroach.,7/31/1987,1987-07-31,1987-07-31,"North America, United States, Illinois, Cook County","Chicago, 1808 N Washtenaw Ave",FROM SPECIMEN: 1808 N. Washtenaw,Michael Portala,2016-02-17,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-06-16). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
16,ekrimmel,1895.503.34,,,,[CHAS:Mamm]503,Eurycotis floridana,legacy,unknown,,Cockroach.,January,1800-01-01,2017-01-31,"North America, United States, Florida",no specific locality recorded,[transcribed directly into formatted locality fields],Michael Portala,2016-02-17,unverified,,,,,Oliver S. Westcott,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,westcott,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
17,ekrimmel,2017.10.11533,,,,[CHAS:Mamm]2017.10,Eurycotis floridana,legacy,unknown,,Cockroach.,3/22,1800-03-22,2017-03-22,"North America, United States, Florida",Haulover,FROM SPECIMEN: Haulover,Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
18,ekrimmel,1904.2079.19,,,,[CHAS:Mamm]2079,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,Sun Jun 04 1905,1905-06-04,1905-06-04,"North America, United States, Indiana, Porter County",Pine,"FROM SPECIMEN: Pine [Township; inludes Beverly Shores and Town of the Pines, as well as the Eastern portion of the Dunes National Lake Shore]",Michael Portala,2016-02-17,unverified,,,,,A. B. Wolcott,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,A.B. Wolcott,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
