COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
846,ekrimmel,2017.15.30,,,,[CHAS:Mamm]2017.15,Blattidae,legacy,unknown,,Cockroach.,20-IX-1978,1978-09-20,1978-09-20,"North America, United States, New York, Tompkins County",Ithaca,"Ithaca, N.Y.",Dawn R. Roberts,2015-08-19,unverified,B. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2014-02-11). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Poor. Some mold covers specimen.,1,in collection,verbatim collector,B. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,B. Semel,1978-09-20,,accepted place of collection
713,ekrimmel,2017.15.31,,,,[CHAS:Mamm]2017.15,Calosoma calidum,legacy,unknown,,Fiery Hunter.,10-VIII-1955,1955-08-10,1955-08-10,"North America, United States, New York, Suffolk County, Long Island, Long Island",Riverhead,"Riverhead, L.I, New York",Dawn R. Roberts,2015-08-19,unverified,M. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2013-10-29). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Poor. Head detached and hanging.,1,in collection,verbatim collector,M. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,M. Semel,1955-08-10,,accepted place of collection
513,ekrimmel,2017.15.32,,,,[CHAS:Mamm]2017.15,Cerambycidae,legacy,unknown,,Beetle.,27 Sept. 78,1978-09-27,1978-09-27,"North America, United States, New York, Tompkins County",Ithaca,"Ithaca, N.Y.",Dawn R. Roberts,2015-08-19,unverified,B. Semel,collector,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Julia Colby(2010-09-07). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).,whole organism (pinned),Fair. Moldy specimen.,1,in collection,verbatim collector,B. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,On wood.,accepted place of collection
714,ekrimmel,2017.15.33,,,,[CHAS:Mamm]2017.15,Neoclytus acuminatus,legacy,unknown,,Red-headed Ash Borer.,1-II-1966,1966-02-01,1966-02-01,"North America, United States, New York, Suffolk County, Long Island, Long Island",Riverhead,"Riverhead, L.I, New York",Dawn R. Roberts,2015-08-19,unverified,M. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2013-10-29). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Good.,1,in collection,verbatim collector,M. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,M. Semel,1966-02-01,,accepted place of collection
715,ekrimmel,2017.15.34,,,,[CHAS:Mamm]2017.15,Chelymorpha cassidea,legacy,M. Semel,,Argus Tortoise Beetle.,28-VII-1977,1977-07-28,1977-07-28,"North America, United States, New York, Suffolk County, Long Island, Long Island",Wading River,"Wading River, New York",Dawn R. Roberts,2015-08-19,unverified,M. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2013-10-08). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Good.,1,in collection,verbatim collector,M. Semel BL,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,M. Semel,1977-07-28,,accepted place of collection
515,ekrimmel,2017.15.35,,,,[CHAS:Mamm]2017.15,Chrysomelidae,legacy,unknown,,Leaf Chewing.,17 Sept. 1978,1978-09-17,1978-09-17,"North America, United States, New York, Schuyler County",Hector Land Use Area,"N.Y. Schuyler Co., Hector Land Use Area",Dawn R. Roberts,2015-08-19,unverified,B. Semel,collector,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Julia Colby(2010-09-07). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).,whole organism (pinned),Fair. Moldy specimen.,1,in collection,verbatim collector,B. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
716,ekrimmel,2017.15.36,,,,[CHAS:Mamm]2017.15,Labidomera clivicollis,legacy,unknown,,Swamp Milkweed Leaf Beetle. Original note: det. LLP.,4-IV-1968,1968-04-04,1968-04-04,"North America, United States, New York, Suffolk County, Long Island, Long Island",Mattituck,"Mattituck, New York [Long Island]",Dawn R. Roberts,2015-08-19,unverified,M. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2013-10-08). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Good.,1,in collection,verbatim collector,M. Semel BL,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,M. Semel,1968-04-04,,accepted place of collection
849,ekrimmel,2017.15.37,,,,[CHAS:Mamm]2017.15,Labidomera clivicollis,legacy,unknown,,Milkweek Leaf Beetle. Original note: det. LLP.,4-IV-1968,1968-04-04,1968-04-04,"North America, United States, New York, Suffolk County, Long Island, Long Island",Mattituck,"Mattituck, New York [Long Island]",Dawn R. Roberts,2015-08-19,unverified,M. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2013-12-10). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Excellent.,1,in collection,verbatim collector,M. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,M. Semel,1968-04-04,,accepted place of collection
717,ekrimmel,2017.15.38,,,,[CHAS:Mamm]2017.15,Lema trilinea,legacy,unknown,,Three-lined Potato Bug.,16-VII-1950,1950-07-16,1950-07-16,"North America, United States, New York, Suffolk County, Long Island, Long Island",Yaphank,"Yaphank, N.Y.",Dawn R. Roberts,2015-08-19,unverified,M. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2013-10-08). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Good.,1,in collection,verbatim collector,Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,M. Semel,1950-07-16,,accepted place of collection
850,ekrimmel,2017.15.39,,,,[CHAS:Mamm]2017.15,Leptinotarsa decemlineata,legacy,unknown,,Colorado Potato Beetle.,21-VI-1956,1956-06-21,1956-06-21,"North America, United States, New York, Suffolk County, Long Island, Long Island",Riverhead,"Riverhead, L.I, New York",Dawn R. Roberts,2015-08-19,unverified,M. Semel,collector,CHAS:Ento,"INTERNAL NOTES: Originally found in museum freezer, 2013. DATA HISTORY: Inventory catalogued/verified by Lorraine Kells(2013-12-03). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).",whole organism (pinned),Good.,1,in collection,verbatim collector,M. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,age class,adult,M. Semel,1956-06-21,,accepted place of collection
518,ekrimmel,2017.15.40,,,,[CHAS:Mamm]2017.15,Coccinellidae,legacy,unknown,,Leaf Chewing.,17 Sept. 1978,1978-09-17,1978-09-17,"North America, United States, New York, Schuyler County",Hector Land Use Area,"N.Y. Schuyler Co., Hector Land Use Area",Dawn R. Roberts,2015-08-19,unverified,B. Semel,collector,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Julia Colby(2010-09-07). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-19).,whole organism (pinned),Fair. Moldy specimen.,1,in collection,verbatim collector,B. Semel,Erica Krimmel,2018-01-25,sex,not recorded,unknown,2018-01-25,,,,,,accepted place of collection
