COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_NUM_4,OTHER_ID_NUM_TYPE_4,OTHER_ID_REFERENCES_4,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_NUM_5,OTHER_ID_NUM_TYPE_5,OTHER_ID_REFERENCES_5,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,MAXIMUM_ELEVATION,MINIMUM_ELEVATION,ORIG_ELEV_UNITS,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,SPECIMEN_EVENT_REMARK,LOCALITY_REMARKS,COLL_EVENT_REMARKS,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTING_SOURCE,COLLECTING_METHOD,HABITAT,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,GUID_PREFIX,PART_DISPOSITION_1,PART_LOT_COUNT_1,PART_NAME_1,PART_CONDITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UNITS_1,ATTRIBUTE_REMARKS_1,ATTRIBUTE_DET_METH_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UNITS_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DET_METH_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UNITS_3,ATTRIBUTE_REMARKS_3,ATTRIBUTE_DET_METH_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_REMARKS_4,ATTRIBUTE_DET_METH_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UNITS_5,ATTRIBUTE_REMARKS_5,ATTRIBUTE_DET_METH_5,ATTRIBUTE_DATE_5,ATTRIBUTE_DETERMINER_5,ATTRIBUTE_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_UNITS_6,ATTRIBUTE_REMARKS_6,ATTRIBUTE_DET_METH_6,ATTRIBUTE_DATE_6,ATTRIBUTE_DETERMINER_6,ATTRIBUTE_7,ATTRIBUTE_VALUE_7,ATTRIBUTE_UNITS_7,ATTRIBUTE_REMARKS_7,ATTRIBUTE_DATE_7,ATTRIBUTE_DET_METH_7,ATTRIBUTE_DETERMINER_7,SPECIMEN_EVENT_TYPE,LOCALITY_NAME,COLLECTING_EVENT_NAME,coll_object_remarks
13593,achinn,2019.6.1,,,,,,,,,UUID,,,,[CHAS:Mamm]2019.6,Melanosuchus niger,unknown,unknown,,Black caiman.,"[no date recorded, prior to Black caiman.]",1800-01-01,2009-04-16,,,,no higher geography recorded,no specific locality recorded,[no locality recorded],,,Date contrained by inventory date [achinn 26 June 2020].,Anna Chinn,2020-06-26,unverified,wild caught,,,unknown,collector,,,,,,,CHAS:Herp,discarded,1,"skin, mounted","Poor. Both front feet broken off and missing; toes of back feet broken off; tip of tail broken, previously repaired, pieces missing; skin splitting in places and repaired with duct and clear tape; loss of skin under jaw and down throat; Stuffed specimen, with core that seems to be a dried straw material; underbelly sewn up; standing position with head up and mouth open, tail curved to proper left in S curve; glass eyes.","Deaccessioned June 30, 2010. Destroyed; picked up by Veolia 9/3/2009 from Ravenswood collections facility for destruction. [DRoberts]",,,,,,age class,adult,,,,2009-04-16,unknown,sex,,,,,2009-04-16,unknown,unformatted measurements,,,,,2009-04-16,unknown,colors,,,,,2009-04-16,unknown,reproductive data,,,,,2009-04-16,unknown,stomach contents,,,,,2009-04-16,unknown,verbatim collector,,,,,,,collection,,,INTERNAL NOTES: Originally inventoried as found in collection (FIC). DATA HISTORY: Inventory catalogued/verified by Tom Anton (2009-04-16). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2015-06-26).
13585,achinn,2019.6.2,,,,,,,,741de5d1-8617-4607-8ad5-2765377a9c23,UUID,,,,[CHAS:Mamm]2019.6,Coluber constrictor foxii,unknown,unknown,,North American Racer.,"[no date recorded, prior to North American Racer.]",1800-01-01,2009-12-31,,,,"North America, United States, Michigan, Muskegon County",no specific locality recorded,[transcribed directly into verbatim fields],,,Date contrained by inventory date [achinn 26 June 2020].,Anna Chinn,2020-06-26,unverified,wild caught,,,unknown,collector,,,,,,,CHAS:Herp,in collection,1,whole organism (70% ethanol),unchecked,,,,,,,age class,,,,,2009-12-31,unknown,sex,,,,,2009-12-31,unknown,unformatted measurements,,,,,2009-12-31,unknown,colors,,,,,2009-12-31,unknown,reproductive data,,,,,2009-12-31,unknown,stomach contents,,,,,2009-12-31,unknown,verbatim collector,,,,,,,collection,,,INTERNAL NOTES: Originally inventoried as found in collection (FIC). DATA HISTORY: Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2014-09-17).
13599,achinn,2019.6.3,,,,,,,,45c1de7b-0b0a-4f9b-aeab-68d19c266794,UUID,,,,[CHAS:Mamm]2019.6,Opheodrys vernalis,unknown,unknown,,Smooth Green Snake.,"[no date recorded, prior to Smooth Green Snake.]",1800-01-01,2009-12-31,,,,"North America, United States, Wisconsin, Vilas County","Warrior Lake, 10 mi W of Monoqua","Warrior Lake, 10 mi W Monoqua",,,Date contrained by inventory date [achinn 26 June 2020].,Anna Chinn,2020-06-26,unverified,wild caught,,,unknown,collector,,,,,,,CHAS:Herp,in collection,3,whole organism (70% ethanol),unchecked,,,,,,,age class,,,,,2009-12-31,unknown,sex,,,,,2009-12-31,unknown,unformatted measurements,,,,,2009-12-31,unknown,colors,,,,,2009-12-31,unknown,reproductive data,,,,,2009-12-31,unknown,stomach contents,,,,,2009-12-31,unknown,verbatim collector,,,,,,,collection,,,INTERNAL NOTES: Originally inventoried as found in collection (FIC). DATA HISTORY: Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2014-09-17).
13586,achinn,2019.6.4,,,,,,,,,UUID,,,,[CHAS:Mamm]2019.6,Crotalus atrox,unknown,unknown,,Western Diamond-backed Rattlesnake.,"[no date recorded, prior to Western Diamond-backed Rattlesnake.]",1800-01-01,2009-04-16,,,,no higher geography recorded,no specific locality recorded,[no locality recorded],,,Date contrained by inventory date [achinn 26 June 2020].,Anna Chinn,2020-06-26,unverified,wild caught,,,unknown,collector,,,,,,,CHAS:Herp,discarded,1,whole organism (dry),"Fair. Rattle and 1 fang broken off; underbelly appears to have been cut and glued together with a large amount of glue; Freeze-dried specimen; in semi-coiled position with rattle raised and top portion of body raised up, jaw opened as if to strike.","Deaccessioned June 30, 2010. Destroyed; picked up by Veolia 9/3/2009 from Ravenswood collections facility for destruction. [DRoberts]",,,,,,age class,adult,,,,2009-04-16,unknown,sex,,,,,2009-04-16,unknown,unformatted measurements,,,,,2009-04-16,unknown,colors,,,,,2009-04-16,unknown,reproductive data,,,,,2009-04-16,unknown,stomach contents,,,,,2009-04-16,unknown,verbatim collector,,,,,,,collection,,,INTERNAL NOTES: Originally inventoried as found in collection (FIC). DATA HISTORY: Inventory catalogued/verified by Tom Anton (2009-04-16). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2015-06-26).
13592,achinn,2019.6.5,,,,,,,,02a10ea5-ea74-4e63-906c-8454b03c39c9,UUID,,,,[CHAS:Mamm]2019.6,Lampropeltis sp.,unknown,unknown,,Kingsnake.,"[no date recorded, prior to 1954-11-04]",1800-01-01,1954-11-04,,,,"North America, United States, Tennessee, Sevier County, Great Smoky Mountains National Park","Great Smoky Mountains National Park, Cades Cove","Cades Cove, Grt. Smokey Mts. Nat. Park",,,Date constrained by accession received date [achinn 26 June 2020].,Anna Chinn,2020-06-26,unverified,wild caught,,,Richard A. Edgren Jr.,collector,,,,,,,CHAS:Herp,in collection,1,whole organism (70% ethanol),unchecked,,,,,,,age class,,,,,1954-11-04,Richard A. Edgren Jr.,sex,,,,,1954-11-04,Richard A. Edgren Jr.,unformatted measurements,,,,,1954-11-04,Richard A. Edgren Jr.,colors,,,,,1954-11-04,Richard A. Edgren Jr.,reproductive data,,,,,1954-11-04,Richard A. Edgren Jr.,stomach contents,,,,,1954-11-04,Richard A. Edgren Jr.,verbatim collector,R.A. Edgren,,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 19 June 2020],2012-12-31,,unknown,collection,,,"INTERNAL NOTES: Originally inventoried as found in collection (FIC), possibly associated with Accession 5355. Inventoried as Found in Collection (FIC). From the collection of Richard A. Edgren Jr. Received from Northwestern University. DATA HISTORY: Accession number listed in inventory spreadsheet prior to 2020 Arctos migration. Inventory catalogued/verified by Dawn Roberts (2015-03-21). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2015-03-21)."
13622,achinn,2019.6.6,,,,,,,,d8f0ea2e-330e-4846-a87b-f77b853518b6,UUID,,,,[CHAS:Mamm]2019.6,Storeria dekayi,unknown,unknown,,Dekay's Brown Snake.,10/10/1969,1969-10-10,1969-10-10,,,,"North America, United States, Illinois, Cook County",no specific locality recorded,[no locality recorded],Found dead on sidewalk,,,Orlando Park,1969-10-10,unverified,wild caught,,,Orlando Park,collector,,,,,,,CHAS:Herp,in collection,1,whole organism (70% ethanol),unchecked,,,,,,,age class,,,,,1969-10-10,Orlando Park,sex,,,,,1969-10-10,Orlando Park,unformatted measurements,,,,,1969-10-10,Orlando Park,colors,,,,,1969-10-10,Orlando Park,reproductive data,,,,,1969-10-10,Orlando Park,stomach contents,,,,,1969-10-10,Orlando Park,verbatim collector,OrlandOrlando Park,,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 19 June 2020],2012-12-31,,unknown,collection,,,"INTERNAL NOTES: Originally inventoried as found in collection (FIC), possibly associated with Accession 5355. Received from Orlando Park. DATA HISTORY: Accession matched during 2020 Arctos migration process based on collector information by Anna Chinn (2020-06-26). Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2014-09-17)."
13591,achinn,2019.6.7,,,,,,,,24b41650-4593-4e2c-83ab-192d7e8d3af0,UUID,,,,[CHAS:Mamm]2019.6,Iguana iguana iguana,unknown,unknown,,Green Iguana.,7/6/1936,1936-07-06,1936-07-06,,,,"Panama, Canal Zone","Barro Colorado Island, Gatun Lake, Allee Creek","Gatun Lake, Barro Colorado Island, Allee Creek",,,,Orlando Park,1936-07-06,unverified,wild caught,,,Orlando Park,collector,,,,,,,CHAS:Herp,in collection,1,skeleton,unchecked,Disarticluated skeleton,,,,,,age class,,,,,1936-07-06,Orlando Park,sex,,,,,1936-07-06,Orlando Park,unformatted measurements,,,,,1936-07-06,Orlando Park,colors,,,,,1936-07-06,Orlando Park,reproductive data,,,,,1936-07-06,Orlando Park,stomach contents,,,,,1936-07-06,Orlando Park,verbatim collector,Orlando Park,,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 19 June 2020],2012-12-31,,unknown,collection,,,"INTERNAL NOTES: Originally inventoried as found in collection (FIC), possibly associated with Accession 5355. Received from Orlando Park. DATA HISTORY: Accession matched during 2020 Arctos migration based on date and locality information by Anna Chinn (2020-06-25). Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2014-09-17)."
13615,achinn,2019.6.8,,,,,,,,dc4e18e6-ab23-4981-a324-5326bb84c37f,UUID,,,,[CHAS:Mamm]2019.6,Sceloporus sp.,unknown,unknown,,Fence Lizard.,Aug. 1940,1940-08-01,1940-08-31,4375,4375,ft,"North America, United States, Colorado, Mesa County","floodplain Gunnison River, Grand Junction","Floodplain Gunnison R., Grand Junction, 4375'",,,,Orlando Park,1940-08-31,unverified,wild caught,,,Orlando Park,collector,,,,,,,CHAS:Herp,in collection,1,whole organism (70% ethanol),unchecked,,,,,,,age class,,,,,1940-08-31,Orlando Park,sex,,,,,1940-08-31,Orlando Park,unformatted measurements,,,,,1940-08-31,Orlando Park,colors,,,,,1940-08-31,Orlando Park,reproductive data,,,,,1940-08-31,Orlando Park,stomach contents,,,,,1940-08-31,Orlando Park,verbatim collector,Orlando Park,,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 19 June 2020],2012-12-31,,unknown,collection,,,"INTERNAL NOTES: Originally inventoried as found in collection (FIC), possibly associated with Accession 5355. Received from Orlando Park. DATA HISTORY: Accession matched during 2020 Arctos migration process based on collector information by Anna Chinn (2020-06-26). Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2014-09-17)."
13612,achinn,2019.6.9,,,,,,,,a9c3bfcc-038a-4d58-9177-d41c4e0e1ff6,UUID,,,,[CHAS:Mamm]2019.6,Plestiodon fasciatus,unknown,unknown,,Five-lined Skink.,5/2/1952,1952-05-02,1952-05-02,,,,"North America, United States, South Carolina, Lexington County",1.5 mi SE of Leesville,1.5 mi SE Leesville,,,,unknown,1952-05-02,unverified,wild caught,,,unknown,collector,,,,,,,CHAS:Herp,in collection,1,whole organism (70% ethanol),unchecked,,,,,,,age class,,,,,1952-05-02,unknown,sex,,,,,1952-05-02,unknown,unformatted measurements,,,,,1952-05-02,unknown,colors,,,,,1952-05-02,unknown,reproductive data,,,,,1952-05-02,unknown,stomach contents,,,,,1952-05-02,unknown,verbatim collector,,,,,,,collection,,,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Data may be erroneous. DATA HISTORY: Unable to match accession during 2020 Arctos migration by Anna Chinn (2020-06-25). Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2014-09-17).
13625,achinn,2019.6.10,,,,,,,,36a76c64-e17a-43f8-9612-1440e7a7d498,UUID,,,,[CHAS:Mamm]2019.6,Virginia striatula,unknown,unknown,,Rough Earth Snake.,"[no date recorded, prior to Rough Earth Snake.]",1800-01-01,2009-12-31,,,,"North America, United States, Oklahoma, Tulsa County",no specific locality recorded,[transcribed directly into verbatim fields],,,Date contrained by inventory date [achinn 26 June 2020].,Anna Chinn,2020-06-26,unverified,wild caught,,,Edith R. Force,collector,,,,,,,CHAS:Herp,in collection,10,whole organism (70% ethanol),unchecked,,,,,,,age class,,,,,2009-12-31,Edith R. Force,sex,,,,,2009-12-31,Edith R. Force,unformatted measurements,,,,,2009-12-31,Edith R. Force,colors,,,,,2009-12-31,Edith R. Force,reproductive data,,,,,2009-12-31,Edith R. Force,stomach contents,,,,,2009-12-31,Edith R. Force,verbatim collector,E R Force?,,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 19 June 2020],2012-12-31,,unknown,collection,,,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Not cataloged; no definate locality. At least 10 specimens. Received from E R Force?. DATA HISTORY: Unable to match accession during 2020 Arctos migration by Anna Chinn (2020-06-25). Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2014-09-17).
