COLLECTION_OBJECT_ID,CAT_NUM,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,LOADED,ENTEREDBY,ACCN,GUID_PREFIX,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_NUM_4,OTHER_ID_NUM_TYPE_4,OTHER_ID_REFERENCES_1,OTHER_ID_REFERENCES_2,OTHER_ID_REFERENCES_3,OTHER_ID_REFERENCES_4,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MAXIMUM_ELEVATION,MINIMUM_ELEVATION,ORIG_ELEV_UNITS,MIN_DEPTH,MAX_DEPTH,DEPTH_UNITS,HABITAT,LOCALITY_REMARKS,COLL_EVENT_REMARKS,COLLECTING_METHOD,COLLECTING_SOURCE,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_REMARKS_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_REMARKS_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_REMARKS_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DET_METH_4,ATTRIBUTE_DETERMINER_4,COLL_OBJECT_REMARKS
3354,2019.6.35,Rana catesbeiana,unknown,unknown,,Bullfrog.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,8b372784-7fda-4854-98fb-f2c34167303e,UUID,,,,,,,,,,,8/7/1968,1968-08-07,1968-08-07,"North America, United States, Illinois, Lake County","Chain 'O Lakes State Park, Turner Lake","Chain 'O Lakes State Park, Turner Lake",M. Whitmas,1968-08-07,unverified,,,,,,,,,,,wild caught,,collection,M. Whitmas,collector,,,,,,,whole organism (70% ethanol),unchecked,1,in collection,,,,,,,,,,,,,,,,,verbatim collector,M Whitman,,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from M Whitman.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
3652,2019.6.36,Desmognathus sp.,unknown,unknown,,Salamander.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,41846659-853d-4073-a99e-6b2825a66a34,UUID,,,,,,,,,,,5/2/1952,1952-05-02,1952-05-02,"North America, United States, South Carolina, Lexington County",1.5 mi SE of Leesville,1.5 mi SE Leesville,unknown,1952-05-02,unverified,,,,,,,,,,,wild caught,,collection,unknown,collector,,,,,,,whole organism (70% ethanol),unchecked,2,in collection,,,,,,,,,,,,,,,,,,,,,,,"INTERNAL NOTES: Originally inventoried as found in collection (FIC). Data may be erroneous, in jar with skink.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17)."
7284,1950.5274.1,Scaphiopus sp.,unknown,unknown,,Spadefoot Toad.,waiting approval,achinn,[CHAS:Mamm]5274,CHAS:Herp,a0e59699-9c5f-416e-8351-babd71dc0416,UUID,,,,,,,,,,,8/24/1950,1950-08-24,1950-08-24,"North America, United States, Arizona, Yavapai County",10 mi W of Wickenburg,10 mi W Wickenburg,Howard K. Gloyd,1950-08-24,unverified,,,,,,,,,,,wild caught,from dirt tank,collection,Howard K. Gloyd,collector,,,,,,,whole organism (70% ethanol),unchecked,9,in collection,,age class,metamorph,verbatim age class: recent metamorphs,1950-08-24,Howard K. Gloyd,,,,,,,,,,,verbatim collector,Howard K. Gloyd,,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from H K Gloyd. Verified with accession records.; DATA HISTORY: Accession number assigned during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
7283,1937.4357.1,Anaxyrus cognatus,unknown,unknown,,Great Plains Toad.,waiting approval,achinn,[CHAS:Mamm]4357c,CHAS:Herp,8c70db6e-da0f-43a2-95c8-782c321f11ee,UUID,,,,,,,,,,,1937,1937-01-01,1937-12-31,"North America, United States, Arizona, Yavapai County",3 mi N of Wickenburg,3 mi N Wickenburg,unknown,1937-12-31,unverified,,,,,,,,,,,wild caught,,collection,unknown,collector,,,,,,,whole organism (70% ethanol),unchecked,31,in collection,,,,,,,,,,,,,,,,,,,,,,,"INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from Chicago Academy of Sciences - Expedition, field work. Verified with accession records.; DATA HISTORY: Accession number assigned during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2016-02-26)."
4715,2019.6.37,Ranidae,unknown,unknown,,Frog.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,864e07c3-22d1-41b9-8e3a-38243f36cfeb,UUID,,,,,,,,,,,5/26/1940,1940-05-26,1940-05-26,"North America, United States, Arizona, Pinal County","4 mi W of Superior, Queen Creek, above Boyce Thompson Arboretum","Queen Creek, above Boyce-Thompson Arboretum, 4 mi W Superior",Howard K. Gloyd,1940-05-26,unverified,,,,,,,pool above creek; at least 40 specimens,,,,wild caught,,collection,Howard K. Gloyd,collector,,,,,,,whole organism (70% ethanol),unchecked,40,in collection,at least 40 specimens,,,,,,,,,,,,,,,,verbatim collector,Howard K. Gloyd,,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from H K Gloyd.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
6775,2019.6.38,Pseudacris crucifer,unknown,unknown,,Spring Peeper.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,646807a1-71bf-45d9-9b37-a99c8b7e8628,UUID,,,,,,,,,,,5/25/1968,1968-05-25,1968-05-25,"North America, United States, Wisconsin, Vilas County","Burnt Bridge Road, St. Germain","poplar woods on Burnt Bridge Rd, St Germain",Russell Frank Steel Jr.,1968-05-25,unverified,,,,,,,poplar woods,,,,wild caught,,collection,Russell Frank Steel Jr.,collector,,,,,,,whole organism (70% ethanol),unchecked,1,in collection,,,,,,,,,,,,,,,,,verbatim collector,"R Steel, Jr",,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,"INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from R Steel, Jr.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17)."
5180,2019.6.39,Necturus maculosus,unknown,unknown,,Mudpuppy.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,5d476ce8-4a90-4cb8-a012-0a95ed0c54a3,UUID,,,,,,,,,,,summer 1950,1950-06-21,1950-09-22,"North America, United States, Indiana, Porter County","Chesterton, Coffee Creek","Chesterton, Coffee Creek",unknown,1950-09-22,unverified,,,,,,,,,,,wild caught,,collection,unknown,collector,,,,,,,whole organism (70% ethanol),unchecked,1,in collection,,age class,larva,verbatim age class: larva,1950-09-22,unknown,,,,,,,,,,,,,,,,,INTERNAL NOTES: Originally inventoried as found in collection (FIC). DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
1042,2019.6.40,Necturus maculosus,unknown,unknown,,Mudpuppy.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,28b5fce9-7684-469e-9091-9ca41b25b8a3,UUID,,,,,,,,,,,5/24/1972,1972-05-24,1972-05-24,"North America, United States, Illinois, Cook County","Chicago, North Avenue Beach","Chicago, North Avenue Beach",George E. Iannarone,1972-05-24,unverified,,,,,,,,,,,wild caught,hook and piece of line still in mouth,collection,George E. Iannarone,collector,,,,,,,whole organism (70% ethanol),unchecked,1,in collection,,,,,,,,,,,,,,,,,verbatim collector,G Iannarone,,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from G Iannarone.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
1043,2019.6.41,Necturus maculosus,unknown,unknown,,Mudpuppy.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,e458c9cd-deb6-4138-aa8d-1cd610856711,UUID,,,,,,,,,,,4/24/1973,1973-04-24,1973-04-24,"North America, United States, Illinois, Cook County","Chicago, North Avenue Beach","Chicago, North Avenue Beach",George E. Iannarone,1973-04-24,unverified,,,,,,,,,,,wild caught,,collection,George E. Iannarone,collector,,,,,,,whole organism (70% ethanol),Poor.,1,in collection,,,,,,,,,,,,,,,,,verbatim collector,G Iannarone,,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from G Iannarone.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
1044,2019.6.42,Necturus maculosus,unknown,unknown,,Mudpuppy.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,2f5d3ff6-5b57-4797-81bb-40993b1237ac,UUID,,,,,,,,,,,6/9/1975,1975-06-09,1975-06-09,"North America, United States, Illinois, Cook County","Chicago, North Avenue Beach","Chicago, North Avenue Beach",George E. Iannarone,1975-06-09,unverified,,,,,,,,,,,wild caught,,collection,George E. Iannarone,collector,,,,,,,whole organism (70% ethanol),Poor.,1,in collection,,,,,,,,,,,,,,,,,verbatim collector,G Iannarone,,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from G Iannarone.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
3351,2019.6.43,Ambystoma maculatum,unknown,unknown,,Spotted Salamander.,waiting approval,achinn,[CHAS:Mamm]2019.6,CHAS:Herp,0e8f27af-ea27-4f75-bdd2-f35b772a1166,UUID,,,,,,,,,,,3/22/1935,1935-03-22,1935-03-22,"North America, United States, Illinois, Lake County",Deerfield,Deerfield,James J. Mooney,1935-03-22,unverified,,,,,,,,,,,wild caught,,collection,James J. Mooney,collector,,,,,,,whole organism (70% ethanol),unchecked,22,in collection,,,,,,,,,,,,,,,,,verbatim collector,J J Mooney,,2009-12-31,presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 7 December 2019],unknown,INTERNAL NOTES: Originally inventoried as found in collection (FIC). Received from J J Mooney.; DATA HISTORY: Unable to match to specific accession during 2019 Arctos migration process. Inventory catalogued/verified by Tom G. Anton (2009). Record last updated in Excel (prior to Arctos migration) by D. Roberts (2014-09-17).
