add IDs,COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOC_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,SPECIMEN_EVENT_TYPE
,1.0,ekrimmel,2007.1.1,[CHAS:Mamm]2007.1,Pyganodon grandis,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 4,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
Quadrula verrucosa,2.0,ekrimmel,2007.1.2,[CHAS:Mamm]2007.1,Tritogonia verrucosa,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,2.0,in collection,Jar 5,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,3.0,ekrimmel,2007.1.3,[CHAS:Mamm]2007.1,Lampsilis siliquoidea,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 6,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,4.0,ekrimmel,2007.1.4,[CHAS:Mamm]2007.1,Lampsilis cardium,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,tissue (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 7,verbatim collector,SC/RC/FC,2017-07-13,Erica Krimmel,sex,male,2007-06-17,Stephanie Clark,accepted place of collection
,5.0,ekrimmel,2007.1.5,[CHAS:Mamm]2007.1,Lampsilis cardium,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,tissue (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 7,verbatim collector,SC/RC/FC,2017-07-13,Erica Krimmel,sex,female,2007-06-17,Stephanie Clark,accepted place of collection
,6.0,ekrimmel,2007.1.6,[CHAS:Mamm]2007.1,Lasmigona complanata,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,tissue (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 8,verbatim collector,SC/RC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,7.0,ekrimmel,2007.1.7,[CHAS:Mamm]2007.1,Amblema plicata,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,tissue (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,"Jar 9. ""Large""",verbatim collector,SC/RC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,8.0,ekrimmel,2007.1.8,[CHAS:Mamm]2007.1,Amblema plicata,legacy,Stephanie Clark,2007-06-17,,17 June 2007,2007-06-17,2007-06-17,"North America, United States, Illinois, Grundy County",Mazon Creek,"Mazon Creek area, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,2.0,in collection,Jar 9,verbatim collector,SC/RC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
Pleurobema coccinum,9.0,ekrimmel,2007.1.16,[CHAS:Mamm]2007.1,Pleurobema sintoxia,legacy,Stephanie Clark,2006-08-30,,30 August 2006,2006-08-30,2006-08-30,"North America, United States, Illinois, Livingston County",North Fork Vermilion River at Rte 720,"US 720, North Fork Vermilion River, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 10,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,10.0,ekrimmel,2007.1.10,[CHAS:Mamm]2007.1,Fusconaia flava,legacy,Stephanie Clark,2006-08-30,,30 August 2006,2006-08-30,2006-08-30,"North America, United States, Illinois, Livingston County",North Fork Vermilion River at Rte 720,"US 720, North Fork Vermilion River, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 10,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,11.0,ekrimmel,2007.1.11,[CHAS:Mamm]2007.1,Lampsilis siliquoidea,legacy,Stephanie Clark,2006-08-30,,30 August 2006,2006-08-30,2006-08-30,"North America, United States, Illinois, Livingston County",North Fork Vermilion River at Rte 720,"US 720, North Fork Vermilion River, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 10,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,12.0,ekrimmel,2007.1.12,[CHAS:Mamm]2007.1,Strophitus undulatus,legacy,Stephanie Clark,2006-08-30,,30 August 2006,2006-08-30,2006-08-30,"North America, United States, Illinois, Livingston County",North Fork Vermilion River at Rte 720,"US 720, North Fork Vermilion River, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 10,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,13.0,ekrimmel,2007.1.13,[CHAS:Mamm]2007.1,Lasmigona complanata,legacy,Stephanie Clark,2006-08-30,,30 August 2006,2006-08-30,2006-08-30,"North America, United States, Illinois, Livingston County",North Fork Vermilion River at Rte 720,"US 720, North Fork Vermilion River, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 10,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,14.0,ekrimmel,2007.1.14,[CHAS:Mamm]2007.1,Strophitus undulatus,legacy,Stephanie Clark,2006-08-30,,30 August 2006,2006-08-30,2006-08-30,"North America, United States, Illinois, Livingston County",North Fork Vermilion River at Rte 720,"US 720, North Fork Vermilion River, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 10,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
,15.0,ekrimmel,2007.1.15,[CHAS:Mamm]2007.1,Amblema plicata,legacy,Stephanie Clark,2006-08-30,,30 August 2006,2006-08-30,2006-08-30,"North America, United States, Illinois, Livingston County",North Fork Vermilion River at Rte 720,"US 720, North Fork Vermilion River, IL",Erica Krimmel,2017-07-13,unverified,Stephanie Clark,collector,CHAS:Inv,INTERNAL NOTES: Inventoried for the first time in 2017.,whole organism (ethanol),unchecked,Reebie: Locker 300A: Unit 4: Shelf C,1.0,in collection,Jar 10,verbatim collector,SC/FC,2017-07-13,Erica Krimmel,,,,,accepted place of collection
