COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DETERMINER_4,SPECIMEN_EVENT_TYPE
1,ekrimmel,E2017C.915,[CHAS:Mamm]E2017C,Quercus velutina,legacy,Erica Krimmel,2015-07-23,Black Oak.,2015-07-23,2015-07-23,2015-07-23,"North America, United States, Illinois, Cook County","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago, Illinois 60614","Peggy Notebaert Nature Museum, grounds (41.926979, -87.634986)",Erica Krimmel,2015-12-05,unverified,Erica Krimmel,collector,Erica Krimmel,preparator,CHAS:Teach,INTERNAL NOTES: Salvage specimen collected by Chicago Academy of Sciences. DATA HISTORY: Inventoried by Erica Krimmel (2015-12-05). Record last updated in Excel by Erica Krimmel on 2015-12-05.,,,,,,,,,,whole organism (dry),Excellent.,1,in collection,"Specimen prepared in 2015-07-23. Growing in cultivated landscaping along dirt path through the Black Oak Sand Savannah on the E side of the PNNM grounds, between the main Museum entrance and the loading dock parking.",,,,,,verbatim collector,Erica Krimmel,2017-12-06,Erica Krimmel,,,,,,,,,,,,,accepted place of collection
2,ekrimmel,E2017C.916,[CHAS:Mamm]E2017C,Acer saccharum,legacy,Erica Krimmel,2015-07-23,Silver Maple.,2015-07-23,2015-07-23,2015-07-23,"North America, United States, Illinois, Cook County","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago, Illinois 60614","Peggy Notebaert Nature Museum, grounds (41.926713, -87.635603)",Erica Krimmel,2015-12-05,unverified,Erica Krimmel,collector,Erica Krimmel,preparator,CHAS:Teach,INTERNAL NOTES: Salvage specimen collected by Chicago Academy of Sciences. DATA HISTORY: Inventoried by Erica Krimmel (2015-12-05). Record last updated in Excel by Erica Krimmel on 2015-12-05.,,,,,,,,,,whole organism (dry),Excellent.,1,in collection,"Specimen prepared in 2015-07-23. Growing in semi-cultivated landscaping along path between PNNM and North Pond, N of the Ravine and on the W side of the path.",,,,,,verbatim collector,Erica Krimmel,2017-12-06,Erica Krimmel,,,,,,,,,,,,,accepted place of collection
4,ekrimmel,E2017C.917,[CHAS:Mamm]E2017C,Plantae,legacy,unknown,,Wood Sections.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-04-19,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Specimen purchased from Scott Scientific Inc. Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by Dawn Roberts (2017-04-19). Record last updated in Excel by Dawn R. Roberts on 2017-04-19.",,,,,,,,,,whole organism (dry),Good. 2017-04-19.,1,in collection,"Cut wood sections (1/4-1/2 inch diameter) glued into the bottom of a display box. Species include: Western Yellow Pine, Rocky Mountain Red Cedar, Blue Spruce, Honey Locust, Apple, Willow, Mountain Mahogany, Cottonwood, Douglas Fir, Squawbush, Russian Olive, Wild Plum, Quaking Aspen, Sumac, Wild Cherry.",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
109,ekrimmel,E2012G.1,[CHAS:Mamm]E2012G,Lepidoptera,legacy,Lori Harris,2012,Butterfly chrysalises.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-28,unverified,unknown,collector,Lori Harris,preparator,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Inventory catalogued/verified by Erica Krimmel (2017-01-19). Record last updated in Excel by Dawn R. Roberts on 2017-11-28.",,,,,,,,,,object,Excellent.,19,in collection,"Models of chrysalises. These were cast and hand painted by Lori (Stralow) Harris. Housed all together in plastic box with individual chambers, and also with photos of the chrysalises. Species represented: Doleschallia bisaltide, Junonia coenia, Hypolimnas bolina, Kallima inachus, Neptis hylas, Caligo memnon, Caligo oileus, Ornithoptera priamus, Pachliopta kotzebuea, Vindula dejone, Archaeoprepona demophon, Euphranes polyxena, Morpho achilles, Graphium agamemnon, Dopha evelina, Euxanthe wakefieldi, Idea leuconoe, Danaus plexippus, Danaus vulgaris.",,,,,,,,,,,,,,age class,chrysalis,2017-12-06,unknown,,,,,accepted place of collection
111,ekrimmel,E2012G.2,[CHAS:Mamm]E2012G,Lepidoptera,legacy,Lori Harris,2012,Butterfly chrysalises.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-28,unverified,unknown,collector,Lori Harris,preparator,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Inventory catalogued/verified by Erica Krimmel (2017-01-19). Record last updated in Excel by Dawn R. Roberts on 2017-11-28.",,,,,,,,,,object,Excellent.,9,in collection,"Models of chrysalises. These were cast and hand painted by Lori (Stralow) Harris. Housed all together in plastic box with individual chambers, and also with photos of the chrysalises. Species represented: Papilio constantinus, Papilio dardanus, Papilio helena, Papilio lowi, Papilio maackii, Papilio memnon, Papilio nireus, Papilio rumanzovia, Papilio troilus.",,,,,,,,,,,,,,age class,chrysalis,2017-12-06,unknown,,,,,accepted place of collection
87,ekrimmel,E2017C.918,[CHAS:Mamm]E2017C,Polistes sp.,legacy,unknown,,Paper Wasp Nest.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-07,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2017-10-07). Record last updated in Excel by Dawn R. Roberts on 2017-10-07.",,,,,,,,,,nest,Good.,1,in collection,One nest in clear container.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
91,ekrimmel,E2017C.919,[CHAS:Mamm]E2017C,Polistes sp.,legacy,unknown,,Paper Wasp Nest.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-01,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. EXHIBIT AND LOAN HISTORY: Laflin Building, prior to 1994. DATA HISTORY: Dawn R. Roberts (2017-11-01). Record last updated in Excel by Dawn R. Roberts on 2017-11-01.",,,,,,,,,,nest,Good.,1,in collection,"Interior of wasp nest, showing two levels. Approximately 4.5""x6""x3"" in size.",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
92,ekrimmel,E2017C.920,[CHAS:Mamm]E2017C,Polistes sp.,legacy,unknown,,Paper Wasp Nest.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-01,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. EXHIBIT AND LOAN HISTORY: Laflin Building, prior to 1994. DATA HISTORY: Dawn R. Roberts (2017-11-01). Record last updated in Excel by Dawn R. Roberts on 2017-11-01.",,,,,,,,,,nest,Good.,1,in collection,"Whole nest with leaves on exterior. Approximately 7""x5.5""x5"" in size.",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
93,ekrimmel,E2017C.921,[CHAS:Mamm]E2017C,Polistes sp.,legacy,unknown,,Paper Wasp Nest.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-01,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. EXHIBIT AND LOAN HISTORY: Laflin Building, prior to 1994. DATA HISTORY: Dawn R. Roberts (2017-11-01). Record last updated in Excel by Dawn R. Roberts on 2017-11-01.",,,,,,,,,,nest,Good.,1,in collection,"Whole nest. Approximately 20""x12""x12"" in size.",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
94,ekrimmel,E2017C.922,[CHAS:Mamm]E2017C,Polistes sp.,legacy,unknown,,Paper Wasp Nest.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-01,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. EXHIBIT AND LOAN HISTORY: Laflin Building, prior to 1994. DATA HISTORY: Dawn R. Roberts (2017-11-01). Record last updated in Excel by Dawn R. Roberts on 2017-11-01.",,,,,,,,,,nest,Good.,1,in collection,"Whole nest on branch. Approximately 8""x8""x8"" in size.",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
