MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1301.1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1301.1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1301.1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1301.2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1301.2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1301.2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1301.3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1301.3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1301.3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1301.4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1301.4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1301.4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,View of mandible.
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1301.5.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1301.5.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1301,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1301.5.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1302.1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1302.1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1302.1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1302.2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1302.2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1302.2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1302.3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1302.3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1302.3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1302.4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1302.4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1302.4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,View of mandible.
http://web.corral.tacc.utexas.edu/CAS/20161210/jpg/chas_mamm_1302.5.jpg,http://web.corral.tacc.utexas.edu/CAS/20161210/tb/tn_chas_mamm_1302.5.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Mamm:1302,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1302.5.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
