MEDIA_LABEL_1,MEDIA_LABEL_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_VALUE_3,MEDIA_LICENSE,MEDIA_URI,MEDIA_TYPE,MIME_TYPE,PREVIEW_URI
made date,subject,description,2014-05-12,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.1.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.2.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.3.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.4.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.5.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.6.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.7.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1462.8.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.1.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.2.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.3.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.4.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.5.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.6.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.7.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1463.8.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1464.1.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1464.2.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1464.3.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1464.5.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1464.6.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1464.7.dng,image,image/dng,
made date,subject,description,2014-05-12,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161210/chas_mamm_1464.8.dng,image,image/dng,
