MEDIA_LABEL_1,MEDIA_LABEL_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_VALUE_3,MEDIA_LICENSE,MEDIA_URI,MEDIA_TYPE,MIME_TYPE,PREVIEW_URI
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_1000-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_110-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_113-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_114-4.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_115-1.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_115-2.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_115-3.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_115-4.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_115-5.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-1.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-2.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-3.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-4.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-5.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-6.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-7.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_116-8.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-1.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-2.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-3.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-4.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-5.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-6.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-7.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_117-8.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-1.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-2.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-3.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-4.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-5.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-6.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-7.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_118-8.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_119-1.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_119-2.dng,image,image/dng,
