MEDIA_URI,PREVIEW_URI,MIME_TYPE,MEDIA_TYPE,media_license,media_label_1,media_label_value_1,media_label_2,media_label_value_2,media_label_3,media_label_value_3,media_label_4,media_label_value_4,media_label_5,media_label_value_5,media_label_6,media_label_value_6,media_label_7,media_label_value_7,media_label_8,media_label_value_8,media_label_9,media_label_value_9,media_label_10,media_label_value_10,media_relationship_1,media_related_term_1,media_relationship_2,media_related_term_2,media_relationship_3,media_related_term_3
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_12626_1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_12626_1.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-03-09,subject,anthropology,subject,clay,subject,pipe,subject,stem,subject,Seiglitz,subject,seeglitz,subject,card,description,"Red clay pipe stem attached to card. Clay sourced from Glass Lake, Illinois. Donated by Dr. Albert Seiglitz. Culture of origin unknown.",title,"ChAS ANTH 952, Clay Pipe Stem",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:12626
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_12626_2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_12626_2.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-03-09,subject,anthropology,subject,clay,subject,pipe,subject,stem,subject,Seiglitz,subject,seeglitz,subject,card,description,"Red clay pipe stem attached to card. Clay sourced from Glass Lake, Illinois. Donated by Dr. Albert Seiglitz. Culture of origin unknown.",title,"ChAS ANTH 952, Clay Pipe Stem",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:12626
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-10_1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-10_1.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,"Set of stones collected from around Europe by E.E. Atwater. Stone collected from the Roman Forum, Rome, Italy.",title,"ChAS ANTH 1878.17, Stone collected from the Roman Forum",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.10
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-10_2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-10_2.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,"Set of stones collected from around Europe by E.E. Atwater. Stone collected from the Roman Forum, Rome, Italy.",title,"ChAS ANTH 1878.17, Stone collected from the Roman Forum",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.10
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-11_1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-11_1.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,Set of stones collected from around Europe by E.E. Atwater. Collected from the Colosseum in Rome,title,"ChAS ANTH 1878.17, Stone collected from the Colosseum",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.11
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-11_2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-11_2.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,Set of stones collected from around Europe by E.E. Atwater. Collected from the Colosseum in Rome,title,"ChAS ANTH 1878.17, Stone collected from the Colosseum",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.11
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-12_1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-12_1.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,"Set of stones collected from around Europe by E.E. Atwater. Collected from a repository for ashes (columbarium) in Rome, Italy. ",title,"ChAS ANTH 1878.17, Stone collected from columbaria",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.12
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-12_2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-12_2.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,"Set of stones collected from around Europe by E.E. Atwater. Collected from a repository for ashes (columbarium) in Rome, Italy. ",title,"ChAS ANTH 1878.17, Stone collected from columbaria",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.12
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-13_1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-13_1.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,"Set of stones collected from around Europe by E.E. Atwater. Collected from a repository for ashes (columbarium) in Rome, Italy. ",title,"ChAS ANTH 1878.17, Stone collected from columbaria",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.13
https://web.corral.tacc.utexas.edu/CAS/20190719/jpg/chas_eh_1878-17-13_2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190719/tb/tn_chas_eh_1878-17-13_2.jpg,image/jpeg,image,CC BY-NC-SA,made date,2016-02-23,subject,anthropology,,,,,,,,,,,,,description,"Set of stones collected from around Europe by E.E. Atwater. Collected from a repository for ashes (columbarium) in Rome, Italy. ",title,"ChAS ANTH 1878.17, Stone collected from columbaria",created by agent,Samuel Howes,associated with project,10002309,shows cataloged_item,CHAS:EH:1878.17.13
