MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_RELATIONSHIP_4,MEDIA_RELATED_TERM_4,MEDIA_RELATIONSHIP_5,MEDIA_RELATED_TERM_5,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3,MEDIA_LABEL_4,MEDIA_LABEL_VALUE_4
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_18105.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_18105.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:18105.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_18105.1-3.tif,subject,mollusk,made date,2017-07-07,title,Lectotype of Sphaerium lilycashense,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19741-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19741-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19741,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19741-1.tif,subject,mollusk,made date,2017-07-29,title,"Syntype of Lampsilis blatchleyi, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19741-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19741-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19741,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19741-2.tif,subject,mollusk,made date,2017-07-29,title,"Syntype of Lampsilis blatchleyi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19741-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19741-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19741,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19741-3.tif,subject,mollusk,made date,2017-07-29,title,"Syntype of Lampsilis blatchleyi, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19991-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19991-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19991,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19991-2.tif,subject,mollusk,made date,2017-08-17,title,"Syntype of Tellina laevigata stella, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19991-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19991-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19991,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19991-1.tif,subject,mollusk,made date,2017-08-17,title,"Syntype of Tellina laevigata stella, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19991-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19991-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19991,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19991-3.tif,subject,mollusk,made date,2017-08-17,title,"Syntype of Tellina laevigata stella, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19991-5.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19991-5.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19991,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19991-5.tif,subject,mollusk,made date,2017-08-17,title,"Syntype of Tellina laevigata stella, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19991-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19991-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19991,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19991-4.tif,subject,mollusk,made date,2017-08-17,title,"Syntype of Tellina laevigata stella, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19995-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19995-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19995,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19995-1.tif,subject,mollusk,made date,2017-08-01,title,"Syntype of Gastrochaena mowbrayi, close up view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_19995-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_19995-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:19995,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_19995-2.tif,subject,mollusk,made date,2017-08-01,title,"Syntype of Gastrochaena mowbrayi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20080-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20080-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20080,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20080-1.tif,subject,mollusk,made date,2017-08-02,title,"Syntype of Cerithium albocoopertum, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20080-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20080-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20080,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20080-2.tif,subject,mollusk,made date,2017-08-02,title,"Syntype of Cerithium albocoopertum, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20080-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20080-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20080,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20080-3.tif,subject,mollusk,made date,2017-08-02,title,"Syntype of Cerithium albocoopertum, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20081-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20081-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20081,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20081-1.tif,subject,mollusk,made date,2017-08-01,title,"Syntype of Melampus coffeus alternatus, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20081-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20081-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20081,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20081-2.tif,subject,mollusk,made date,2017-08-01,title,"Syntype of Melampus coffeus alternatus, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20081-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20081-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20081,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20081-3.tif,subject,mollusk,made date,2017-08-01,title,"Syntype of Melampus coffeus alternatus, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20082-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20082-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20082,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20082-1.tif,subject,mollusk,made date,2017-08-02,title,"Syntype of Melampus coffeus verticalis, frontal view",subject,type specimen
