MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LICENSE,MEDIA_TYPE,MEDIA_URI,MIME_TYPE,PREVIEW_URI,media_label_2,media_label_value_2,media_label_3,media_label_value_3,media_label_4,media_label_value_4,media_label_5,media_label_value_5,media_label_6,media_label_value_6,media_relationship_1,media_related_term_1,media_relationship_2,media_related_term_2,media_relationship_3,media_related_term_3
MD5 checksum,4658033465877313011b5d33a9f9c2da,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_bird_1992_3_20_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_bird_1992_3_20_1.jpg,description,"Image of CHAS:Bird:1992.3.20, Falco sparverius (American Kestrel), prepared in pieces due to specimen decay.",made date,2020-01-30,subject,orithology collection,subject,bird,title,"CHAS:Bird:1992.3.20, American Kestrel specimen",created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Bird:1992.3.20
MD5 checksum,3672ac4fc01132974af98536f749adb2,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2017C_1073_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2017C_1073_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2017C.1073
MD5 checksum,c34e650584aeaa4867d5ca972f9e73ca,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2017C_1073_2.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2017C_1073_2.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2017C.1073
MD5 checksum,5b6a83615d760f5b9372527703c26720,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2017C_1431_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2017C_1431_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2017C.1431
MD5 checksum,83f98e5e34e4101a511c396c36d0fdd9,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2017C_1497_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2017C_1497_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2017C.1497
MD5 checksum,38793a86721b38e1b964222d757507e0,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2017C_900_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2017C_900_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2017C.900
MD5 checksum,8e6a2491573c725a5792c1c21298003a,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2017C_903_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2017C_903_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2017C.903
MD5 checksum,605753e48a35588fe430e995f270af05,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2018A_33_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2018A_33_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2018A.33
MD5 checksum,a7b69923f82095de4932f4a1377853ae,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2018A_4_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2018A_4_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2018A.4
MD5 checksum,7e852c83605025008d53c68d6860e89b,CC BY-NC-SA,image,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/chas_teach_E2018A_59_1.jpg,image/jpeg,https://web.corral.tacc.utexas.edu/arctos-s3/achinn/2020-03-24/tn/tn_chas_teach_E2018A_59_1.jpg,description,"Documentation image of a teaching collection specimen, available for use in CAS/PNNM education and public programs.",made date,2020-01-30,subject,orithology collection,subject,bird,title,Teaching collection specimen,created by agent,Anna Chinn,associated with project,10003360,shows cataloged_item,CHAS:Teach:E2018A.59
