COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,VERBATIM_LOCALITY,ORIG_LAT_LONG_UNITS,DEC_LAT,DEC_LONG,DATUM,GEOREFERENCE_SOURCE,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,GEOREFERENCE_PROTOCOL,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,LOCALITY_REMARKS,HABITAT,COLL_EVENT_REMARKS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,COLLECTOR_AGENT_5,COLLECTOR_ROLE_5,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,COLLECTING_METHOD,COLLECTING_SOURCE,SPECIMEN_EVENT_TYPE,SPEC_LOCALITY
17,achinn,2019.9.10,INHS 30684,collector number,[CHAS:Mamm]2019.9,Venustaconcha ellipsiformis,unknown,Jeremy S. Tiemann,,"Ellipse mussel. Verbatim identification per original label: Venustaconcha ellipsiformis, Conrad, 1836",26 July 2005,2005-07-26,2005-07-26,"North America, United States, Illinois, Grundy County","Aux Sable Creek; 5 mi ENE Morris, Tabler Rd. bend; Grundy County, Illinois USA; T34N, R8E, sec. 8, SE; 41.4342, -88.3285",decimal degrees,41.4342,-88.3285,World Geodetic System 1984,not recorded,,,unknown,Jeremy S. Tiemann,2005-07-26,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 1,,wild caught,collection,"Aux Sable Creek, 5 mi ENE of Morris, Tabler Road bend"
4,achinn,2019.9.35,,,[CHAS:Mamm]2019.9,Lampsilis siliquoidea,unknown,unknown,,"Fatmucket clam mussel. Verbatim identification per original label: Lampsilis Siliquoidea (Barnes, 1823)",22 August 2012,2012-08-22,2012-08-22,"North America, United States, Illinois, Iroquois County","Beaver Creek; 3.5 mi W Papineau, Co. Rd. 1800E; Iroquois County, Illinois USA; T29N, R13W, sec. 26, NE; 40.9699, -87.7901",decimal degrees,40.9699,-87.7901,World Geodetic System 1984,not recorded,,,unknown,A. L. Price,2012-08-22,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison L. Price,collector,M. W. Walker,collector,Brittanie L. Dabney,collector,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Beaver Creek, 3.5 mi W of Papineau, County Road 1800E"
3,achinn,2019.9.27,,,[CHAS:Mamm]2019.9,Tritogonia verrucosa,unknown,unknown,,"Pistol grip mussel. Verbatim identification per original label: Tritogonia verrucosa (Rafinesque, 1820)",11 September 2012,2012-09-11,2012-09-11,"North America, United States, Illinois, Hancock County","East Fork LaMoine River; 7.2 mi W Colchester, Co. Rd. 3000E bridge; Hancock County, Illinois USA; T5N, R5W, sec. 23/24; 40.4058, -90.9274",decimal degrees,40.4058,-90.9274,World Geodetic System 1984,not recorded,,,unknown,A. L. Price,2012-09-11,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison L. Price,collector,Diane K. Shasteen,collector,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"East Fork LaMoine River, 7.2 mi W of Colchester, County Road 3000E bridge"
12,achinn,2019.9.17,INHS 43556,collector number,[CHAS:Mamm]2019.9,Truncilla truncata,unknown,unknown,,"Deertoe mussel. Verbatim identification per original label: Truncilla truncata Rafinesque, 1820",7 August 2012,2012-08-07,2012-08-07,"North America, United States, Illinois, Coles County","Embarras River; 3.5 mi SSE Rardin, Airtight bridge; Coles County, Illinois USA; T13N, R10E, sec. 21; 39.5549, -88.0894",decimal degrees,39.5549,-88.0894,World Geodetic System 1984,not recorded,,,unknown,D. K. Shasteen,2012-08-07,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Diane K. Shasteen,collector,Alison L. Price,collector,Kevin Cummings,collector,Melissa M. Ruether,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,3,in collection,number of valves: 6,,wild caught,collection,"Embarras River, 3.5 mi SSE of Rardin, Airtight bridge"
10,achinn,2019.9.12,INHS 43552,collector number,[CHAS:Mamm]2019.9,Pleurobema sintoxia,unknown,unknown,,"Round pigtoe mussel. Verbatim identification per original label: Pleurobema sintoxia (Rafinesque, 1820)",7 August 2012,2012-08-07,2012-08-07,"North America, United States, Illinois, Coles County","Embarras River; 3.5mi SSE Rardin, Airtight bridge; Coles County, Illinois USA; T13N, R10E, sec. 21; 39.5549, -88.0894",decimal degrees,39.5549,-88.0894,World Geodetic System 1984,not recorded,,,unknown,D. K. Shasteen,2012-08-07,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Diane K. Shasteen,collector,Alison L. Price,collector,Kevin Cummings,collector,Melissa M. Ruether,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,2,in collection,number of valves: 4,,wild caught,collection,"Embarras River, 3.5 mi SSE of Rardin, Airtight bridge"
11,achinn,2019.9.13,,,[CHAS:Mamm]2019.9,Quadrula pustulosa,unknown,unknown,,"Pimpleback mussel. Verbatim identification per original label: Quadrula (Amphinaias) pustulosa (Lea, 1831)",7 August 2012,2012-08-07,2012-08-07,"North America, United States, Illinois, Coles County","Embarras River; 3.5mi SSE Rardin, Airtight bridge; Coles County, Illinois USA; T13N, R10E, sec. 21 ; 39.5549, -88.0894",decimal degrees,39.5549,-88.0894,World Geodetic System 1984,not recorded,,,unknown,D. K. Shasteen,2012-08-07,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Diane K. Shasteen,collector,Alison L. Price,collector,Kevin Cummings,collector,Melissa M. Ruether,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,3,in collection,number of valves: 6,,wild caught,collection,"Embarras River, 3.5 mi SSE of Rardin, Airtight bridge"
9,achinn,2019.9.16,,,[CHAS:Mamm]2019.9,Ortmanniana ligamentina,unknown,Kevin Cummings,2015-11,"Mucket mussel. Verbatim identification per original label: Ortmanniana ligamentina (Lamarck, 1819)",5 September 2017,2017-09-05,2017-09-05,"North America, United States, Illinois, McHenry County","Nippersink Creek (Fox River Dr.); Spring Grove, Bilvin Street; McHenry County, Illinois, USA; 42.4408, -88.2371",decimal degrees,42.4408,-88.2371,World Geodetic System 1984,not recorded,,,unknown,A. P. Stodola,2017-09-05,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison Price Stodola,collector,Rachel Vinsel,collector,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,4,in collection,number of valves: 7,sampled downstream of bridge for 4 person-hours,wild caught,collection,"Fox River District, Nippersink Creek, Spring Grove, Bilvin Street"
8,achinn,2019.9.7,INHS 87359,collector number,[CHAS:Mamm]2019.9,Pyganodon grandis,unknown,A. P. Stodola,2017-09,"Giant floater mussel. Verbatim identification per original label: Pyganodon grandis (Say, 1829)",14 August 2017,2017-08-14,2017-08-14,"North America, United States, Illinois, Cook County","Poplar Creek (Fox River Dr.); 1 mi SE Elgin, Hwy. 20 bridge; Cook County, Illinois, USA; 42.02029, -88.26008",decimal degrees,42.02029,-88.26008,World Geodetic System 1984,not recorded,,,unknown,A. P. Stodola,2017-08-14,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison Price Stodola,collector,Rachel Vinsel,collector,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,7,in collection,number of valves: 10,sampled between Bluff City Rd. and Hwy. 20,wild caught,collection,"Fox River District, Poplar Creek, 1 mi SE of Elgin, Hwy 20 bridge"
29,achinn,2019.9.21,INHS 25174,collector number,[CHAS:Mamm]2019.9,Lampsilis cardium,unknown,unknown,,"Plain pocketbook mussel. Verbatim identification per original label: Lampsilis cardium (Rafinesque, 1820); Verbatim identified by remarks: 8 specimens identified by RWS & returned to stream.",7 September 2000,2000-09-07,2000-09-07,"North America, United States, Illinois, McHenry County","Fox River; 1.25 mi E Oakwood Hills, Rawson Bridge Rd., Rawson Bridge; McHenry County, Illinois USA; T44N, R9E, sec. 32, SW; 42.24291, -88.21365",decimal degrees,42.24291,-88.21365,World Geodetic System 1984,not recorded,,,unknown,R. W. Schanzle,2000-09-07,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Robert W. Schanzle,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Fox River, 1.25 mi E of Oakwood Hills, Rawson Bridge Road, Rawson Bridge"
31,achinn,2019.9.36,INHS 26271,collector number,[CHAS:Mamm]2019.9,Lampsilis cardium,unknown,R. W. Schanzle,,"Plain pocketbook mussel. Verbatim identification per original label: Lampsilis cardium (Rafinesque, 1820)",18 September 2001,2001-09-18,2001-09-18,"North America, United States, Illinois, Kane County","Fox River; Batavia, Glenwood Park Forest Preserve; Kane County, Illinois USA; T39N, R8E, sec. 27, NE; 41.83443, -88.31078",decimal degrees,41.83443,-88.31078,World Geodetic System 1984,not recorded,,,unknown,R. W. Schanzle,2001-09-18,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Robert W. Schanzle,collector,R. Rung,collector,Steve Pescitelli,collector,H. Brown,collector,R. Miller,collector,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Fox River, Batavia, Glenwood Park Forest Preserve"
