guid,ATTRIBUTE_VALUE,ATTRIBUTE,ATTRIBUTE_DATE,DETERMINER
CHAS:Inv:2019.9.32,"J.S. Tiemann, C.A. Phillips, S.M. Jaworski & S. Baker",verbatim collector,2012-07-17,unknown
CHAS:Inv:2019.9.3,R.W. Schanzle,verbatim collector,1998-06-23,unknown
CHAS:Inv:2019.9.22,"J.S. Tiemann, C.A. Phillips, S.M. Jaworski & S. Baker",verbatim collector,2012-07-17,unknown
CHAS:Inv:2019.9.15,R.E. Szafoni,verbatim collector,1998-09-16,unknown
CHAS:Inv:2019.9.24,K.S. Cummings,verbatim collector,2017-06-08,unknown
CHAS:Inv:2019.9.30,"S.A. Bales, B.L. Dabney, C.A. Wendel & S.M. Jaworski",verbatim collector,2012-08-23,unknown
CHAS:Inv:2019.9.23,"A.L. Price, D.K. Shasteen, J.S. Schwab & R.M. Vinsel",verbatim collector,2011-09-01,unknown
CHAS:Inv:2019.9.19,"A.L. Price, S.A. Bales, D.K. Shasteen, A.J. Berger & J.S. Schwab",verbatim collector,2010-08-23,unknown
CHAS:Inv:2019.9.21,R.W. Schanzle,verbatim collector,2000-09-07,unknown
CHAS:Inv:2019.9.36,"R.W. Schnazle, R. Rung, S. Pescitelli, H. Brown, R. Miller, R.",verbatim collector,2001-09-18,unknown
CHAS:Inv:2019.9.35,"A.L. Price, M.W. Walker & B.L. Dabney",verbatim collector,2012-08-22,unknown
CHAS:Inv:2019.9.20,"J.S. Tiemann, K.S. Cummings & S.M. Jaworski",verbatim collector,2012-07-10,unknown
CHAS:Inv:2019.9.29,J.E. Schwegman,verbatim collector,2004-09-15,unknown
CHAS:Inv:2019.9.34,"A.L. Price, A.J, Berger & J.S. Schwab",verbatim collector,2010-07-01,unknown
CHAS:Inv:2019.9.31,"J.S. Tiemann, K.S. Cummings & S.M. Jaworski",verbatim collector,2012-07-10,unknown
CHAS:Inv:2019.9.16,"A.P. Stodola, R.M. Vinsel, et al.",verbatim collector,2017-09-05,unknown
CHAS:Inv:2019.9.12,"D.K. Shasteen, A.L. Price, K.S. Cummings & M.M. Ruether",verbatim collector,2012-08-07,unknown
CHAS:Inv:2019.9.1,"J.S. Tiemann, K.S. Cummings & S.M. Jaworski",verbatim collector,2012-07-10,unknown
CHAS:Inv:2019.9.6,"D.K. Shasteen, A.L. Price, M.M. Ruether & M.W. Walker",verbatim collector,2012-08-27,unknown
CHAS:Inv:2019.9.7,"A.P. Stodola, R.M. Vinsel, et al.",verbatim collector,2017-08-14,unknown
CHAS:Inv:2019.9.28,"D.R. Helms, et al.",verbatim collector,2004-10-11,unknown
CHAS:Inv:2019.9.11,"A.P. Stodola, R.M. Vinsel, et al.",verbatim collector,2017-09-06,unknown
CHAS:Inv:2019.9.13,"D.K. Shasteen, A.L. Price, K.S. Cummings & M.M. Ruether",verbatim collector,2012-08-07,unknown
CHAS:Inv:2019.9.5,"K.S. Cummings, C.A. Phillips, J.S. Tiemann & B.D. Cheek",verbatim collector,2010-10-04,unknown
CHAS:Inv:2019.9.2,"J.S. Tiemann, C.A. Phillips, S.M. Jaworski & S. Baker",verbatim collector,2012-07-17,unknown
CHAS:Inv:2019.9.25,"A.P. Stodola, R.M. Vinsel, et al.",verbatim collector,2017-08-14,unknown
CHAS:Inv:2019.9.27,"A.L. Price, D.K. Shasteen, K. L. Jonasen, M.M. Ruether & M. W. Wall",verbatim collector,2012-09-11,unknown
CHAS:Inv:2019.9.9,"S.A. Bales, A.E. Stultz, D.D. Negangard, B. Lindsay, B. Edgin & J",verbatim collector,2011-08-18,unknown
CHAS:Inv:2019.9.17,"D.K. Shasteen, A.L. Price, K.S. Cummings & M.M. Ruether",verbatim collector,2012-08-07,unknown
CHAS:Inv:2019.9.8,K.S. Cummings ,verbatim collector,2006-10-20,unknown
CHAS:Inv:2019.9.14,J.E. Petzing,verbatim collector,2014-06-21,unknown
CHAS:Inv:2019.9.10,J.S. Tiemann & J.E. Hofmann,verbatim collector,2005-07-26,unknown
CHAS:Inv:2019.9.26,K.S. Cummings & C.A. Mayer,verbatim collector,1999-07-14,unknown
