COLLECTION_OBJECT_ID,VERIFICATIONSTATUS,ENTEREDBY,GUID_PREFIX,CAT_NUM,ACCN,TAXON_NAME,NATURE_OF_ID,MADE_DATE,IDENTIFICATION_REMARKS,ID_MADE_BY_AGENT,PART_REMARK_1,PART_NAME_1,PART_LOT_COUNT_1,PART_CONDITION_1,PART_DISPOSITION_1,PART_NAME_2,PART_LOT_COUNT_2,PART_CONDITION_2,PART_DISPOSITION_2,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,SPECIMEN_EVENT_TYPE,COLLECTING_SOURCE,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,COLLECTING_METHOD,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,COLL_EVENT_REMARKS,VERBATIM_LOCALITY,HIGHER_GEOG,SPEC_LOCALITY,COLL_OBJECT_REMARKS,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UNITS_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UNITS_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UNITS_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UNITS_5,ATTRIBUTE_REMARKS_5,ATTRIBUTE_DATE_5,ATTRIBUTE_DETERMINER_5,ATTRIBUTE_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_UNITS_6,ATTRIBUTE_REMARKS_6,ATTRIBUTE_DATE_6,ATTRIBUTE_DETERMINER_6,ATTRIBUTE_7,ATTRIBUTE_VALUE_7,ATTRIBUTE_REMARKS_7,ATTRIBUTE_DATE_7,ATTRIBUTE_DETERMINER_7,ATTRIBUTE_8,ATTRIBUTE_VALUE_8,ATTRIBUTE_DATE_8,ATTRIBUTE_DETERMINER_8,ATTRIBUTE_9,ATTRIBUTE_VALUE_9,ATTRIBUTE_DATE_9,ATTRIBUTE_DETERMINER_9
1,unverified,achinn,CHAS:Bird,2018.1.1,[CHAS:Mamm]2018.1,Seiurus aurocapilla,student,2017-12-17,Ovenbird.,Annamarie Fadorsen,date prepared: 2017-12-17,"skin, study",1,Excellent.,in collection,,,,,Richard Stroka,collector,,,,,Annamarie Fadorsen,preparator,AF-30,preparator number,,,collection,wild caught,Richard Stroka,2005-05-28,window strike,5-28-05,2005-05-28,2005-05-28,,"PNNM, Ravine","North America, United States, Illinois, Cook County","Ravine, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,16,g,2017-12-17,Annamarie Fadorsen,total length,124,mm,2017-12-17,Annamarie Fadorsen,tarsus length,19,mm,2017-12-17,Annamarie Fadorsen,tail length,55,mm,2017-12-17,Annamarie Fadorsen,wing chord,72,mm,,2017-12-17,Annamarie Fadorsen,fat deposition,moderate,,,2017-12-17,Annamarie Fadorsen,molt condition,none,,2017-12-17,Annamarie Fadorsen,skull ossification,100%,2017-12-17,Annamarie Fadorsen,,,,
2,unverified,achinn,CHAS:Bird,2018.1.10,[CHAS:Mamm]2018.1,Carduelis tristis,student,2017-07-05,American Goldfinch.,Nina D'Angier,date prepared: 2017-07-05,"skin, study",1,unchecked,in collection,,,,,Chicago Academy of Sciences,collector,,,,,Nina D'Angier,preparator,ND-05,preparator number,,,collection,wild caught,Chicago Academy of Sciences,2015-12-15,window strike,15 12 2015,2015-12-15,2015-12-15,"Weather: cloudy, 40 F; Estimated time of death: early am; Time found: 7:50 am","PNNM, found outside doors of North Gallery","North America, United States, Illinois, Cook County","outside doors of North Gallery, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",Vial full of crop contents. Seeds?,weight,12.75,g,2017-07-05,Nina D'Angier,total length,111.46,mm,2017-07-05,Nina D'Angier,tarsus length,17.2,mm,2017-07-05,Nina D'Angier,tail length,48.23,mm,2017-07-05,Nina D'Angier,wing chord,69.45,mm,,2017-07-05,Nina D'Angier,fat deposition,trace,,,2017-07-05,Nina D'Angier,molt condition,none,,2017-07-05,Nina D'Angier,skull ossification,100%,2017-07-05,Nina D'Angier,verbatim collector,Selenia,2017-07-05,Nina D'Angier
3,unverified,achinn,CHAS:Bird,2018.1.11,[CHAS:Mamm]2018.1,Catharus ustulatus,student,2017-08-29,Swainson's Thrush. verbatim preparator notes: Possibly a Gray-cheeked thrush?,Charles Ruedebusch,date prepared: 2017-08-29,"skin, study",1,Good.,in collection,,,,,Janelle Vreeland,collector,,,,,Charles Ruedebusch,preparator,CR-02,preparator number,,,collection,wild caught,Janelle Vreeland,2016-10-19,window strike,19 10 2016,2016-10-19,2016-10-19,"Weather: overcast, 70s F; Estimated time of death: 12:45 pm; Time found: 1:00 pm","Ravine, site ""1-12""","North America, United States, Illinois, Cook County","Ravine, site ""1-12"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,29,g,2017-08-29,Charles Ruedebusch,total length,165,mm,2017-08-29,Charles Ruedebusch,tarsus length,29,mm,2017-08-29,Charles Ruedebusch,tail length,67,mm,2017-08-29,Charles Ruedebusch,wing chord,99,mm,,2017-08-29,Charles Ruedebusch,fat deposition,moderate,,,2017-08-29,Charles Ruedebusch,molt condition,none,,2017-08-29,Charles Ruedebusch,skull ossification,10%,2017-08-29,Charles Ruedebusch,verbatim collector,"Sarah, Janelle",2017-08-29,Charles Ruedebusch
4,unverified,achinn,CHAS:Bird,2018.1.12,[CHAS:Mamm]2018.1,Catharus ustulatus,student,2017-06-21,Swainson's Thrush.,Nina D'Angier,date prepared: 2017-06-21,"skin, study",1,Good.,in collection,,,,,Jamie Forberg,collector,,,,,Nina D'Angier,preparator,ND-04,preparator number,,,collection,wild caught,Jamie Forberg,2015-04-09,window strike,4 9 2015,2015-04-09,2015-04-09,"Weather: humid, overcast, upper 70s F; Estimated time of death: 6:00 am; Time found: 6:30 am","PNNM, site ""3""","North America, United States, Illinois, Cook County","site ""3"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,24.5,g,2017-06-21,Nina D'Angier,total length,150.78,mm,2017-06-21,Nina D'Angier,tarsus length,23.84,mm,2017-06-21,Nina D'Angier,tail length,62.78,mm,2017-06-21,Nina D'Angier,wing chord,92.88,mm,,2017-06-21,Nina D'Angier,fat deposition,very light,,,2017-06-21,Nina D'Angier,molt condition,none,,2017-06-21,Nina D'Angier,skull ossification,100%,2017-06-21,Nina D'Angier,,,,
5,unverified,achinn,CHAS:Bird,2018.1.13,[CHAS:Mamm]2018.1,Geothlypis trichas,expert,2012-06-07,Common Yellowthroat.,Andrew Winschel,date prepared: 2017-09-07,"skin, study",1,Fair.,in collection,,,,,Andrew Winschel,collector,,,,,Janelle Laccino,preparator,JI-07,preparator number,,,collection,wild caught,Andrew Winschel,2012-06-07,window strike,7 June 2012,2012-06-07,2012-06-07,"Weather: sunny, light breeze, 75 F; Estimated time of death: 2:00 pm; Time found: 2:35 pm","PNNM, site ""48-60""","North America, United States, Illinois, Cook County","site ""48-60"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,9,g,2017-09-07,Janelle Laccino,total length,103.14,mm,2017-09-07,Janelle Laccino,tarsus length,19.8,mm,2017-09-07,Janelle Laccino,tail length,43.83,mm,2017-09-07,Janelle Laccino,wing chord,53.12,mm,,2017-09-07,Janelle Laccino,fat deposition,heavy,,,2017-09-07,Janelle Laccino,molt condition,none,,2017-09-07,Janelle Laccino,skull ossification,100%,2017-09-07,Janelle Laccino,,,,
6,unverified,achinn,CHAS:Bird,2018.1.14,[CHAS:Mamm]2018.1,Geothlypis trichas,student,2017-08-30,Common Yellowthroat.,Zahri Vafaee,date prepared: 2017-08-30,"skin, study",1,Excellent.,in collection,,,,,Lalainya Goldsberry,collector,,,,,Zahri Vafaee,preparator,ZV-03,preparator number,,,collection,wild caught,Lalainya Goldsberry,2015-09-23,window strike,23 9 2015,2015-09-23,2015-09-23,"Weather: clear, 70 F; Estimated time of death: 7:00; Time found: 8:05","PNNM, by exit doors to Ravine (south one)","North America, United States, Illinois, Cook County","by south exit doors to Ravine, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",Found with many ants.,weight,9,g,2017-08-30,Zahri Vafaee,total length,100.5,mm,2017-08-30,Zahri Vafaee,tarsus length,20,mm,2017-08-30,Zahri Vafaee,tail length,47,mm,2017-08-30,Zahri Vafaee,wing chord,52,mm,,2017-08-30,Zahri Vafaee,molt condition,none,,,2017-08-30,Zahri Vafaee,,,,,,,,,,,,,
7,unverified,achinn,CHAS:Bird,2018.1.15,[CHAS:Mamm]2018.1,Melospiza melodia,student,2017-08-01,Song Sparrow.,Annamarie Fadorsen,date prepared: 2017-08-01,"skin, study",1,Excellent.,in collection,,,,,Robert Wells,collector,,,,,Annamarie Fadorsen,preparator,AF-21a,preparator number,,,collection,wild caught,Robert Wells,2015-03-19,window strike,19 03 15,2015-03-19,2015-03-19,"Weather: cloudy, 41 F; Estimated time of death: 2:00 pm; Time found: 2:30 pm","PNNM, site ""1-12""","North America, United States, Illinois, Cook County","site ""1-12"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,20,g,2017-08-01,Annamarie Fadorsen,total length,146,mm,2017-08-01,Annamarie Fadorsen,tarsus length,22.6,mm,2017-08-01,Annamarie Fadorsen,tail length,71,mm,2017-08-01,Annamarie Fadorsen,wing chord,65.2,mm,,2017-08-01,Annamarie Fadorsen,fat deposition,moderate,,,2017-08-01,Annamarie Fadorsen,molt condition,none,,2017-08-01,Annamarie Fadorsen,skull ossification,100%,2017-08-01,Annamarie Fadorsen,,,,
8,unverified,achinn,CHAS:Bird,2018.1.16,[CHAS:Mamm]2018.1,Oporornis agilis,student,2017-07-26,Connecticut Warbler.,Nina D'Angier,date prepared: 2017-07-26,"skin, study",1,Fair.,in collection,,,,,Chicago Academy of Sciences,collector,,,,,Nina D'Angier,preparator,ND-06,preparator number,,,collection,wild caught,Chicago Academy of Sciences,2005-09-01,window strike,1 Sept 2005,2005-09-01,2005-09-01,Time found: 8:45,"PNNM, 6th window from south","North America, United States, Illinois, Cook County","6th window from south, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",Likely hit a window the night prior to salvage.,weight,11,g,2017-07-26,Nina D'Angier,total length,117.36,mm,2017-07-26,Nina D'Angier,tarsus length,24.19,mm,2017-07-26,Nina D'Angier,tail length,48.44,mm,2017-07-26,Nina D'Angier,wing chord,69.66,mm,,2017-07-26,Nina D'Angier,fat deposition,light,,,2017-07-26,Nina D'Angier,molt condition,none,,2017-07-26,Nina D'Angier,skull ossification,100%,2017-07-26,Nina D'Angier,verbatim collector,John,2017-07-26,Nina D'Angier
9,unverified,achinn,CHAS:Bird,2018.1.17,[CHAS:Mamm]2018.1,Oreothlypis celata,student,2017-07-19,Orange-crowned Warbler.,Annamarie Fadorsen,date prepared: 2017-07-19,"skin, study",1,Excellent.,in collection,,,,,Chicago Academy of Sciences,collector,,,,,Annamarie Fadorsen,preparator,AF-18a,preparator number,,,collection,wild caught,Chicago Academy of Sciences,2015-10-04,window strike,4 10 2015,2015-10-04,2015-10-04,"Weather: cloudy, 50 F; Estimated time of death: 9:15 am; Time found: 10:15 am","PNNM, by front doors","North America, United States, Illinois, Cook County","by front doors, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,8.5,g,2017-07-19,Annamarie Fadorsen,total length,108.26,mm,2017-07-19,Annamarie Fadorsen,tarsus length,19.85,mm,2017-07-19,Annamarie Fadorsen,tail length,48.13,mm,2017-07-19,Annamarie Fadorsen,wing chord,57.73,mm,,2017-07-19,Annamarie Fadorsen,fat deposition,heavy,,,2017-07-19,Annamarie Fadorsen,molt condition,none,,2017-07-19,Annamarie Fadorsen,skull ossification,50%,2017-07-19,Annamarie Fadorsen,verbatim collector,Gilberto,2017-07-19,Annamarie Fadorsen
10,unverified,achinn,CHAS:Bird,2018.1.18,[CHAS:Mamm]2018.1,Parkesia noveboracensis,expert,2008-09-08,Northern Waterthrush.,Celeste Troon,date prepared: 2017-07-21,"skin, study",1,Excellent.,in collection,,,,,Celeste Troon,collector,,,,,Annamarie Fadorsen,preparator,AF-20a,preparator number,,,collection,wild caught,Celeste Troon,2008-09-08,window strike,08 09 2008,2008-09-08,2008-09-08,Weather: rain; Estimated time of death: 12:00 am; Time found: 9:00 am,"PNNM, site ""6""","North America, United States, Illinois, Cook County","site ""6"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Found stunned and falling over, put in box for delivery to Chicago Bird Collision Monitors. Died later.",sex,female,,2017-07-21,Annamarie Fadorsen,weight,11,g,2017-07-21,Annamarie Fadorsen,total length,133,mm,2017-07-21,Annamarie Fadorsen,tarsus length,21,mm,2017-07-21,Annamarie Fadorsen,tail length,50,mm,,2017-07-21,Annamarie Fadorsen,wing chord,87,mm,,2017-07-21,Annamarie Fadorsen,fat deposition,moderate,,2017-07-21,Annamarie Fadorsen,molt condition,none,2017-07-21,Annamarie Fadorsen,skull ossification,100%,2017-07-21,Annamarie Fadorsen
