"ACCN","ASSOCIATED_SPECIES","ATTRIBUTE_1","ATTRIBUTE_10","ATTRIBUTE_2","ATTRIBUTE_3","ATTRIBUTE_4","ATTRIBUTE_5","ATTRIBUTE_6","ATTRIBUTE_7","ATTRIBUTE_8","ATTRIBUTE_9","ATTRIBUTE_DATE_1","ATTRIBUTE_DATE_10","ATTRIBUTE_DATE_2","ATTRIBUTE_DATE_3","ATTRIBUTE_DATE_4","ATTRIBUTE_DATE_5","ATTRIBUTE_DATE_6","ATTRIBUTE_DATE_7","ATTRIBUTE_DATE_8","ATTRIBUTE_DATE_9","ATTRIBUTE_DETERMINER_1","ATTRIBUTE_DETERMINER_10","ATTRIBUTE_DETERMINER_2","ATTRIBUTE_DETERMINER_3","ATTRIBUTE_DETERMINER_4","ATTRIBUTE_DETERMINER_5","ATTRIBUTE_DETERMINER_6","ATTRIBUTE_DETERMINER_7","ATTRIBUTE_DETERMINER_8","ATTRIBUTE_DETERMINER_9","ATTRIBUTE_DET_METH_1","ATTRIBUTE_DET_METH_10","ATTRIBUTE_DET_METH_2","ATTRIBUTE_DET_METH_3","ATTRIBUTE_DET_METH_4","ATTRIBUTE_DET_METH_5","ATTRIBUTE_DET_METH_6","ATTRIBUTE_DET_METH_7","ATTRIBUTE_DET_METH_8","ATTRIBUTE_DET_METH_9","ATTRIBUTE_REMARKS_1","ATTRIBUTE_REMARKS_10","ATTRIBUTE_REMARKS_2","ATTRIBUTE_REMARKS_3","ATTRIBUTE_REMARKS_4","ATTRIBUTE_REMARKS_5","ATTRIBUTE_REMARKS_6","ATTRIBUTE_REMARKS_7","ATTRIBUTE_REMARKS_8","ATTRIBUTE_REMARKS_9","ATTRIBUTE_UNITS_1","ATTRIBUTE_UNITS_10","ATTRIBUTE_UNITS_2","ATTRIBUTE_UNITS_3","ATTRIBUTE_UNITS_4","ATTRIBUTE_UNITS_5","ATTRIBUTE_UNITS_6","ATTRIBUTE_UNITS_7","ATTRIBUTE_UNITS_8","ATTRIBUTE_UNITS_9","ATTRIBUTE_VALUE_1","ATTRIBUTE_VALUE_10","ATTRIBUTE_VALUE_2","ATTRIBUTE_VALUE_3","ATTRIBUTE_VALUE_4","ATTRIBUTE_VALUE_5","ATTRIBUTE_VALUE_6","ATTRIBUTE_VALUE_7","ATTRIBUTE_VALUE_8","ATTRIBUTE_VALUE_9","BEGAN_DATE","C$LAT","C$LONG","CAT_NUM","COLLECTING_EVENT_ID","COLLECTING_EVENT_NAME","COLLECTING_METHOD","COLLECTING_SOURCE","COLLECTION_ID","COLLECTION_OBJECT_ID","COLLECTOR_AGENT_1","COLLECTOR_AGENT_2","COLLECTOR_AGENT_3","COLLECTOR_AGENT_4","COLLECTOR_AGENT_5","COLLECTOR_AGENT_6","COLLECTOR_AGENT_7","COLLECTOR_AGENT_8","COLLECTOR_ROLE_1","COLLECTOR_ROLE_2","COLLECTOR_ROLE_3","COLLECTOR_ROLE_4","COLLECTOR_ROLE_5","COLLECTOR_ROLE_6","COLLECTOR_ROLE_7","COLLECTOR_ROLE_8","COLL_EVENT_REMARKS","COLL_OBJECT_REMARKS","DATUM","DEC_LAT","DEC_LAT_MIN","DEC_LONG","DEC_LONG_MIN","DEPTH_UNITS","ENDED_DATE","ENTEREDBY","ENTEREDTOBULKDATE","ENTERED_AGENT_ID","EVENT_ASSIGNED_BY_AGENT","EVENT_ASSIGNED_DATE","FLAGS","GEOLOGY_ATTRIBUTE_1","GEOLOGY_ATTRIBUTE_2","GEOLOGY_ATTRIBUTE_3","GEOLOGY_ATTRIBUTE_4","GEOLOGY_ATTRIBUTE_5","GEOLOGY_ATTRIBUTE_6","GEOREFERENCE_PROTOCOL","GEOREFERENCE_SOURCE","GEO_ATT_DETERMINED_DATE_1","GEO_ATT_DETERMINED_DATE_2","GEO_ATT_DETERMINED_DATE_3","GEO_ATT_DETERMINED_DATE_4","GEO_ATT_DETERMINED_DATE_5","GEO_ATT_DETERMINED_DATE_6","GEO_ATT_DETERMINED_METHOD_1","GEO_ATT_DETERMINED_METHOD_2","GEO_ATT_DETERMINED_METHOD_3","GEO_ATT_DETERMINED_METHOD_4","GEO_ATT_DETERMINED_METHOD_5","GEO_ATT_DETERMINED_METHOD_6","GEO_ATT_DETERMINER_1","GEO_ATT_DETERMINER_2","GEO_ATT_DETERMINER_3","GEO_ATT_DETERMINER_4","GEO_ATT_DETERMINER_5","GEO_ATT_DETERMINER_6","GEO_ATT_REMARK_1","GEO_ATT_REMARK_2","GEO_ATT_REMARK_3","GEO_ATT_REMARK_4","GEO_ATT_REMARK_5","GEO_ATT_REMARK_6","GEO_ATT_VALUE_1","GEO_ATT_VALUE_2","GEO_ATT_VALUE_3","GEO_ATT_VALUE_4","GEO_ATT_VALUE_5","GEO_ATT_VALUE_6","GUID_PREFIX","HABITAT","HIGHER_GEOG","IDENTIFICATION_REMARKS","ID_MADE_BY_AGENT","LATDEG","LATDIR","LATMIN","LATSEC","LOADED","LOCALITY_ID","LOCALITY_NAME","LOCALITY_REMARKS","LONGDEG","LONGDIR","LONGMIN","LONGSEC","MADE_DATE","MAXIMUM_ELEVATION","MAX_DEPTH","MAX_ERROR_DISTANCE","MAX_ERROR_UNITS","MINIMUM_ELEVATION","MIN_DEPTH","NATURE_OF_ID","ORIG_ELEV_UNITS","ORIG_LAT_LONG_UNITS","OTHER_ID_NUM_1","OTHER_ID_NUM_2","OTHER_ID_NUM_3","OTHER_ID_NUM_4","OTHER_ID_NUM_5","OTHER_ID_NUM_TYPE_1","OTHER_ID_NUM_TYPE_2","OTHER_ID_NUM_TYPE_3","OTHER_ID_NUM_TYPE_4","OTHER_ID_NUM_TYPE_5","OTHER_ID_REFERENCES_1","OTHER_ID_REFERENCES_2","OTHER_ID_REFERENCES_3","OTHER_ID_REFERENCES_4","OTHER_ID_REFERENCES_5","PART_BARCODE_1","PART_BARCODE_10","PART_BARCODE_11","PART_BARCODE_12","PART_BARCODE_2","PART_BARCODE_3","PART_BARCODE_4","PART_BARCODE_5","PART_BARCODE_6","PART_BARCODE_7","PART_BARCODE_8","PART_BARCODE_9","PART_CONDITION_1","PART_CONDITION_10","PART_CONDITION_11","PART_CONDITION_12","PART_CONDITION_2","PART_CONDITION_3","PART_CONDITION_4","PART_CONDITION_5","PART_CONDITION_6","PART_CONDITION_7","PART_CONDITION_8","PART_CONDITION_9","PART_CONTAINER_LABEL_1","PART_CONTAINER_LABEL_10","PART_CONTAINER_LABEL_11","PART_CONTAINER_LABEL_12","PART_CONTAINER_LABEL_2","PART_CONTAINER_LABEL_3","PART_CONTAINER_LABEL_4","PART_CONTAINER_LABEL_5","PART_CONTAINER_LABEL_6","PART_CONTAINER_LABEL_7","PART_CONTAINER_LABEL_8","PART_CONTAINER_LABEL_9","PART_DISPOSITION_1","PART_DISPOSITION_10","PART_DISPOSITION_11","PART_DISPOSITION_12","PART_DISPOSITION_2","PART_DISPOSITION_3","PART_DISPOSITION_4","PART_DISPOSITION_5","PART_DISPOSITION_6","PART_DISPOSITION_7","PART_DISPOSITION_8","PART_DISPOSITION_9","PART_LOT_COUNT_1","PART_LOT_COUNT_10","PART_LOT_COUNT_11","PART_LOT_COUNT_12","PART_LOT_COUNT_2","PART_LOT_COUNT_3","PART_LOT_COUNT_4","PART_LOT_COUNT_5","PART_LOT_COUNT_6","PART_LOT_COUNT_7","PART_LOT_COUNT_8","PART_LOT_COUNT_9","PART_NAME_1","PART_NAME_10","PART_NAME_11","PART_NAME_12","PART_NAME_2","PART_NAME_3","PART_NAME_4","PART_NAME_5","PART_NAME_6","PART_NAME_7","PART_NAME_8","PART_NAME_9","PART_REMARK_1","PART_REMARK_10","PART_REMARK_11","PART_REMARK_12","PART_REMARK_2","PART_REMARK_3","PART_REMARK_4","PART_REMARK_5","PART_REMARK_6","PART_REMARK_7","PART_REMARK_8","PART_REMARK_9","SPECIMEN_EVENT_REMARK","SPECIMEN_EVENT_TYPE","SPEC_LOCALITY","TAXON_NAME","UTM_EW","UTM_NS","UTM_ZONE","VERBATIM_DATE","VERBATIM_LOCALITY","VERIFICATIONSTATUS","WKT_POLYGON"
"[CHAS:Mamm]E2018A","","sex","","weight","total length","hind foot with claw","tail length","ear from notch","fat deposition","","","2017-09-14","","2017-09-14","2017-09-14","2017-09-14","2017-09-14","2017-09-14","2017-09-14","","","Erin Dunbar","","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","","","","","","","","","","","","","","","","","","","","","","","","","g","mm","mm","mm","mm","","","","male","","450","240","33","152.81","24.81","heavy","","","1800-01-01","","","E2018A.1","","","","wild caught","113","96441888","Erin Dunbar","unknown","","","","","","","preparator","collector","","","","","","","","","","","","","","","2017-09-14","achinn","2018-09-05 15:16:40.380685","21302104","unknown","2017-09-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States","Eastern Gray Squirrel.","Erin Dunbar","","","","","BULKLOADED RECORD","","","","","","","","2017-09-14","","","","","","","student","","","ED-02","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Fair.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-09-14","","","","","","","","","","","","","collection","no specific locality recorded","Sciurus carolinensis","","","","no date recorded","no verbatim locality recorded","unverified",""
"[CHAS:Mamm]E2018A","","sex","","weight","total length","hind foot with claw","tail length","ear from notch","fat deposition","","","2017-08-29","","2017-08-29","2017-08-29","2017-08-29","2017-08-29","2017-08-29","2017-08-29","","","Erin Dunbar","","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","","","","","","","","","","","","","","","","","","","","","","","","","g","mm","mm","mm","mm","","","","male","","14","143.56","18.59","77.5","12.33","light","","","1800-01-01","","","E2018A.20","","","found in museum","wild caught","113","96441898","Erin Dunbar","Celeste Troon","","","","","","","preparator","collector","","","","","","","","Found dying in the hallway.","","","","","","","2017-08-29","achinn","2018-09-05 15:16:40.460577","21302104","Celeste Troon","2017-08-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States","Deer Mouse.","Erin Dunbar","","","","","BULKLOADED RECORD","","","","","","","","2017-08-29","","","","","","","student","","","ED-01","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Poor.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-08-29","","","","","","","","","","","","","collection","no specific locality recorded","Peromyscus maniculatus","","","","no date recorded","no verbatim locality recorded","unverified",""
"[CHAS:Mamm]E2018A","","weight","","total length","hind foot with claw","tail length","ear from notch","fat deposition","","","","2017-12-28","","2017-12-28","2017-12-28","2017-12-28","2017-12-28","2017-12-28","","","","Janelle Laccino","","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","","","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","1","","70.02","10.12","36.59","4.1","trace","","","","1800-01-01","","","E2018A.43","","","","wild caught","113","96441917","Janelle Laccino","unknown","","","","","","","preparator","collector","","","","","","","","","","","","","","","2017-12-28","achinn","2018-09-05 15:16:40.610739","21302104","unknown","2017-12-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States","Pygmy Shrew.","Janelle Laccino","","","","","BULKLOADED RECORD","","","","","","","","2017-12-28","","","","","","","student","","","JI-15","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","unchecked","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-12-28","","","","","","","","","","","","","collection","no specific locality recorded","Sorex minutus","","","","no date recorded","no verbatim locality recorded","unverified",""
"[CHAS:Mamm]E2018A","","sex","","weight","total length","hind foot with claw","tail length","ear from notch","","","","2017-08-25","","2017-08-25","2017-08-25","2017-08-25","2017-08-25","2017-08-25","","","","Beck Utigard","","Beck Utigard","Beck Utigard","Beck Utigard","Beck Utigard","Beck Utigard","","","","","","","","","","","","","","","","","","","","","","","","","","g","mm","mm","mm","mm","","","","female","","520","295","60","50","45","","","","1800-01-01","","","E2018A.44","","","","wild caught","113","96441918","Beck Utigard","unknown","","","","","","","preparator","collector","","","","","","","","","","","","","","","2017-08-25","achinn","2018-09-05 15:16:40.618636","21302104","unknown","2017-08-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States","Eastern Cottontail.","Annamarie Fadorsen","","","","","BULKLOADED RECORD","","","","","","","","2017-08-25","","","","","","","student","","","BU-03","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Good.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-08-25","","","","","","","","","","","","","collection","no specific locality recorded","Sylvilagus floridanus","","","","no date recorded","no verbatim locality recorded","unverified",""
"[CHAS:Mamm]E2018A","","weight","","total length","hind foot with claw","tail length","ear from notch","fat deposition","","","","2017-10-08","","2017-10-08","2017-10-08","2017-10-08","2017-10-08","2017-10-08","","","","Yuqing Wang","","Yuqing Wang","Yuqing Wang","Yuqing Wang","Yuqing Wang","Yuqing Wang","","","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","855","","376","72","41","54","none","","","","1800-01-01","","","E2018A.45","","","","wild caught","113","96441919","Yuqing Wang","unknown","","","","","","","preparator","collector","","","","","","","","","","","","","","","2017-10-08","achinn","2018-09-05 15:16:40.626416","21302104","unknown","2017-10-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States","Eastern Cottontail.","Annamarie Fadorsen","","","","","BULKLOADED RECORD","","","","","","","","2017-10-08","","","","","","","student","","","YW-01","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-10-08","","","","","","","","","","","","","collection","no specific locality recorded","Sylvilagus floridanus","","","","no date recorded","no verbatim locality recorded","unverified",""
"[CHAS:Mamm]E2018A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800-01-01","","","E2018A.46","","","","wild caught","113","96441920","unknown","","","","","","","","collector","","","","","","","","","","","","","","","","2018-08-30","achinn","2018-09-05 15:16:40.634181","21302104","unknown","2018-08-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States","White-tailed Deer.","unknown","","","","","BULKLOADED RECORD","","","","","","","","2017","","","","","","","legacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skull","","","","","","","","","","","","","","","","","","","","","","","","","collection","no specific locality recorded","Odocoileus virginianus","","","","no date recorded","no verbatim locality recorded","unverified",""
"[CHAS:Mamm]E2018A","","sex","","total length","hind foot with claw","tail length","ear from notch","age","","","","2017","","2017","2017","2017","2017","2017","","","","unknown","","unknown","unknown","unknown","unknown","unknown","","","","","","","","","","","","","","","","","","","","","","","","","","mm","mm","mm","mm","","","","","male","","460","62","195","31","2-3 years","","","","2011-07-22","","","E2018A.48","","","","wild caught","113","96441922","unknown","","","","","","","","collector","","","","","","","","","","","","","","","","2011-07-22","achinn","2018-09-05 15:16:40.649649","21302104","unknown","2011-07-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States, Illinois, Cook County","Eastern Gray Squirrel.","unknown","","","","","BULKLOADED RECORD","","","","","","","","2011-07-22","","","","","","","legacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unchecked","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skull","","","","","","","","","","","","","","","","","","","","","","","","","collection","Brookfield","Sciurus carolinensis","","","","22 July 2011","Brookfield","unverified",""
"[CHAS:Mamm]E2018A","","weight","","total length","tail length","unformatted measurements","","fat deposition","","","","2017-04-06","","2017-04-06","2017-04-06","2017-04-06","","2017-04-06","","","","Annamarie Fadorsen","","Annamarie Fadorsen","Annamarie Fadorsen","Annamarie Fadorsen","","Annamarie Fadorsen","","","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","","","","","","","20","","87.87","43.2","wing chord = 94.5 mm","","none","","","","1800-01-01","","","E2018A.50","","","","wild caught","113","96441924","Annamarie Fadorsen","unknown","","","","","","","preparator","collector","","","","","","","","","","","","","","","2017-04-06","achinn","2018-09-05 15:16:40.665277","21302104","unknown","2017-04-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States","Hoary Bat.","Annamarie Fadorsen","","","","","BULKLOADED RECORD","","","","","","","","2017-04-06","","","","","","","student","","","AF-15","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-04-06","","","","","","","","","","","","","collection","no specific locality recorded","Lasiurus cinereus","","","","no date recorded","no verbatim locality recorded","unverified",""
"[CHAS:Mamm]E2018A","","sex","","weight","total length","hind foot with claw","tail length","ear from notch","molt condition","","","2017-10-19","","2017-10-19","2017-10-19","2017-10-19","2017-10-19","2017-10-19","2017-10-19","","","Erin Dunbar","","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","Erin Dunbar","","","","","","","","","","","","","","","","","","","","skin slippage, lost fur around stomach at first handling","","","","","g","mm","mm","mm","mm","","","","female","","23","147.06","20.67","77.43","14.97","body","","","2010-10-19","","","E2018A.7","","","","wild caught","113","96441937","Erin Dunbar","unknown","","","","","","","preparator","collector","","","","","","","","","","","","","","","2010-10-19","achinn","2018-09-05 15:16:40.753129","21302104","unknown","2010-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States, Illinois","House Mouse.","Erin Dunbar","","","","","BULKLOADED RECORD","","","","","","","","2017-10-19","","","","","","","student","","","ED-04","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","unchecked","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-10-19","","","","","","","","","","","","","collection","Hanover Park [Cook County or DuPage County]","Mus musculus","","","","Oct. 19, 2010","Hanover Park","unverified",""
"[CHAS:Mamm]E2018B","","weight","","total length","hind foot with claw","tail length","ear from notch","fat deposition","molt condition","","","2017-10-26","","2017-10-26","2017-10-26","2017-10-26","2017-10-26","2017-10-26","2017-10-26","","","Janelle Laccino","","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","66.5","","24.5","34.63","104.23","14.88","trace","body","","","2017-05-05","","","E2018B.1","","","","wild caught","113","96441940","Janelle Laccino","Lisa Wiedemann","","","","","","","preparator","collector","","","","","","","Weather: 45 F; Time found: 12:30 pm","2 juvenile and one adult (well-fed) Norway rats collected from snap trap staations on Northside of Chicago. No knowledge of rodenticide consumption.","","","","","","","2017-05-05","achinn","2018-09-05 15:16:40.772101","21302104","Lisa Wiedemann","2017-05-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Mamm","","North America, United States, Illinois, Cook County","Norway Rat.","Janelle Laccino","","","","","BULKLOADED RECORD","","","","","","","","2017-10-26","","","","","","","student","","","JI-10","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","unchecked","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-10-26","","","","","","","","","","","","","collection","North Side of Chicago","Rattus norvegicus","","","","5 May 2017","collected from snap trap station on North Side of Chicago","unverified",""
