COLLECTION_OBJECT_ID,VERIFICATIONSTATUS,ENTEREDBY,GUID_PREFIX,CAT_NUM,ACCN,TAXON_NAME,NATURE_OF_ID,MADE_DATE,IDENTIFICATION_REMARKS,ID_MADE_BY_AGENT,PART_REMARK_1,PART_NAME_1,PART_LOT_COUNT_1,PART_CONDITION_1,PART_DISPOSITION_1,PART_NAME_2,PART_LOT_COUNT_2,PART_CONDITION_2,PART_DISPOSITION_2,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,SPECIMEN_EVENT_TYPE,COLLECTING_SOURCE,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,COLLECTING_METHOD,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,COLL_EVENT_REMARKS,VERBATIM_LOCALITY,HIGHER_GEOG,SPEC_LOCALITY,COLL_OBJECT_REMARKS,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UNITS_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UNITS_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UNITS_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UNITS_5,ATTRIBUTE_REMARKS_5,ATTRIBUTE_DATE_5,ATTRIBUTE_DETERMINER_5,ATTRIBUTE_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_UNITS_6,ATTRIBUTE_REMARKS_6,ATTRIBUTE_DATE_6,ATTRIBUTE_DETERMINER_6,ATTRIBUTE_7,ATTRIBUTE_VALUE_7,ATTRIBUTE_REMARKS_7,ATTRIBUTE_DATE_7,ATTRIBUTE_DETERMINER_7,ATTRIBUTE_8,ATTRIBUTE_VALUE_8,ATTRIBUTE_DATE_8,ATTRIBUTE_DETERMINER_8,ATTRIBUTE_9,ATTRIBUTE_VALUE_9,ATTRIBUTE_DATE_9,ATTRIBUTE_DETERMINER_9
57,unverified,achinn,CHAS:Teach,E2018A.1,[CHAS:Mamm]E2018A,Sciurus carolinensis,student,2017-09-14,Eastern Gray Squirrel.,Erin Dunbar,date prepared: 2017-09-14,"skin, study",1,Fair.,in collection,,,,,unknown,collector,,,,,Erin Dunbar,preparator,ED-02,preparator number,,,collection,wild caught,unknown,2017-09-14,,no date recorded,1800-01-01,2017-09-14,,no verbatim locality recorded,"North America, United States",no specific locality recorded,,sex,male,,2017-09-14,Erin Dunbar,weight,450,g,2017-09-14,Erin Dunbar,total length,240,mm,2017-09-14,Erin Dunbar,hind foot with claw,33,mm,2017-09-14,Erin Dunbar,tail length,152.81,mm,,2017-09-14,Erin Dunbar,ear from notch,24.81,mm,,2017-09-14,Erin Dunbar,fat deposition,heavy,,2017-09-14,Erin Dunbar,,,,,,,,
58,unverified,achinn,CHAS:Teach,E2018A.10,[CHAS:Mamm]E2018A,Certhia americana,legacy,2016-10-19,Brown Creeper.,unknown,date prepared: 2017-08-28,"skin, study",1,Good.,in collection,,,,,unknown,collector,,,,,Samantha Chapin,preparator,SC-18,preparator number,,,collection,wild caught,unknown,2016-10-19,window strike,19 Oct 2016,2016-10-19,2016-10-19,Weather: sunny; Time found: 12:00 am,northwest corner of Fullerton and Lakeview,"North America, United States, Illinois, Cook County","northwest corner of Fullerton and Lakeview, Chicago",,weight,7,g,2017-08-28,Samantha Chapin,total length,122,mm,2017-08-28,Samantha Chapin,tarsus length,14,mm,2017-08-28,Samantha Chapin,tail length,60,mm,2017-08-28,Samantha Chapin,wing chord,60,mm,,2017-08-28,Samantha Chapin,fat deposition,heavy,,,2017-08-28,Samantha Chapin,molt condition,none,,2017-08-28,Samantha Chapin,skull ossification,100%,2017-08-28,Samantha Chapin,verbatim collector,Heather,2017-08-28,Samantha Chapin
59,unverified,achinn,CHAS:Teach,E2018A.11,[CHAS:Mamm]E2018A,Melospiza melodia,student,2017-06-30,Song Sparrow.,Brittany Sowacke,date prepared: 2017-06-30,"skin, study",1,Excellent.,in collection,,,,,Chicago Academy of Sciences,collector,,,,,Brittany Sowacke,preparator,BS-23a,preparator number,,,collection,wild caught,Chicago Academy of Sciences,2012-03-25,window strke,25 March 2012,2012-03-25,2012-03-25,"Weather: clear, sunny; Estimated time of death: morning; Time found: 11:40 am","PNNM, outside of Hands on Habitat [exhibit]","North America, United States, Illinois, Cook County","outside of Hands on Habitat Exhibit, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,12,g,2017-06-30,Brittany Sowacke,total length,128,mm,2017-06-30,Brittany Sowacke,tarsus length,20,mm,2017-06-30,Brittany Sowacke,tail length,64,mm,2017-06-30,Brittany Sowacke,wing chord,59,mm,,2017-06-30,Brittany Sowacke,fat deposition,moderate,,,2017-06-30,Brittany Sowacke,molt condition,"body, light",,2017-06-30,Brittany Sowacke,skull ossification,50%,2017-06-30,Brittany Sowacke,verbatim collector,"Danny, security",2017-06-30,Brittany Sowacke
60,unverified,achinn,CHAS:Teach,E2018A.12,[CHAS:Mamm]E2018A,Passer domesticus,student,2017-06-21,House Sparrow.,Brittany Sowacke,date prepared: 2017-06-21,"skin, study",1,Poor.,in collection,,,,,Peggy Ryan,collector,Pablo Oviedo,collector,,,Brittany Sowacke,preparator,BS-22,preparator number,,,collection,wild caught,Peggy Ryan,2016-08-31,window strike,31 8 2016,2016-08-31,2016-08-31,"Weather: clear, 80s F; Estimated time of death: 11:30 am; Time found: 12:00 am","PNNM, outside of Hands on Habitat [exhibit] by tent on eco-paver lot","North America, United States, Illinois, Cook County","outside of Hands on Habitat Exhibit by tent on eco-paver lot, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,25,g,2017-06-21,Brittany Sowacke,total length,133,mm,2017-06-21,Brittany Sowacke,tarsus length,21,mm,2017-06-21,Brittany Sowacke,tail length,66,mm,2017-06-21,Brittany Sowacke,wing chord,73,mm,,2017-06-21,Brittany Sowacke,fat deposition,trace,,,2017-06-21,Brittany Sowacke,molt condition,"body, wings, and tail",,2017-06-21,Brittany Sowacke,skull ossification,80%,2017-06-21,Brittany Sowacke,,,,
61,unverified,achinn,CHAS:Teach,E2018A.13,[CHAS:Mamm]E2018A,Poephila acuticauda,student,2017-07-10,Shaft-tail Finch.,Samantha Chapin,date prepared: 2017-07-10,"skin, study",1,Good.,in collection,,,,,Chicago Academy of Sciences,collector,,,,,Samantha Chapin,preparator,SC-16,preparator number,,,collection,captive,Chicago Academy of Sciences,2017-07-10,,no date recorded,1800-01-01,2017-07-10,,"PNNM, Butterfly Haven","North America, United States, Illinois, Cook County","Butterfly Haven, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,11,g,2017-07-10,Samantha Chapin,total length,122,mm,2017-07-10,Samantha Chapin,tarsus length,15,mm,2017-07-10,Samantha Chapin,tail length,53,mm,2017-07-10,Samantha Chapin,wing chord,60,mm,,2017-07-10,Samantha Chapin,fat deposition,light,,,2017-07-10,Samantha Chapin,molt condition,body,,2017-07-10,Samantha Chapin,skull ossification,100%,2017-07-10,Samantha Chapin,,,,
62,unverified,achinn,CHAS:Teach,E2018A.14,[CHAS:Mamm]E2018A,Hylocichla ustulata,student,2017-08-03,Swainson's Thrush. verbatim identification: Thrush,Janelle Iaccino,date prepared: 2017-08-03,"skin, study",1,unchecked,in collection,,,,,Chicago Academy of Sciences,collector,,,,,Janelle Iaccino,preparator,JI-05,preparator number,,,collection,wild caught,Chicago Academy of Sciences,2015-09-11,window strike,11 Sept 2015,2015-09-11,2015-09-11,"Weather: calm, cloudy; Estimated time of death: 10:24 am; Time found: 10:26 am","PNNM, found bird outside by the courtyard glass doors","North America, United States, Illinois, Cook County","by the courtyard glass doors, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",Found bird outside by the court yard glass doors.,weight,25,g,2017-08-03,Janelle Iaccino,total length,142.19,mm,2017-08-03,Janelle Iaccino,tarsus length,26.65,mm,2017-08-03,Janelle Iaccino,tail length,63.17,mm,2017-08-03,Janelle Iaccino,wing chord,91.81,mm,,2017-08-03,Janelle Iaccino,fat deposition,trace,,,2017-08-03,Janelle Iaccino,molt condition,none,,2017-08-03,Janelle Iaccino,skull ossification,0%,2017-08-03,Janelle Iaccino,verbatim collector,"Renee, security",2017-08-03,Janelle Iaccino
63,unverified,achinn,CHAS:Teach,E2018A.15,[CHAS:Mamm]E2018A,Regulus satrapa,legacy,2011-10-01,Golden-crowned Kinglet.,unknown,date prepared: 2017-08-14,"skin, study",1,Excellent.,in collection,,,,,unknown,collector,,,,,Samantha Chapin,preparator,SC-17,preparator number,,,collection,wild caught,unknown,2011-10-01,window strike,1 10 2011,2011-10-01,2011-10-01,"Weather: sunny, cool; Estimated time of death: 1:00 pm; Time found: 1:17 pm","PNNM, Ravine, site ""13""","North America, United States, Illinois, Cook County","Ravine, site ""13"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,4,g,2017-08-14,Samantha Chapin,total length,86,mm,2017-08-14,Samantha Chapin,tarsus length,17,mm,2017-08-14,Samantha Chapin,tail length,40,mm,2017-08-14,Samantha Chapin,wing chord,57,mm,,2017-08-14,Samantha Chapin,fat deposition,heavy,,,2017-08-14,Samantha Chapin,molt condition,body,,2017-08-14,Samantha Chapin,verbatim collector,Laura,2017-08-14,Samantha Chapin,,,,
64,unverified,achinn,CHAS:Teach,E2018A.16,[CHAS:Mamm]E2018A,Vireo gilvus,legacy,2016-08-28,Warbling Vireo.,Karen Lund,date prepared: 2017-07-12,"skin, study",1,Good.,in collection,,,,,Lalainya Goldsberry,collector,,,,,Kristi Overgaard,preparator,KO-17,preparator number,,,collection,wild caught,Lalainya Goldsberry,2016-08-28,window strike,28 8 2016,2016-08-28,2016-08-28,"Weather: clear, warm; Estimated time of death: 7:30 am; Time found: 8:00","PNNM, Ravine","North America, United States, Illinois, Cook County","Ravine, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,weight,14,g,2017-07-12,Kristi Overgaard,total length,123.6,mm,2017-07-12,Kristi Overgaard,tarsus length,18.13,mm,2017-07-12,Kristi Overgaard,tail length,53.62,mm,2017-07-12,Kristi Overgaard,wing chord,67.43,mm,,2017-07-12,Kristi Overgaard,fat deposition,light,,,2017-07-12,Kristi Overgaard,molt condition,none,,2017-07-12,Kristi Overgaard,,,,,,,,
65,unverified,achinn,CHAS:Teach,E2018A.17,[CHAS:Mamm]E2018A,Wilsonia pusilla,expert,2008-09-15,Wilsons Warbler.,Celeste Troon,date prepared: 2017-07-05,"skin, study",1,Fair.,in collection,,,,,Celeste Troon,collector,,,,,Brittany Sowacke,preparator,BS-25,preparator number,,,collection,wild caught,Celeste Troon,2008-09-15,window strike,09-15-2008,2008-09-15,2008-09-15,Weather: partly cloudy; Estimated time of death: 11:10 am; Time found: 11:00 am,"PNNM, near Butterfly Haven","North America, United States, Illinois, Cook County","near Butterfly Haven, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,total length,116,mm,2017-07-05,Brittany Sowacke,tarsus length,20,mm,2017-07-05,Brittany Sowacke,tail length,19,mm,2017-07-05,Brittany Sowacke,wing chord,68,mm,2017-07-05,Brittany Sowacke,,,,,,,molt condition,none,,,2017-07-05,Brittany Sowacke,,,,,,,,,,,,,
67,unverified,achinn,CHAS:Teach,E2018A.2,[CHAS:Mamm]E2018A,Zonotrichia albicollis,expert,2005-04-18,White-throated Sparrow.,Dale Hinslza,date prepared: 2017-07-06,"skin, study",1,unchecked,in collection,,,,,Dale Hinslza,collector,,,,,Janelle Iaccino,preparator,JI-03,preparator number,,,collection,wild caught,Dale Hinslza,2005-04-18,window strike,18 April 2005,2005-04-18,2005-04-18,Estimated time of death: morning; Time found: 5:00 pm - 6:00 pm,no verbatim locality recorded,"North America, United States, Illinois, Cook County",no specific locality recorded,"Found 5-6 pm likely died in morning hit west side of house, likely hit a small window.",weight,25,g,2017-07-06,Janelle Iaccino,total length,137.41,mm,2017-07-06,Janelle Iaccino,tarsus length,23.98,mm,2017-07-06,Janelle Iaccino,tail length,63.39,mm,2017-07-06,Janelle Iaccino,wing chord,72.5,mm,,2017-07-06,Janelle Iaccino,fat deposition,heavy,,,2017-07-06,Janelle Iaccino,skull ossification,100%,,2017-07-06,Janelle Iaccino,,,,,,,,
