guid,part_name,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,DETERMINED_DATE,determiner
CHAS:Teach:E2018A.12,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.31,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.2,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.43,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.52,skull,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.7,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.11,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.17,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.45,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.46,skull,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.50,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.21,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.22,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.29,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.32,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.37,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.38,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.55,carapace,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.6,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.13,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.41,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.41,whole organism (70% ethanol),location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.60,carapace,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.26,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.35,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.48,skull,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.33,body parts,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.49,"skeleton, partial",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.49,carapace,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.5,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.27,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.4,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.18,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.15,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.16,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.3,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.40,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.54,skull,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.14,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.39,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.51,skull,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.56,carapace,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.56,"skeleton, partial",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.8,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.1,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.10,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.19,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.23,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.28,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.30,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.42,carapace,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.44,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.58,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.53,skull,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.57,carapace,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.9,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.59,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.24,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.47,skull,location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.25,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
CHAS:Teach:E2018A.20,"skin, study",location,RVWD: 302: Small room,2018-11-01,Dawn R. Roberts
