guid,part_name,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,ATTRIBUTE_UNITS,DETERMINED_DATE,determiner,remark
CHAS:Mamm:2017.16.2,"skin, study",location,RVWD: 302: Mam Cab 03: A,,2018-10-09,Anna Chinn,
CHAS:Mamm:2018.3.1,"skin, study",location,RVWD: 302: Mam Cab 08: D,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.70,"skin, study",location,RVWD: 302: Orn Cab 02: H,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.74,"skin, study",location,RVWD: 302: Orn Cab 17: E,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.60,"skin, study",location,RVWD: 302: Orn Cab 02: G,,2018-10-09,Anna Chinn,
CHAS:Bird:1992.3.6,"skin, study",location,RVWD: 302: Orn Cab 20: M,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.79,"skin, study",location,RVWD: 302: Orn Cab 02: F,,2018-10-09,Anna Chinn,
CHAS:Mamm:2017.16.1,"skin, study",location,RVWD: 302: Mam Cab 03: A,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.83,"skin, study",location,RVWD: 302: Orn Cab 22: N,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.57,"skin, study",location,RVWD: 302: Orn Cab 21: K,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.63,"skin, study",location,RVWD: 302: Orn Cab 05: H,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.84,"skin, study",location,RVWD: 302: Orn Cab 21: L,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.85,"skin, study",location,RVWD: 302: Orn Cab 02: H,,2018-10-09,Anna Chinn,
CHAS:Bird:1992.3.5,"skin, study",location,RVWD: 302: Orn Cab 22: E,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.72,"skin, study",location,RVWD: 302: Orn Cab 20: J,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.76,"skin, study",location,RVWD: 302: Orn Cab 02: H,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.81,"skin, study",location,RVWD: 302: Orn Cab 21: K,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.73,"skin, study",location,RVWD: 302: Orn Cab 22: E,,2018-10-09,Anna Chinn,
CHAS:Bird:1992.3.4,"skin, study",location,RVWD: 302: Orn Cab 03: C,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.62,"skin, study",location,RVWD: 302: Orn Cab 02: I,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.69,"skin, study",location,RVWD: 302: Orn Cab 05: H,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.75,"skin, study",location,RVWD: 302: Orn Cab 02: H,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.67,"skin, study",location,RVWD: 302: Orn Cab 05: H,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.59,"skin, study",location,RVWD: 302: Orn Cab 23: K,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.78,"skin, study",location,RVWD: 302: Orn Cab 22: N,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.77,"skin, study",location,RVWD: 302: Orn Cab 23: G,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.80,"skin, study",location,RVWD: 302: Orn Cab 22: E,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.71,"skin, study",location,RVWD: 302: Orn Cab 17: E,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.68,"skin, study",location,RVWD: 302: Orn Cab 05: H,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.61,"skin, study",location,RVWD: 302: Orn Cab 02: J,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.64,"skin, study",location,RVWD: 302: Orn Cab 08: F,,2018-10-09,Anna Chinn,
CHAS:Bird:2018.1.82,"skin, study",location,RVWD: 302: Orn Cab 22: N,,2018-10-09,Anna Chinn
