guid,OTHER_ID_TYPE,OTHER_ID_NUMBER,ATTRIBUTE,ATTRIBUTE_VALUE,ATTRIBUTE_UNITS,ATTRIBUTE_DATE,ATTRIBUTE_METH,DETERMINER,REMARKS,guid_prefix
CHAS:Bird:2018.1.60,,,verbatim preservation date,2018-05-08,,2018-05-08,,Cassie Baron,date prepared,
CHAS:Bird:2018.1.61,,,verbatim preservation date,2018-03-15,,2018-03-15,,Chanel Gallo,date prepared,
CHAS:Bird:2018.1.64,,,verbatim preservation date,2018-04-06,,2018-04-06,,Chanel Gallo,date prepared,
CHAS:Bird:2018.1.69,,,verbatim preservation date,2018-03-12,,2018-03-12,,Dana Jensen,date prepared,
CHAS:Bird:2018.1.75,,,verbatim preservation date,2018-04-19,,2018-04-19,,Erin Dunbar,date prepared,
CHAS:Bird:2018.1.77,,,verbatim preservation date,2018-03-19,,2018-03-19,,Ellie Zahedi,date prepared,
CHAS:Bird:2018.1.80,,,verbatim preservation date,2018-05-08,,2018-05-08,,Ellie Zahedi,date prepared,
CHAS:Bird:2018.1.81,,,verbatim preservation date,2018-03-15,,2018-03-15,,Julianna Crisanti,date prepared,
CHAS:Bird:2018.1.82,,,verbatim preservation date,2018-04-19,,2018-04-19,,Julianna Crisanti,date prepared,
CHAS:Bird:2018.1.83,,,verbatim preservation date,2018-03-28,,2018-03-28,,Janelle Iaccino,date prepared,
CHAS:Mamm:2017.16.1,,,verbatim preservation date,2018-04-04,,2018-04-04,,Janelle Iaccino,date prepared,
CHAS:Mamm:2017.16.2,,,verbatim preservation date,2018-04-11,,2018-04-11,,Janelle Iaccino,date prepared,
CHAS:Bird:2018.1.68,,,verbatim preservation date,2018-05-17,,2018-05-17,,Chanel Gallo,date prepared,
CHAS:Bird:2018.1.73,,,verbatim preservation date,2018-03-15,,2018-03-15,,Erin Dunbar,date prepared,
CHAS:Bird:2018.1.57,,,verbatim preservation date,2018-05-19,,2018-05-19,,Annamarie Fadorsen,date prepared,
CHAS:Bird:1992.3.4,,,verbatim preservation date,2018-03-21,,2018-03-21,,Brittany Sowacke,date prepared,
CHAS:Bird:2018.1.59,,,verbatim preservation date,2018-04-17,,2018-04-17,,Cassie Baron,date prepared,
CHAS:Bird:2018.1.62,,,verbatim preservation date,2018-03-23,,2018-03-23,,Chanel Gallo,date prepared,
CHAS:Bird:2018.1.63,,,verbatim preservation date,2018-03-30,,2018-03-30,,Chanel Gallo,date prepared,
CHAS:Bird:1992.3.5,,,verbatim preservation date,2018-04-22,,2018-04-22,,Chanel Gallo,date prepared,
CHAS:Bird:1992.3.6,,,verbatim preservation date,2018-04-27,,2018-04-27,,Chanel Gallo,date prepared,
CHAS:Bird:2018.1.67,,,verbatim preservation date,2018-05-03,,2018-05-03,,Chanel Gallo,date prepared,
CHAS:Bird:2018.1.70,,,verbatim preservation date,2018-03-23,,2018-03-23,,Dana Jensen,date prepared,
CHAS:Bird:2018.1.71,,,verbatim preservation date,2018-03-30,,2018-03-30,,Dana Jensen,date prepared,
CHAS:Bird:2018.1.72,,,verbatim preservation date,2018-04-27,,2018-04-27,,Dana Jensen,date prepared,
CHAS:Bird:2018.1.74,,,verbatim preservation date,2018-04-06,,2018-04-06,,Erin Dunbar,date prepared,
CHAS:Bird:2018.1.76,,,verbatim preservation date,2018-05-10,,2018-05-10,,Erin Dunbar,date prepared,
CHAS:Bird:2018.1.78,,,verbatim preservation date,2018-04-03,,2018-04-03,,Ellie Zahedi,date prepared,
CHAS:Bird:2018.1.79,,,verbatim preservation date,2018-04-17,,2018-04-17,,Ellie Zahedi,date prepared,
CHAS:Bird:2018.1.84,,,verbatim preservation date,2018-05-02,,2018-05-02,,Janelle Iaccino,date prepared,
CHAS:Bird:2018.1.85,,,verbatim preservation date,2018-05-09,,2018-05-09,,Janelle Iaccino,date prepared,
CHAS:Mamm:2018.3.1,,,verbatim preservation date,2018-02-28,,2018-02-28,,Janelle Iaccino,date prepared
