guid,ATTRIBUTE,ATTRIBUTE_VALUE,ATTRIBUTE_DATE,DETERMINER,REMARKS
CHAS:Bird:2018.1.58,verbatim preservation date,2018-08-16,2018-08-16,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.65,verbatim preservation date,2018-08-30,2018-08-30,Julianna Crisanti,date prepared
CHAS:Bird:1992.3.8,verbatim preservation date,2018-08-08,2018-08-08,Janelle Iaccino,date prepared
CHAS:Bird:2018.1.66,verbatim preservation date,2018-08-31,2018-08-31,Chanel Gallo,date prepared
CHAS:Bird:2018.1.86,verbatim preservation date,2018-08-25,2018-08-25,Anastasia DeMaio,date prepared
CHAS:Bird:2018.1.87,verbatim preservation date,2018-08-28,2018-08-28,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.88,verbatim preservation date,2018-07-19,2018-07-19,Chanel Gallo,date prepared
CHAS:Bird:2018.1.89,verbatim preservation date,2018-07-03,2018-07-03,Ellie Zahedi,date prepared
CHAS:Bird:2018.1.90,verbatim preservation date,2018-07-20,2018-07-20,Chanel Gallo,date prepared
CHAS:Bird:1992.3.9,verbatim preservation date,2018-07-06,2018-07-06,Chanel Gallo,date prepared
CHAS:Bird:2018.1.91,verbatim preservation date,2018-06-15,2018-06-15,Jensen Wong,date prepared
CHAS:Bird:2018.1.92,verbatim preservation date,2018-07-12,2018-07-12,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.93,verbatim preservation date,2018-02-21,2018-02-21,Chanel Gallo,date prepared
CHAS:Bird:2018.1.94,verbatim preservation date,2018-07-05,2018-07-05,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.95,verbatim preservation date,2018-07-27,2018-07-27,Chanel Gallo,date prepared
CHAS:Bird:2018.1.96,verbatim preservation date,2018-05-31,2018-05-31,Erin Dunbar,date prepared
CHAS:Bird:1992.3.10,verbatim preservation date,2018-07-06,2018-07-06,Chanel Gallo,date prepared
CHAS:Bird:2018.1.97,verbatim preservation date,2018-07-13,2018-07-13,Chanel Gallo,date prepared
CHAS:Bird:2018.1.98,verbatim preservation date,2018-07-26,2018-07-26,Chanel Gallo,date prepared
CHAS:Bird:2018.1.99,verbatim preservation date,2018-07-12,2018-07-12,Chanel Gallo,date prepared
CHAS:Bird:2018.1.100,verbatim preservation date,2018-07-26,2018-07-26,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.101,verbatim preservation date,2018-06-12,2018-06-12,Ellie Zahedi,date prepared
CHAS:Bird:2018.1.102,verbatim preservation date,2018-07-20,2018-07-20,Jensen Wong,date prepared
CHAS:Bird:2018.1.103,verbatim preservation date,2018-06-30,2018-06-30,Tom Collins,date prepared
CHAS:Bird:2018.1.104,verbatim preservation date,2018-06-23,2018-06-23,Anna Chinn,date prepared
CHAS:Bird:2018.1.105,verbatim preservation date,2018-08-02,2018-08-02,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.106,verbatim preservation date,2018-06-23,2018-06-23,Anastasia DeMaio,date prepared
CHAS:Bird:2018.1.107,verbatim preservation date,2018-07-05,2018-07-05,Erin Dunbar,date prepared
CHAS:Bird:2018.1.108,verbatim preservation date,2018-09-17,2018-09-17,Janelle Iaccino,date prepared
CHAS:Teach:E2018A.61,verbatim preservation date,2018-08-31,2018-08-31,Jensen Wong,date prepared
CHAS:Bird:2018.1.109,verbatim preservation date,2018-05-22,2018-05-22,Ellie Zahedi,date prepared
CHAS:Bird:2018.1.110,verbatim preservation date,2018-06-07,2018-06-07,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.111,verbatim preservation date,2018-05-31,2018-05-31,Chanel Gallo,date prepared
CHAS:Bird:2018.1.112,verbatim preservation date,2018-05-29,2018-05-29,Cassie Baron,date prepared
CHAS:Bird:2018.1.113,verbatim preservation date,2018-05-01,2018-05-01,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.114,verbatim preservation date,2018-05-25,2018-05-25,Chanel Gallo,date prepared
CHAS:Bird:2018.1.115,verbatim preservation date,2018-04-20,2018-04-20,Annamarie Fadorsen,date prepared
CHAS:Bird:1992.3.11,verbatim preservation date,2018-06-07,2018-06-07,Chanel Gallo,date prepared
CHAS:Bird:2018.1.116,verbatim preservation date,2018-09-04,2018-09-04,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.117,verbatim preservation date,2018-08-09,2018-08-09,Chanel Gallo,date prepared
CHAS:Bird:2018.1.118,verbatim preservation date,2018-09-15,2018-09-15,Anastasia DeMaio,date prepared
CHAS:Bird:2018.1.119,verbatim preservation date,2018-06-17,2018-06-17,Chanel Gallo,date prepared
CHAS:Bird:1992.3.12,verbatim preservation date,2018-06-14,2018-06-14,Chanel Gallo,date prepared
CHAS:Bird:2018.1.120,verbatim preservation date,2018-06-08,2018-06-08,Chanel Gallo,date prepared
CHAS:Bird:2018.1.121,verbatim preservation date,2018-09-06,2018-09-06,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.122,verbatim preservation date,2018-08-25,2018-08-25,Tom Collins,date prepared
CHAS:Bird:2018.1.123,verbatim preservation date,2018-04-17,2018-04-17,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.124,verbatim preservation date,2018-06-16,2018-06-16,Tom Collins,date prepared
CHAS:Bird:1992.3.13,verbatim preservation date,2018-04-19,2018-04-19,Chanel Gallo,date prepared
CHAS:Bird:2018.1.125,verbatim preservation date,2018-06-01,2018-06-01,Chanel Gallo,date prepared
CHAS:Bird:1992.3.14,verbatim preservation date,2018-01-17,2018-01-17,Zahri Vafaee,date prepared
CHAS:Bird:2018.1.126,verbatim preservation date,2018-02-15,2018-02-15,Zahri Vafaee,date prepared
CHAS:Bird:2018.1.127,verbatim preservation date,2018-02-09,2018-02-09,Zahri Vafaee,date prepared
CHAS:Bird:1992.3.15,verbatim preservation date,2018-01-24,2018-01-24,Zahri Vafaee,date prepared
CHAS:Bird:2018.1.128,verbatim preservation date,2018-01-09,2018-01-09,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.129,verbatim preservation date,2018-01-16,2018-01-16,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.130,verbatim preservation date,2018-01-15,2018-01-15,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.131,verbatim preservation date,2018-03-13,2018-03-13,Brittany Sowacke,date prepared
CHAS:Bird:2018.1.132,verbatim preservation date,2018-01-05,2018-01-05,Brittany Sowacke,date prepared
CHAS:Bird:1992.3.16,verbatim preservation date,2018-02-23,2018-02-23,Annamarie Fadorsen,date prepared
CHAS:Bird:2018.1.133,verbatim preservation date,2018-01-18,2018-01-18,Annamarie Fadorsen,date prepared
CHAS:Bird:2018.1.134,verbatim preservation date,2018-04-20,2018-04-20,Annamarie Fadorsen,date prepared
CHAS:Bird:2018.1.135,verbatim preservation date,2018-02-02,2018-02-02,Annamarie Fadorsen,date prepared
CHAS:Bird:2018.1.136,verbatim preservation date,2018-02-16,2018-02-16,Chanel Gallo,date prepared
CHAS:Bird:2018.1.137,verbatim preservation date,2018-03-09,2018-03-09,Chanel Gallo,date prepared
CHAS:Bird:2018.1.138,verbatim preservation date,2018-02-08,2018-02-08,Chanel Gallo,date prepared
CHAS:Bird:2018.1.139,verbatim preservation date,2018-03-01,2018-03-01,Chanel Gallo,date prepared
CHAS:Bird:2018.1.140,verbatim preservation date,2018-03-22,2018-03-22,Chanel Gallo,date prepared
CHAS:Bird:2018.1.141,verbatim preservation date,2018-01-18,2018-01-18,Cassie Baron,date prepared
CHAS:Bird:2018.1.142,verbatim preservation date,2018-02-08,2018-02-08,Cassie Baron,date prepared
CHAS:Bird:2018.1.143,verbatim preservation date,2018-02-08,2018-02-08,Janelle Iaccino,date prepared
CHAS:Bird:2018.1.144,verbatim preservation date,2018-02-15,2018-02-15,Janelle Iaccino,date prepared
CHAS:Bird:2018.1.145,verbatim preservation date,2018-01-11,2018-01-11,Janelle Iaccino,date prepared
CHAS:Bird:2018.1.146,verbatim preservation date,2018-02-01,2018-02-01,Julianna Crisanti,date prepared
CHAS:Bird:2018.1.147,verbatim preservation date,2018-02-19,2018-02-19,Ellie Zahedi,date prepared
CHAS:Bird:2018.1.148,verbatim preservation date,2018-02-05,2018-02-05,Jensen Wong,date prepared
CHAS:Bird:2018.1.149,verbatim preservation date,2018-02-16,2018-02-16,Jensen Wong,date prepared
CHAS:Bird:2018.1.150,verbatim preservation date,2018-03-02,2018-03-02,Jensen Wong,date prepared
CHAS:Bird:2018.1.151,verbatim preservation date,2018-02-15,2018-02-15,Erin Dunbar,date prepared
CHAS:Bird:2018.1.152,verbatim preservation date,2017-12-13,2017-12-13,Zahri Vafaee,date prepared
CHAS:Bird:2018.1.153,verbatim preservation date,2018-01-04,2018-01-04,Janelle Iaccino,date prepared
CHAS:Bird:2018.1.154,verbatim preservation date,2018-02-01,2018-02-01,Erin Dunbar,date prepared
CHAS:Bird:2018.1.58,skull ossification,30%,2018-08-16,Julianna Crisanti,
CHAS:Bird:2018.1.65,skull ossification,100%,2018-08-30,Julianna Crisanti,
CHAS:Bird:1992.3.8,skull ossification,20%,2018-08-08,Janelle Iaccino,
CHAS:Bird:2018.1.86,skull ossification,100%,2018-08-25,Anastasia DeMaio,
CHAS:Bird:2018.1.87,skull ossification,100%,2018-08-28,Brittany Sowacke,
CHAS:Bird:2018.1.88,skull ossification,80%,2018-07-19,Chanel Gallo,
CHAS:Bird:2018.1.89,skull ossification,0%,2018-07-03,Ellie Zahedi,
CHAS:Bird:2018.1.91,skull ossification,80%,2018-06-15,Jensen Wong,
CHAS:Bird:2018.1.92,skull ossification,0%,2018-07-12,Julianna Crisanti,
CHAS:Bird:2018.1.93,skull ossification,10%,2018-02-21,Chanel Gallo,
CHAS:Bird:2018.1.94,skull ossification,0%,2018-07-05,Julianna Crisanti,
CHAS:Bird:2018.1.95,skull ossification,100%,2018-07-27,Chanel Gallo,
CHAS:Bird:2018.1.96,skull ossification,10%,2018-05-31,Erin Dunbar,
CHAS:Bird:1992.3.10,skull ossification,100%,2018-07-06,Chanel Gallo,
CHAS:Bird:2018.1.97,skull ossification,0%,2018-07-13,Chanel Gallo,
CHAS:Bird:2018.1.98,skull ossification,100%,2018-07-26,Chanel Gallo,
CHAS:Bird:2018.1.99,skull ossification,100%,2018-07-12,Chanel Gallo,
CHAS:Bird:2018.1.100,skull ossification,100%,2018-07-26,Julianna Crisanti,
CHAS:Bird:2018.1.101,skull ossification,75%,2018-06-12,Ellie Zahedi,
CHAS:Bird:2018.1.102,skull ossification,100%,2018-07-20,Jensen Wong,
CHAS:Bird:2018.1.103,skull ossification,100%,2018-06-30,Tom Collins,
CHAS:Bird:2018.1.104,skull ossification,0%,2018-06-23,Anna Chinn,
CHAS:Bird:2018.1.105,skull ossification,100%,2018-08-02,Julianna Crisanti,
CHAS:Bird:2018.1.106,skull ossification,100%,2018-06-23,Anastasia DeMaio,
CHAS:Bird:2018.1.107,skull ossification,0%,2018-07-05,Erin Dunbar,
CHAS:Bird:2018.1.108,skull ossification,40%,2018-09-17,Janelle Iaccino,
CHAS:Teach:E2018A.61,skull ossification,0%,2018-08-31,Jensen Wong,
CHAS:Bird:2018.1.109,skull ossification,100%,2018-05-22,Ellie Zahedi,
CHAS:Bird:2018.1.110,skull ossification,10%,2018-06-07,Julianna Crisanti,
CHAS:Bird:2018.1.111,skull ossification,100%,2018-05-31,Chanel Gallo,
CHAS:Bird:2018.1.114,skull ossification,100%,2018-05-25,Chanel Gallo,
CHAS:Bird:1992.3.11,skull ossification,75%,2018-06-07,Chanel Gallo,
CHAS:Bird:2018.1.116,skull ossification,100%,2018-09-04,Brittany Sowacke,
CHAS:Bird:2018.1.119,skull ossification,100%,2018-06-17,Chanel Gallo,
CHAS:Bird:1992.3.12,skull ossification,80%,2018-06-14,Chanel Gallo,
CHAS:Bird:2018.1.121,skull ossification,100%,2018-09-06,Julianna Crisanti,
CHAS:Bird:2018.1.123,skull ossification,80%,2018-04-17,Brittany Sowacke,
CHAS:Bird:2018.1.125,skull ossification,100%,2018-06-01,Chanel Gallo,
CHAS:Bird:2018.1.128,skull ossification,100%,2018-01-09,Brittany Sowacke,
CHAS:Bird:2018.1.129,skull ossification,100%,2018-01-16,Brittany Sowacke,
CHAS:Bird:2018.1.130,skull ossification,100%,2018-01-15,Brittany Sowacke,
CHAS:Bird:2018.1.131,skull ossification,100%,2018-03-13,Brittany Sowacke,
CHAS:Bird:2018.1.132,skull ossification,100%,2018-01-05,Brittany Sowacke,
CHAS:Bird:1992.3.16,skull ossification,100%,2018-02-23,Annamarie Fadorsen,
CHAS:Bird:2018.1.133,skull ossification,20%,2018-01-18,Annamarie Fadorsen,
CHAS:Bird:2018.1.135,skull ossification,10%,2018-02-02,Annamarie Fadorsen,
CHAS:Bird:2018.1.136,skull ossification,5%,2018-02-16,Chanel Gallo,
CHAS:Bird:2018.1.137,skull ossification,100%,2018-03-09,Chanel Gallo,
CHAS:Bird:2018.1.139,skull ossification,100%,2018-03-01,Chanel Gallo,
CHAS:Bird:2018.1.140,skull ossification,2%,2018-03-22,Chanel Gallo,
CHAS:Bird:2018.1.141,skull ossification,30%,2018-01-18,Cassie Baron,
CHAS:Bird:2018.1.143,skull ossification,100%,2018-02-08,Janelle Iaccino,
