ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,DETERMINED_DATE,DETERMINER,GUID,PART_NAME
location,RVWD: 302: Orn Cab 09: I,2019-02-05,Anna Chinn,CHAS:Bird:1992.3.8,"skin, study"
location,RVWD: 302: Orn Cab 08: E,2019-02-05,Anna Chinn,CHAS:Bird:1992.3.9,"skin, study"
location,RVWD: 302: Orn Cab 02: B,2019-02-05,Anna Chinn,CHAS:Bird:1992.3.10,"skin, study"
location,RVWD: 302: Orn Cab 17: E,2019-02-05,Anna Chinn,CHAS:Bird:1992.3.11,"skin, study"
location,RVWD: 302: Orn Cab 04: B,2019-02-05,Anna Chinn,CHAS:Bird:1992.3.13,"skin, study"
location,RVWD: 302: Orn Cab 17: L,2019-02-05,Anna Chinn,CHAS:Bird:1992.3.15,"skin, study"
location,RVWD: 302: Orn Cab 09: E,2019-02-05,Anna Chinn,CHAS:Bird:1992.3.16,"skin, study"
location,RVWD: 302: Orn Cab 22: E,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.58,"skin, study"
location,RVWD: 302: Orn Cab 02: G,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.65,"skin, study"
location,RVWD: 302: Orn Cab 31: F,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.66,"skin, study"
location,RVWD: 302: Orn Cab 02: D,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.87,"skin, study"
location,RVWD: 302: Orn Cab 09: E,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.88,"skin, study"
location,RVWD: 302: Orn Cab 23: E,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.89,"skin, study"
location,RVWD: 302: Orn Cab 22: O,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.90,"skin, study"
location,RVWD: 302: Orn Cab 14: F,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.91,"skin, study"
location,RVWD: 302: Orn Cab 23: J,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.92,"skin, study"
location,RVWD: 302: Orn Cab 23: F,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.93,"skin, study"
location,RVWD: 302: Orn Cab 02: F,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.94,"skin, study"
location,RVWD: 302: Orn Cab 02: I,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.95,"skin, study"
location,RVWD: 302: Orn Cab 22: O,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.96,"skin, study"
location,RVWD: 302: Orn Cab 23: J,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.97,"skin, study"
location,RVWD: 302: Orn Cab 02: M,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.99,"skin, study"
location,RVWD: 302: Orn Cab 20: I,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.101,"skin, study"
location,RVWD: 302: Orn Cab 20: I,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.102,"skin, study"
location,RVWD: 302: Orn Cab 23: J,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.103,"skin, study"
location,RVWD: 302: Orn Cab 02: F,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.104,"skin, study"
location,RVWD: 302: Orn Cab 17: E,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.105,"skin, study"
location,RVWD: 302: Orn Cab 23: F,2019-02-05,Anna Chinn,CHAS:Bird:2018.1.106,"skin, study"
