guid,ATTRIBUTE_VALUE,REMARKS,ATTRIBUTE,ATTRIBUTE_DATE,DETERMINER
CHAS:Bird:1992.3.18,no molt observed,,molt condition,2019-01-10,Kristian Williams
CHAS:Bird:1992.3.19,"moderate to heavy molt throughout; P1-2 and S1-4 growing in on both wings; Tail molt: Left R4,5",,molt condition,2019-01-22,Janelle Iaccino
CHAS:Bird:2019.1.10,no molt observed,,molt condition,2018-09-26,Citlally Fabela
CHAS:Bird:2019.1.11,light body molt,,molt condition,2018-11-01,Erin Dunbar
CHAS:Bird:2019.1.12,no molt observed,,molt condition,2019-02-12,Anastasia DeMaio
CHAS:Bird:2019.1.13,no molt observed,,molt condition,2019-01-22,Brittany Sowacke
CHAS:Bird:2019.1.14,"2 outer tail feathers missing on the right side, no obvious sign of trama there",,molt condition,2019-01-18,Annamarie Fadorsen
CHAS:Bird:2019.1.15,light molt on head and wings; P1 on both wings,,molt condition,2019-10-11,Jensen Wong
CHAS:Bird:2019.1.16,no molt observed,,molt condition,2018-12-06,Julianna Crisanti
CHAS:Bird:2019.1.17,"no molt observed; some wear on flight feathers, remiges",,molt condition,2018-09-27,Anna Chinn
CHAS:Bird:2019.1.18,"light body molt; feather shafts on body feathers visible, black dots on central feather tract",,molt condition,2018-10-18,Julianna Crisanti
CHAS:Bird:2019.1.19,no molt observed,,molt condition,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.20,no molt observed,,molt condition,2018-10-17,Annamarie Fadorsen
CHAS:Bird:2019.1.21,no molt observed,,molt condition,2018-09-27,Julianna Crisanti
CHAS:Bird:2019.1.22,"heavy body, light on wings, moderate on tail",,molt condition,2018-10-01,Janelle Iaccino
CHAS:Bird:2019.1.23,no molt observed,,molt condition,2018-10-19,Annamarie Fadorsen
CHAS:Bird:2019.1.24,light molt on head and wings; P1 on both wings,,molt condition,2019-01-02,Kristian Williams
CHAS:Bird:2019.1.25,no molt observed,,molt condition,2019-01-10,Julianna Crisanti
CHAS:Bird:2019.1.26,no molt observed,,molt condition,2019-01-11,Annamarie Fadorsen
CHAS:Bird:2019.1.27,no molt observed,,molt condition,2018-12-04,Brittany Sowacke
CHAS:Bird:2019.1.28,no molt observed,,molt condition,2018-10-24,Kristian Williams
CHAS:Bird:2019.1.29,no molt observed,,molt condition,2018-12-12,Brittany Sowacke
CHAS:Bird:2019.1.30,no molt observed,,molt condition,2018-10-01,Janelle Iaccino
CHAS:Bird:2019.1.31,no molt observed,,molt condition,2018-10-25,Julianna Crisanti
CHAS:Bird:2019.1.33,no molt observed,,molt condition,2018-11-15,Julianna Crisanti
CHAS:Bird:2019.1.34,no molt observed,,molt condition,2018-11-08,Anastasia DeMaio
CHAS:Bird:2019.1.35,no molt observed,,molt condition,2018-11-29,Janelle Iaccino
CHAS:Bird:2019.1.36,no molt observed,,molt condition,2018-12-14,Jensen Wong
CHAS:Bird:2019.1.37,no molt observed,,molt condition,2018-10-26,Jensen Wong
CHAS:Bird:2019.1.38,light body molt,,molt condition,2018-11-09,Jensen Wong
CHAS:Bird:2019.1.39,heavy body molt,,molt condition,2018-07-19,Julianna Crisanti
CHAS:Bird:2019.1.40,no molt observed,,molt condition,2018-08-09,Chanel Gallo
CHAS:Bird:2019.1.6,moderate wing molt,,molt condition,2019-01-09,Citlally Fabela
CHAS:Bird:2019.1.7,no molt observed,,molt condition,2018-11-21,Kristian Williams
CHAS:Bird:2019.1.8,no molt observed,,molt condition,2018-12-12,Citlally Fabela
CHAS:Bird:2019.1.9,no molt observed,,molt condition,2018-10-18,Citlally Fabela
