guid,ATTRIBUTE,ATTRIBUTE_VALUE,ATTRIBUTE_UNITS,ATTRIBUTE_DATE,ATTRIBUTE_METH,DETERMINER,REMARKS
CHAS:Bird:2019.1.41,weight,24,g,2018-12-15,,Anastasia DeMaio,
CHAS:Bird:2019.1.42,weight,15,g,2019-02-27,,Anastasia DeMaio,
CHAS:Bird:2019.1.43,weight,33,g,2019-02-22,,Annamarie Fadorsen,
CHAS:Bird:2019.1.44,weight,44,g,2019-01-24,,Annalise Nordgren,
CHAS:Bird:2019.1.45,weight,32.5,g,2019-04-24,,Annamarie Fadorsen,
CHAS:Bird:2019.1.46,weight,30.5,g,2019-02-19,,Charmaine John,
CHAS:Bird:2019.1.47,weight,33,g,2019-03-05,,Charmaine John,
CHAS:Bird:2019.1.48,weight,6,g,2019-03-14,,Julianna Crisanti,
CHAS:Bird:2019.1.49,weight,19.7,g,2019-03-22,,Jensen Wong,
CHAS:Bird:2019.1.50,weight,7.5,g,2019-03-28,,Jensen Wong,
CHAS:Bird:2019.1.51,weight,22,g,2019-02-12,,Kristi Overgaard,
CHAS:Bird:2019.1.52,weight,4,g,2019-03-27,,Kristian Williams,
CHAS:Bird:2019.1.53,weight,71.5,g,2019-01-23,,Lindsey Gregori,
CHAS:Bird:2019.1.54,weight,19.5,g,2019-01-24,,Julianna Crisanti,
CHAS:Bird:2019.1.55,weight,103,g,2018-12-27,,Julianna Crisanti,
CHAS:Bird:2019.1.56,weight,9,g,2019-03-07,,Julianna Crisanti,
CHAS:Bird:2019.1.57,weight,13,g,2019-03-14,,Julianna Crisanti,
CHAS:Bird:2019.1.58,weight,86,g,2019-03-28,,Julianna Crisanti,
CHAS:Bird:2019.1.59,weight,5.5,g,2019-03-21,,Julianna Crisanti,
CHAS:Bird:2019.1.60,weight,49,g,2019-04-11,,Julianna Crisanti,
CHAS:Bird:2019.1.61,weight,34.5,g,2019-04-25,,Julianna Crisanti,
CHAS:Bird:2019.1.62,weight,33.5,g,2019-05-09,,Julianna Crisanti,
CHAS:Bird:2019.1.63,weight,73,g,2019-01-29,,Janelle Iaccino,
CHAS:Bird:2019.1.64,weight,4,g,2019-03-19,,Janelle Iaccino,
CHAS:Bird:2019.1.65,weight,6,g,2019-03-26,,Janelle Iaccino,
CHAS:Bird:2019.1.66,weight,27,g,2019-02-12,,Myra Surin,
CHAS:Bird:2019.1.67,weight,69,g,2019-03-12,,Myra Surin,
CHAS:Bird:2019.1.68,weight,9,g,2019-04-16,,Myra Surin,
CHAS:Bird:2019.1.69,weight,150,g,2019-03-14,,Annamarie Fadorsen,
