GUID_PREFIX,ACCN_NUMBER,TRANS_AGENT_1,TRANS_AGENT_ROLE_1
CHAS:Mamm,2259,A. A. Hinkley,received from
CHAS:Mamm,2030,A. B. Wolcott,received from
CHAS:Mamm,4800,A. M. Jackley,received from
CHAS:Mamm,5198,A. O. Meyer,received from
CHAS:Mamm,3971,Alexander Freeman,received from
CHAS:Mamm,3741,Alfred M. Bailey,received from
CHAS:Mamm,3745,Alfred M. Bailey,received from
CHAS:Mamm,3775,Alfred M. Bailey,received from
CHAS:Mamm,3776,Alfred M. Bailey,received from
CHAS:Mamm,3791,Alfred M. Bailey,received from
CHAS:Mamm,3890,Alfred M. Bailey,received from
CHAS:Mamm,3891,Alfred M. Bailey,received from
CHAS:Mamm,3910,Alfred M. Bailey,received from
CHAS:Mamm,3911,Alfred M. Bailey,received from
CHAS:Mamm,4163,Alfred M. Bailey,received from
CHAS:Mamm,4721,Anton H. Berkman,received from
CHAS:Mamm,3787,Arthur Nagozruk,received from
CHAS:Mamm,3523,Arthur T. Wayne,received from
CHAS:Mamm,3288,B. R. Vipan,received from
CHAS:Mamm,3330,Berthold Neubarth,received from
CHAS:Mamm,3331,Berthold Neubarth,received from
CHAS:Mamm,3336,Berthold Neubarth,received from
CHAS:Mamm,4893,Bob Housholder,received from
CHAS:Mamm,4961,Bob Housholder,received from
CHAS:Mamm,4989,Bob Housholder,received from
CHAS:Mamm,2962,C. A. Clark,received from
CHAS:Mamm,4771,C. B. Perkins,received from
CHAS:Mamm,1033,C. F. Hathaway,received from
CHAS:Mamm,4067,C. G. Cantwell,received from
CHAS:Mamm,3035,C. H. Richardson,received from
CHAS:Mamm,2233,C. Juday,received from
CHAS:Mamm,3862,Charles D Brower,received from
CHAS:Mamm,3038,Charles W. Selden,received from
CHAS:Mamm,3039,Charles W. Selden,received from
CHAS:Mamm,4816,D. B. Carver,received from
CHAS:Mamm,4591,D. M. Hatfield,received from
CHAS:Mamm,4592,D. M. Hatfield,received from
CHAS:Mamm,3815,Don A. Spencer,received from
CHAS:Mamm,3816,Don A. Spencer,received from
CHAS:Mamm,3818,Don A. Spencer,received from
CHAS:Mamm,3819,Don A. Spencer,received from
CHAS:Mamm,4020,Dwight Tevuk,received from
CHAS:Mamm,4021,Dwight Tevuk,received from
CHAS:Mamm,4032,Dwight Tevuk,received from
CHAS:Mamm,1959.2,Dwight W. Cusack,received from
CHAS:Mamm,5036,E. C. Williams,received from
CHAS:Mamm,5038,E. C. Williams,received from
CHAS:Mamm,5049,E. C. Williams,received from
CHAS:Mamm,5050,E. C. Williams,received from
CHAS:Mamm,5096,E. C. Williams,received from
CHAS:Mamm,5109,E. C. Williams,received from
CHAS:Mamm,3323,E. Chamberlain,received from
CHAS:Mamm,4052,E. W. Durfee,received from
CHAS:Mamm,3714,Earl G. Wright,received from
CHAS:Mamm,3747,Earl G. Wright,received from
CHAS:Mamm,3759,Earl G. Wright,received from
CHAS:Mamm,3760,Earl G. Wright,received from
CHAS:Mamm,3774,Earl G. Wright,received from
CHAS:Mamm,3779,Earl G. Wright,received from
CHAS:Mamm,3782,Earl G. Wright,received from
CHAS:Mamm,3799,Earl G. Wright,received from
CHAS:Mamm,3800,Earl G. Wright,received from
CHAS:Mamm,3801,Earl G. Wright,received from
CHAS:Mamm,3802,Earl G. Wright,received from
CHAS:Mamm,4253,Earl G. Wright,received from
CHAS:Mamm,4344,Earl G. Wright,received from
CHAS:Mamm,4357a,Earl G. Wright,received from
CHAS:Mamm,4590,Earl G. Wright,received from
CHAS:Mamm,4079,Edward R. Ford,received from
CHAS:Mamm,4080,Edward R. Ford,received from
CHAS:Mamm,3761,Edwin V. Komarek,received from
CHAS:Mamm,3766,Edwin V. Komarek,received from
CHAS:Mamm,3768,Edwin V. Komarek,received from
CHAS:Mamm,3772,Edwin V. Komarek,received from
CHAS:Mamm,3773,Edwin V. Komarek,received from
CHAS:Mamm,3795,Edwin V. Komarek,received from
CHAS:Mamm,3796,Edwin V. Komarek,received from
CHAS:Mamm,3798,Edwin V. Komarek,received from
CHAS:Mamm,3803,Edwin V. Komarek,received from
CHAS:Mamm,3804,Edwin V. Komarek,received from
CHAS:Mamm,3809,Edwin V. Komarek,received from
CHAS:Mamm,3810,Edwin V. Komarek,received from
CHAS:Mamm,3811,Edwin V. Komarek,received from
CHAS:Mamm,3812,Edwin V. Komarek,received from
CHAS:Mamm,3813,Edwin V. Komarek,received from
CHAS:Mamm,3814,Edwin V. Komarek,received from
CHAS:Mamm,4365,Elmer Davenport,received from
CHAS:Mamm,2943,Emil W. Youngren,received from
CHAS:Mamm,2947,Emil W. Youngren,received from
CHAS:Mamm,2961,Emil W. Youngren,received from
CHAS:Mamm,2972,Emil W. Youngren,received from
CHAS:Mamm,2976,Emil W. Youngren,received from
CHAS:Mamm,2980,Emil W. Youngren,received from
CHAS:Mamm,2991,Emil W. Youngren,received from
CHAS:Mamm,3009,Emil W. Youngren,received from
CHAS:Mamm,3139,Emil W. Youngren,received from
CHAS:Mamm,3146,Emil W. Youngren,received from
CHAS:Mamm,3147,Emil W. Youngren,received from
CHAS:Mamm,3154,Emil W. Youngren,received from
CHAS:Mamm,3167,Emil W. Youngren,received from
CHAS:Mamm,3193,Emil W. Youngren,received from
CHAS:Mamm,3202,Emil W. Youngren,received from
CHAS:Mamm,3281,Emil W. Youngren,received from
CHAS:Mamm,2521,F. M. Woodruff,received from
CHAS:Mamm,1845,Frank Collins Baker,received from
CHAS:Mamm,1846,Frank Collins Baker,received from
CHAS:Mamm,1847,Frank Collins Baker,received from
CHAS:Mamm,1848,Frank Collins Baker,received from
CHAS:Mamm,1849,Frank Collins Baker,received from
CHAS:Mamm,1850,Frank Collins Baker,received from
CHAS:Mamm,1851,Frank Collins Baker,received from
CHAS:Mamm,1852,Frank Collins Baker,received from
CHAS:Mamm,2000,Frank Collins Baker,received from
CHAS:Mamm,2031,Frank Collins Baker,received from
CHAS:Mamm,2032,Frank Collins Baker,received from
CHAS:Mamm,2033,Frank Collins Baker,received from
CHAS:Mamm,2034,Frank Collins Baker,received from
CHAS:Mamm,2035,Frank Collins Baker,received from
CHAS:Mamm,2037,Frank Collins Baker,received from
CHAS:Mamm,2038,Frank Collins Baker,received from
CHAS:Mamm,2039,Frank Collins Baker,received from
CHAS:Mamm,2040,Frank Collins Baker,received from
CHAS:Mamm,2041,Frank Collins Baker,received from
CHAS:Mamm,2042,Frank Collins Baker,received from
CHAS:Mamm,2043,Frank Collins Baker,received from
CHAS:Mamm,2044,Frank Collins Baker,received from
CHAS:Mamm,2045,Frank Collins Baker,received from
CHAS:Mamm,2046,Frank Collins Baker,received from
CHAS:Mamm,2047,Frank Collins Baker,received from
CHAS:Mamm,2048,Frank Collins Baker,received from
CHAS:Mamm,2049,Frank Collins Baker,received from
CHAS:Mamm,2050,Frank Collins Baker,received from
CHAS:Mamm,2051,Frank Collins Baker,received from
CHAS:Mamm,2052,Frank Collins Baker,received from
CHAS:Mamm,2053,Frank Collins Baker,received from
CHAS:Mamm,2054,Frank Collins Baker,received from
CHAS:Mamm,2055,Frank Collins Baker,received from
CHAS:Mamm,2056,Frank Collins Baker,received from
CHAS:Mamm,2122,Frank Collins Baker,received from
CHAS:Mamm,2123,Frank Collins Baker,received from
CHAS:Mamm,2144,Frank Collins Baker,received from
CHAS:Mamm,2145,Frank Collins Baker,received from
CHAS:Mamm,2146,Frank Collins Baker,received from
CHAS:Mamm,2147,Frank Collins Baker,received from
CHAS:Mamm,2148,Frank Collins Baker,received from
CHAS:Mamm,2320,Frank Collins Baker,received from
CHAS:Mamm,2321,Frank Collins Baker,received from
CHAS:Mamm,2322,Frank Collins Baker,received from
CHAS:Mamm,2323,Frank Collins Baker,received from
CHAS:Mamm,2330,Frank Collins Baker,received from
CHAS:Mamm,2331,Frank Collins Baker,received from
CHAS:Mamm,2332,Frank Collins Baker,received from
CHAS:Mamm,2333,Frank Collins Baker,received from
CHAS:Mamm,2334,Frank Collins Baker,received from
CHAS:Mamm,2335,Frank Collins Baker,received from
CHAS:Mamm,2336,Frank Collins Baker,received from
CHAS:Mamm,2337,Frank Collins Baker,received from
CHAS:Mamm,2338,Frank Collins Baker,received from
CHAS:Mamm,2339,Frank Collins Baker,received from
CHAS:Mamm,2340,Frank Collins Baker,received from
CHAS:Mamm,2341,Frank Collins Baker,received from
CHAS:Mamm,2342,Frank Collins Baker,received from
CHAS:Mamm,2343,Frank Collins Baker,received from
CHAS:Mamm,2344,Frank Collins Baker,received from
CHAS:Mamm,2345,Frank Collins Baker,received from
CHAS:Mamm,2346,Frank Collins Baker,received from
CHAS:Mamm,2347,Frank Collins Baker,received from
CHAS:Mamm,2348,Frank Collins Baker,received from
CHAS:Mamm,2349,Frank Collins Baker,received from
CHAS:Mamm,2350,Frank Collins Baker,received from
CHAS:Mamm,2351,Frank Collins Baker,received from
CHAS:Mamm,2352,Frank Collins Baker,received from
CHAS:Mamm,2356,Frank Collins Baker,received from
CHAS:Mamm,2357,Frank Collins Baker,received from
CHAS:Mamm,2358,Frank Collins Baker,received from
CHAS:Mamm,2359,Frank Collins Baker,received from
CHAS:Mamm,2362,Frank Collins Baker,received from
CHAS:Mamm,2363,Frank Collins Baker,received from
CHAS:Mamm,2364,Frank Collins Baker,received from
CHAS:Mamm,2370,Frank Collins Baker,received from
CHAS:Mamm,2383,Frank Collins Baker,received from
CHAS:Mamm,2540,Frank Collins Baker,received from
CHAS:Mamm,2541,Frank Collins Baker,received from
CHAS:Mamm,2542,Frank Collins Baker,received from
CHAS:Mamm,2543,Frank Collins Baker,received from
CHAS:Mamm,2544,Frank Collins Baker,received from
CHAS:Mamm,2545,Frank Collins Baker,received from
CHAS:Mamm,2546,Frank Collins Baker,received from
CHAS:Mamm,2547,Frank Collins Baker,received from
CHAS:Mamm,2548,Frank Collins Baker,received from
CHAS:Mamm,2549,Frank Collins Baker,received from
CHAS:Mamm,2550,Frank Collins Baker,received from
CHAS:Mamm,2551,Frank Collins Baker,received from
CHAS:Mamm,2552,Frank Collins Baker,received from
CHAS:Mamm,2553,Frank Collins Baker,received from
CHAS:Mamm,2569,Frank Collins Baker,received from
CHAS:Mamm,2574,Frank Collins Baker,received from
CHAS:Mamm,2575,Frank Collins Baker,received from
CHAS:Mamm,2576,Frank Collins Baker,received from
CHAS:Mamm,2580,Frank Collins Baker,received from
CHAS:Mamm,2581,Frank Collins Baker,received from
CHAS:Mamm,2620,Frank Collins Baker,received from
CHAS:Mamm,2675,Frank Collins Baker,received from
CHAS:Mamm,2769,Frank Collins Baker,received from
CHAS:Mamm,2771,Frank Collins Baker,received from
CHAS:Mamm,2772,Frank Collins Baker,received from
CHAS:Mamm,2773,Frank Collins Baker,received from
CHAS:Mamm,2780,Frank Collins Baker,received from
CHAS:Mamm,2792,Frank Collins Baker,received from
CHAS:Mamm,2793,Frank Collins Baker,received from
CHAS:Mamm,2794,Frank Collins Baker,received from
CHAS:Mamm,2795,Frank Collins Baker,received from
CHAS:Mamm,2796,Frank Collins Baker,received from
CHAS:Mamm,2797,Frank Collins Baker,received from
CHAS:Mamm,2798,Frank Collins Baker,received from
CHAS:Mamm,2806,Frank Collins Baker,received from
CHAS:Mamm,2807,Frank Collins Baker,received from
CHAS:Mamm,2808,Frank Collins Baker,received from
CHAS:Mamm,2835,Frank Collins Baker,received from
CHAS:Mamm,2838,Frank Collins Baker,received from
CHAS:Mamm,2839,Frank Collins Baker,received from
CHAS:Mamm,2852,Frank Collins Baker,received from
CHAS:Mamm,2875,Frank Collins Baker,received from
CHAS:Mamm,2876,Frank Collins Baker,received from
CHAS:Mamm,2879,Frank Collins Baker,received from
CHAS:Mamm,2880,Frank Collins Baker,received from
CHAS:Mamm,2950,Frank Collins Baker,received from
CHAS:Mamm,2951,Frank Collins Baker,received from
CHAS:Mamm,2952,Frank Collins Baker,received from
CHAS:Mamm,2953,Frank Collins Baker,received from
CHAS:Mamm,2954,Frank Collins Baker,received from
CHAS:Mamm,2955,Frank Collins Baker,received from
CHAS:Mamm,2956,Frank Collins Baker,received from
CHAS:Mamm,2957,Frank Collins Baker,received from
CHAS:Mamm,2958,Frank Collins Baker,received from
CHAS:Mamm,2959,Frank Collins Baker,received from
CHAS:Mamm,2960,Frank Collins Baker,received from
CHAS:Mamm,3107,Frank Collins Baker,received from
CHAS:Mamm,3188,Frank Collins Baker,received from
CHAS:Mamm,3197,Frank Collins Baker,received from
CHAS:Mamm,3198,Frank Collins Baker,received from
CHAS:Mamm,3199,Frank Collins Baker,received from
CHAS:Mamm,3200,Frank Collins Baker,received from
CHAS:Mamm,3201,Frank Collins Baker,received from
CHAS:Mamm,3205,Frank Collins Baker,received from
CHAS:Mamm,3246,Frank Collins Baker,received from
CHAS:Mamm,3247,Frank Collins Baker,received from
CHAS:Mamm,3248,Frank Collins Baker,received from
CHAS:Mamm,3249,Frank Collins Baker,received from
CHAS:Mamm,481,Frank Morley Woodruff,received from
CHAS:Mamm,482,Frank Morley Woodruff,received from
CHAS:Mamm,1108,Frank Morley Woodruff,received from
CHAS:Mamm,1109,Frank Morley Woodruff,received from
CHAS:Mamm,1541,Frank Morley Woodruff,received from
CHAS:Mamm,1542,Frank Morley Woodruff,received from
CHAS:Mamm,1543,Frank Morley Woodruff,received from
CHAS:Mamm,1544,Frank Morley Woodruff,received from
CHAS:Mamm,1545,Frank Morley Woodruff,received from
CHAS:Mamm,1546,Frank Morley Woodruff,received from
CHAS:Mamm,1547,Frank Morley Woodruff,received from
CHAS:Mamm,1550,Frank Morley Woodruff,received from
CHAS:Mamm,1551,Frank Morley Woodruff,received from
CHAS:Mamm,1552,Frank Morley Woodruff,received from
CHAS:Mamm,2107,Frank Morley Woodruff,received from
CHAS:Mamm,2121,Frank Morley Woodruff,received from
CHAS:Mamm,2124,Frank Morley Woodruff,received from
CHAS:Mamm,2149,Frank Morley Woodruff,received from
CHAS:Mamm,2286,Frank Morley Woodruff,received from
CHAS:Mamm,2307,Frank Morley Woodruff,received from
CHAS:Mamm,2308,Frank Morley Woodruff,received from
CHAS:Mamm,2309,Frank Morley Woodruff,received from
CHAS:Mamm,2310,Frank Morley Woodruff,received from
CHAS:Mamm,2311,Frank Morley Woodruff,received from
CHAS:Mamm,2312,Frank Morley Woodruff,received from
CHAS:Mamm,2313,Frank Morley Woodruff,received from
CHAS:Mamm,2314,Frank Morley Woodruff,received from
CHAS:Mamm,2315,Frank Morley Woodruff,received from
CHAS:Mamm,2316,Frank Morley Woodruff,received from
CHAS:Mamm,2317,Frank Morley Woodruff,received from
CHAS:Mamm,2318,Frank Morley Woodruff,received from
CHAS:Mamm,2319,Frank Morley Woodruff,received from
CHAS:Mamm,2426,Frank Morley Woodruff,received from
CHAS:Mamm,2497,Frank Morley Woodruff,received from
CHAS:Mamm,2501,Frank Morley Woodruff,received from
CHAS:Mamm,2526,Frank Morley Woodruff,received from
CHAS:Mamm,2528,Frank Morley Woodruff,received from
CHAS:Mamm,2529,Frank Morley Woodruff,received from
CHAS:Mamm,2530,Frank Morley Woodruff,received from
CHAS:Mamm,2532,Frank Morley Woodruff,received from
CHAS:Mamm,2533,Frank Morley Woodruff,received from
CHAS:Mamm,2537,Frank Morley Woodruff,received from
CHAS:Mamm,2538,Frank Morley Woodruff,received from
CHAS:Mamm,2561,Frank Morley Woodruff,received from
CHAS:Mamm,2562,Frank Morley Woodruff,received from
CHAS:Mamm,2563,Frank Morley Woodruff,received from
CHAS:Mamm,2566,Frank Morley Woodruff,received from
CHAS:Mamm,2570,Frank Morley Woodruff,received from
CHAS:Mamm,2573,Frank Morley Woodruff,received from
CHAS:Mamm,2583,Frank Morley Woodruff,received from
CHAS:Mamm,2584,Frank Morley Woodruff,received from
CHAS:Mamm,2600,Frank Morley Woodruff,received from
CHAS:Mamm,2602,Frank Morley Woodruff,received from
CHAS:Mamm,2605,Frank Morley Woodruff,received from
CHAS:Mamm,2607,Frank Morley Woodruff,received from
CHAS:Mamm,2608,Frank Morley Woodruff,received from
CHAS:Mamm,2609,Frank Morley Woodruff,received from
CHAS:Mamm,2621,Frank Morley Woodruff,received from
CHAS:Mamm,2641,Frank Morley Woodruff,received from
CHAS:Mamm,2653,Frank Morley Woodruff,received from
CHAS:Mamm,2685,Frank Morley Woodruff,received from
CHAS:Mamm,2686,Frank Morley Woodruff,received from
CHAS:Mamm,2687,Frank Morley Woodruff,received from
CHAS:Mamm,2727,Frank Morley Woodruff,received from
CHAS:Mamm,2739,Frank Morley Woodruff,received from
CHAS:Mamm,2744,Frank Morley Woodruff,received from
CHAS:Mamm,2759,Frank Morley Woodruff,received from
CHAS:Mamm,2770,Frank Morley Woodruff,received from
CHAS:Mamm,2774,Frank Morley Woodruff,received from
CHAS:Mamm,2782,Frank Morley Woodruff,received from
CHAS:Mamm,2783,Frank Morley Woodruff,received from
CHAS:Mamm,2799,Frank Morley Woodruff,received from
CHAS:Mamm,2800,Frank Morley Woodruff,received from
CHAS:Mamm,2811,Frank Morley Woodruff,received from
CHAS:Mamm,2812,Frank Morley Woodruff,received from
CHAS:Mamm,2813,Frank Morley Woodruff,received from
CHAS:Mamm,2814,Frank Morley Woodruff,received from
