HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,DEC_LAT,DEC_LONG,DATUM,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,GEOREFERENCE_PROTOCOL,GEOREFERENCE_SOURCE,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,TAXON_NAME,GUID,VERBATIM_DATE,BEGAN_DATE,END_DATE,SPECIMEN_EVENT_TYPE,VERIFICATIONSTATUS
"Africa, Kenya, Kilifi County",Kilifi,"Kilifi, Kenya",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Centropus superciliosus,CHAS:Bird:19246,04/10/1960,1960-04-10,1960-04-10,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 100 ft","Kilifi, alt 100f",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Campephaga flava,CHAS:Bird:19211,08/04/1965,1965-08-04,1965-08-04,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 100 ft",alt 100',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Cossypha natalensis,CHAS:Bird:19233,08/03/1965,1965-08-03,1965-08-03,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Lagonosticta rubricata,CHAS:Bird:19176,08/03/1965,1965-08-03,1965-08-03,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, Kenya, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Ploceus nigricollis melanoxanthus,CHAS:Bird:19204,08/07/1965,1965-08-07,1965-08-07,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, Kenya, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Ploceus nigricollis melanoxanthus,CHAS:Bird:19205,08/07/1965,1965-08-07,1965-08-07,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, Kenya, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Ploceus ocularis,CHAS:Bird:19206,08/06/1965,1965-08-06,1965-08-06,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Serinus mozambicus,CHAS:Bird:19207,08/03/1965,1965-08-03,1965-08-03,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Serinus mozambicus,CHAS:Bird:19208,08/03/1965,1965-08-03,1965-08-03,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Tmetothylacus tenellus,CHAS:Bird:19225,08/03/1965,1965-08-03,1965-08-03,accepted place of collection,unverified
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,GeoLocate,Adam Glueckert,2016-10-19,Colius striatus,CHAS:Bird:19242,08/03/1965,1965-08-03,1965-08-03,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, Rift Valley, Alt. 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Egretta garzetta garzetta,CHAS:Bird:19251,04/18/1965,1965-04-18,1965-04-18,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, Rift Valley, alt. 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Polyboroides typus,CHAS:Bird:19267,04/18/1965,1965-04-18,1965-04-18,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Cisticola galactotes,CHAS:Bird:19186,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Riparia paludicola,CHAS:Bird:19187,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Estrilda astrild,CHAS:Bird:19192,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Estrilda astrild,CHAS:Bird:19193,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, Kenya, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Ploceus velatus,CHAS:Bird:19197,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Cisticola galactotes,CHAS:Bird:19198,[10/23/1970],1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Motacilla aguimp,CHAS:Bird:19215,1970,1970-01-01,1971-12-31,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Acrocephalus rufescens,CHAS:Bird:19222,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Acrocephalus rufescens,CHAS:Bird:19223,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, Kenya, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Ploceus spekei,CHAS:Bird:19224,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Amaurornis flavirostra,CHAS:Bird:19255,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Fulica cristata,CHAS:Bird:19260,11/12/1964,1964-11-12,1964-11-12,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6000'","Lake Naivasha, alt 6000'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Fulica cristata,CHAS:Bird:19261,12/18/1964,1964-12-18,1964-12-18,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6500'","Lake Naivasha, alt 6500'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Alcedo cristata,CHAS:Bird:19179,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6500'","Lake Naivasha, alt 6500'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Alcedo cristata,CHAS:Bird:19180,10/22/1970,1970-10-22,1970-10-22,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6500'","Lake Naivasha, Kenya, alt 6500'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Eminia lepida,CHAS:Bird:19196,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6500'","Lake Naivasha, alt 6500'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Pycnonotus barbatus tricolor,CHAS:Bird:19221,10/23/1970,1970-10-23,1970-10-23,accepted place of collection,unverified
"Africa, Kenya, Nakuru District","Lake Naivasha, alt 6500'","Lake Naivasha, alt 6500'",-0.767317,36.359749,World Geodetic System 1984,11173,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-21,Dicrurus adsimilis,CHAS:Bird:19240,10/22/1970,1970-10-22,1970-10-22,accepted place of collection,unverified
"Africa, Kenya, Samburu County",Wamba,"Wamba, NFD, Kenya",0.982646,37.316667,World Geodetic System 1984,4692,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-30,Tockus flavirostris,CHAS:Bird:19236,10/17/1970,1970-10-17,1970-10-17,accepted place of collection,unverified
"Africa, Kenya, Samburu County",Wamba,"Wamba, NFD [Northern Frontier District]",0.982646,37.316667,World Geodetic System 1984,4692,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-30,Pseudonigrita cabanisi,CHAS:Bird:19181,10/15/1970,1970-10-15,1970-10-15,accepted place of collection,unverified
"Africa, Kenya, Samburu County",Wamba,"Wamba, NFD [Northern Frontier District]",0.982646,37.316667,World Geodetic System 1984,4692,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-30,Trachyphonus darnaudii,CHAS:Bird:19182,10/15/1970,1970-10-15,1970-10-15,accepted place of collection,unverified
"Africa, Kenya, Samburu County",Wamba,"Wamba, NFD [Northern Frontier District], Kenya, NFP",0.982646,37.316667,World Geodetic System 1984,4692,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-30,Urorhipis rufifrons,CHAS:Bird:19183,10/15/1970,1970-10-15,1970-10-15,accepted place of collection,unverified
"Africa, Kenya, Samburu County",Wamba,"Wamba, NFD [Northern Frontier District]",0.982646,37.316667,World Geodetic System 1984,4692,m,GeoLocate,GeoLocate,Adam Glueckert,2016-09-30,Batis perkeo,CHAS:Bird:19190,10/15/1970,1970-10-15,1970-10-15,accepted place of collection,unverified
