"ACCN_NUMBER","CRMK"
"1","Information from accession book. Verbatim received from agent: Mrs. E.E. Atwater. Dawn Roberts 2019-11-05: It is not possible that these items were donated directly from Elizabeth Atwater at this date as she died in April 1878. It is possible that the accession date is incorrect or that the materials were donated in her name. Origin of material: Many localities."
"2","Information from accession book. Verbatim received from agent: Mrs. E.E. Atwater. Origin of material: Many localities."
"4","Information from accession book. Verbatim received from agent: Mrs. E.E. Atwater. Origin of material: Many localities."
"11","Information from accession book. Verbatim agency associated with: ""Philadelphia Academy of Sciences"", Philadelphia, Penn. Origin of material: Foreign and Domestic."
"20","Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences. Origin of material: Florida, Cuba."
"21","Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences. Origin of material: Florida, Cuba."
"22","Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences. Origin of material: Florida."
"23","Information from accession book. List with one specimen cited in Accession file. Could not be matched up to specimens in geology spreadsheet.  Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences. Origin of material: Florida."
"24","Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences. Origin of material: Florida."
"35","Information from accession book. Identified by P.P. Carpenter, [from shells in the Cumingian Collection]. Correspondence in Accession File and copies in Gifts-1879 [A. King]. Verbatim agency associated with: Boston Society of Natural History, via. Alphus Hyatt - Custodian. Origin of material: American and exotic."
"41","Information from accession book.. Verbatim agency associated with: American Museum of Natural History. Origin of material: United States."
"42","Information from accession book. Verbatim received from agent: T.H. Douglass. Origin of material: Illinois."
"43","Information from accession book. Verbatim received from agent: U.S. Fish Commission. Verbatim agency associated with: U.S. Fish Commission. Collected/created by U.S. Fish Commission. Origin of material: Massachusetts."
"45","Information from accession book. Some of specimens received with this accession in correspondence. Correspondence in Accession File and copy in Gifts-1893. Note from inventory of Malacology collection where this list was found states specimens that match this list are in Malacology Cabinet 31, drawers 3 and 6. Verbatim received from agent: J.W. Velie. Origin of material: Florida."
"46","Information from accession book. Verbatim received from agent: J.W. Velie. Origin of material: Florida."
"47","Information from accession book. Verbatim received from agent: J.W. Velie. Origin of material: Florida."
"48","Information from accession book. Verbatim received from agent: J.W. Velie. Origin of material: Florida."
"49","Information from accession book. Verbatim received from agent: J.W. Velie. Origin of material: Florida."
"50","Information from accession book. Verbatim received from agent: J.W. Velie. Origin of material: Florida."
"51","Information from accession book. Verbatim received from agent: J.W. Velie. Origin of material: Illinois."
"52","Information from accession book. Verbatim received from agent: J.W. Velie. Collected/created by J.W. Velie. Origin of material: Florida."
"53","Information from accession book, accession card. Verbatim received from agent: J.W. Velie. Collected/created by J.W. Velie. Origin of material: United States."
"54","Origin of material: Florida. Associated with CHAS catalog numbers Oology: 278, 283-285, 289, 292, 301, 305, 309-313, 318, 322, 396, 1348-1355. Should have field notes according to oology dataset. Information from accession book. Verbatim received from agent: J.W. Velie. Collected/created by J.W. Velie."
"55","Origin of material: Illinois. Associated with CHAS catalog numbers Oology: 315-316, 325. Should have field notes according to oology dataset. Information from accession book. Verbatim received from agent: J.W. Velie. Collected/created by J.W. Velie."
"59","Information from accession book. Verbatim received from agent: Charles Kingsley. Origin of material: New England."
"60","Information from accession book. Verbatim received from agent: W.W. Calkins William W. Origin of material: United States."
"61","Information from accession book. Verbatim received from agent: W.W. Calkins William W. Origin of material: Florida."
"63","Information from accession book, accession card. Verbatim received from agent: W.W. Calkins William W. Origin of material: United States."
"68","Information from accession book. Verbatim received from agent: E.W. Nelson. Collected/created by E.W. Nelson. Origin of material: United States."
"69","Information from accession book, accession card. Verbatim received from agent: E.W. Nelson. Collected/created by E.W. Nelson. Origin of material: United States."
