CAT_NUM,DEL_EVENT
1000,3399216
10000,3235388
10001,3236400
10002,3234419
10003,3241098
10006,3241291
10007,3240420
1001,3236442
10015,3240856
10016,3240770
1002,3238731
10023,3240952
10024,3240674
1003,3236336
1008,3235630
1009,3239034
1012,3231279
1015,3234984
1016,3232664
1021,3233334
1022,3233333
1024,3394146
1026,3395173
1027,3395172
1029,3234087
103,3394043
1030,3233890
1031,3233778
1032,3233779
1033,3233803
1034,3394045
1035,3236003
1036,3236023
1037,3395022
1038,3395847
1039,3229013
104,3233177
1040,3240617
1041,3235504
1042,3238708
1044,3237044
1045,3238751
1046,3241504
1047,3235696
1048,3236036
1049,3236031
1050,3236357
1051,3236378
1052,3395839
1053,3394939
1054,3236188
1055,3395834
1057,3392071
1058,3235846
1059,3395832
1060,3395833
1061,3232788
1062,3238877
1065,3233412
1066,3236335
1067,3237266
1068,3235724
1069,3392583
107,3235257
1070,3235923
1071,3237045
1072,3241006
1073,3239520
1074,3241588
1075,3237552
1076,3399293
1077,3240079
1078,3236187
1079,3233182
108,3236566
1080,3233096
1081,3230601
1082,3395159
1084,3235924
1085,3236278
1086,3235727
1087,3399294
1088,3399295
1089,3234075
109,3239049
1090,3233675
1091,3241236
1092,3394914
1093,3394915
1094,3394916
1095,3394991
1096,3395240
1097,3395023
1098,3236757
1099,3235769
110,3239076
1100,3236758
1101,3235740
1102,3236030
1103,3235713
1104,3234737
1105,3395809
1106,3232756
1107,3236379
1108,3394047
1109,3237063
111,3238126
1110,3232760
1111,3237073
1113,3233532
1114,3234685
1115,3236759
1116,3395840
1117,3393132
1118,3233343
1119,3394993
112,3237558
1120,3392072
1121,3393845
1122,3395024
1123,3394992
1124,3394906
1126,3395830
1127,3395831
1128,3234055
1129,3236588
113,3237475
1130,3241131
1133,3395931
1134,3395841
1135,3234070
1136,3232660
1137,3233309
1138,3233383
1139,3396138
114,3237042
1140,3396137
1141,3395838
1142,3232855
1143,3237070
1144,3238427
1145,3237064
1146,3234088
1147,3232856
1148,3391995
1150,3395929
1151,3234173
1152,3236181
1153,3236102
1154,3238752
1156,3394989
1158,3395759
1159,3395757
1160,3235717
1161,3232779
1162,3395808
1164,3233762
1165,3233763
1166,3237072
1167,3234172
1168,3233057
1169,3236662
1173,3231886
1174,3236995
1175,3236996
1176,3236847
1177,3236846
1178,3238422
1179,3397528
118,3233536
1180,3232927
1182,3237431
1183,3236489
1186,3394903
1187,3240543
1188,3236990
1189,3235900
1190,3235652
1191,3395835
1192,3397162
1193,3397161
1195,3399212
1196,3395466
1198,3233007
1199,3233008
12,3231218
1200,3238128
1202,3233033
1203,3232938
1205,3233721
1206,3237046
1207,3237066
1208,3233275
1209,3394904
1210,3394907
1211,3395174
1212,3236992
1213,3237022
1214,3237038
1215,3397214
1216,3395756
1217,3395755
1219,3235917
1220,3233458
1221,3236305
1222,3238793
1223,3232787
1224,3232786
1225,3233270
1226,3233347
1227,3235774
1228,3397215
1229,3233013
1230,3230487
1231,3238144
1232,3239725
1234,3240332
1235,3236976
1238,3393980
1240,3395810
1241,3395811
1243,3394908
1245,3240445
1246,3236975
1248,3237039
1249,3395171
125,3238335
1250,3394935
1251,3232933
1252,3395932
1253,3236192
1254,3232654
1255,3234054
1257,3239443
1259,3231899
126,3232826
1260,3234139
1261,3233079
1262,3236789
1263,3236599
1264,3237209
1265,3235908
1266,3235971
1268,3241005
1269,3238270
127,3237043
1270,3235981
1271,3235699
1272,3235700
1273,3235982
1274,3235978
1275,3235977
1276,3394046
1277,3230185
1278,3229365
1279,3392058
128,3232877
1282,3393844
1283,3237444
1285,3395467
1286,3395842
1287,3235790
129,3237068
1290,3230602
1291,3230378
