HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,DEC_LAT,DEC_LONG,DATUM,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,GEOREFERENCE_PROTOCOL,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,TAXON_NAME,GUID,BEGAN_DATE,END_DATE
"Africa, Kenya, Kilifi County",Kilifi,"Kilifi, Kenya",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Centropus superciliosus,CHAS:Bird:19246,1960-04-10T06:00:00Z,1960-04-10T06:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 100 ft","Kilifi, alt 100f",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Campephaga flava,CHAS:Bird:19211,1965-08-04T05:00:00Z,1965-08-04T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 100 ft",alt 100',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Cossypha natalensis,CHAS:Bird:19233,1965-08-03T05:00:00Z,1965-08-03T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Lagonosticta rubricata,CHAS:Bird:19176,1965-08-03T05:00:00Z,1965-08-03T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, Kenya, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Ploceus nigricollis melanoxanthus,CHAS:Bird:19204,1965-08-07T05:00:00Z,1965-08-07T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, Kenya, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Ploceus nigricollis melanoxanthus,CHAS:Bird:19205,1965-08-07T05:00:00Z,1965-08-07T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, Kenya, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Ploceus ocularis,CHAS:Bird:19206,1965-08-06T05:00:00Z,1965-08-06T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Serinus mozambicus,CHAS:Bird:19207,1965-08-03T05:00:00Z,1965-08-03T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Serinus mozambicus,CHAS:Bird:19208,1965-08-03T05:00:00Z,1965-08-03T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft",alt 50',-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Tmetothylacus tenellus,CHAS:Bird:19225,1965-08-03T05:00:00Z,1965-08-03T05:00:00Z
"Africa, Kenya, Kilifi County","Kilifi, alt 50 ft","Kilifi, alt 50'",-3.630453,39.849915,World Geodetic System 1984,17930,m,GeoLocate,Adam Glueckert,2016-10-19T05:00:00Z,Colius striatus,CHAS:Bird:19242,1965-08-03T05:00:00Z,1965-08-03T05:00:00Z
