guid_prefix,other_id_type,other_id_number,part_name,condition,disposition,lot_count,remarks,use_existing,PART_ATTRIBUTE_TYPE_1,PART_ATTRIBUTE_VALUE_1
CHAS:Ento,catalog number,2003.3.1,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.10,whole organism (pinned),Good. Missing right forewing.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.100,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.101,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.102,whole organism (pinned),Good. Left wings previously repaired.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.103,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.104,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.105,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.106,egg,Good. Stuck on a card with adhesive.,in collection,7,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.107,whole organism (dry),Good.,in collection,2,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.108,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.109,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.11,whole organism (pinned),Poor. Missing abdomen and part of right forewing.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.110,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.111,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.112,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.113,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.114,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.115,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.116,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.12,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.120,whole organism (dry),Good. Pointed specimen.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.122,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.124,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.125,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.126,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.127,whole organism (pinned),Poor. Glued on left wings.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.128,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.129,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.13,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.130,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.131,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.132,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.133,whole organism (pinned),Fair. Hindwings patched underneath.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.134,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.135,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.136,whole organism (pinned),Poor. Missing abdomen and head.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.137,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.14,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.15,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.16,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.17,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.18,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.19,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.2,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.20,whole organism (pinned),Poor. Mounted on sewing pin. Missing head.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.21,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.22,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.23,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.24,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.25,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.26,whole organism (pinned),Poor. Sewing pin & missing head.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.27,whole organism (pinned),Good. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.28,whole organism (pinned),Good. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.29,whole organism (pinned),Poor. Sewing pin & no abdomen.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.3,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.30,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
