guid,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1
CHAS:Herp:18449,Hyla crucifer,,unknown,0,"""v.versiclor"" crossed out. Previous identification per 2008-2012 inventory spreadsheet and FileMaker Pro database record.",unknown
CHAS:Herp:1094,Desmognathus fuscus imitator ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:1095,Desmognathus fuscus imitator ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:1096,Desmognathus fuscus imitator ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:1097,Desmognathus fuscus imitator ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:174,Acris gryllus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:2024,Plethodon cinereus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:2025,Plethodon cinereus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:2026,Plethodon cinereus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:2027,Plethodon cinereus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:2028,Plethodon cinereus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:2029,Plethodon cinereus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:3035,Bufo cognatus ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4322,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4323,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4324,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4325,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4326,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4327,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4328,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4329,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4330,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4331,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4332,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4333,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4334,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4335,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4336,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4337,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4338,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4339,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:4340,Plethodon cinereus dorsalis ,,unknown,0,Identification per catalogue book record.,unknown
CHAS:Herp:1000,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1003,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1004,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1005,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10051,Hyla arenicolor,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1006,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1007,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1008,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1009,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1010,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1011,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1012,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1013,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1014,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1015,Pseudacris triseriata,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1017,Ambystoma maculatum,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10173,Rana pipiens,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10174,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10175,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10176,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10177,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10178,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10179,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:1018,Ambystoma maculatum,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10180,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10181,Spea bombifrons,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10182,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10183,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10184,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10185,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
CHAS:Herp:10186,Spea hammondii,,unknown,0,Identification per FileMaker Pro database record.,unknown
