guid,part_name,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,remark,determiner,DETERMINED_DATE
CHAS:Herp:3817,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 3638, 3817, 3935, 6583, 7205-6; oversize",John Archer,2019-12-02
CHAS:Herp:3935,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 3638, 3817, 3935, 6583, 7205-6; oversize",John Archer,2019-12-02
CHAS:Herp:6583,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 3638, 3817, 3935, 6583, 7205-6; oversize",John Archer,2019-12-02
CHAS:Herp:7205,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 3638, 3817, 3935, 6583, 7205-6; oversize",John Archer,2019-12-02
CHAS:Herp:7206,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 3638, 3817, 3935, 6583, 7205-6; oversize",John Archer,2019-12-02
CHAS:Herp:5650,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:7407,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:10758,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:15546,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:16875,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:16876,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:16877,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:16931,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 5650, 7407, 10758, 15546, 16875-7, 16931; oversize",John Archer,2019-12-03
CHAS:Herp:11346,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 11346-7, 12493-4",John Archer,2018-11-20
CHAS:Herp:11347,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 11346-7, 12493-4",John Archer,2018-11-20
CHAS:Herp:12493,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 11346-7, 12493-4",John Archer,2018-11-20
CHAS:Herp:12494,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 11346-7, 12493-4",John Archer,2018-11-20
CHAS:Herp:279,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:5057,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:5613,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:5614,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9175,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9176,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9177,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9178,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9179,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9180,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9181,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:14587,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 279, 5057, 5613-4, 9175-81, 14587",John Archer,2019-12-03
CHAS:Herp:9069,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9070,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9071,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9072,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9073,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9074,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9075,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9076,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9077,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9078,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9079,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9080,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9081,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9082,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9083,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9084,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9085,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9086,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9087,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9088,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9089,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9090,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9091,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9092,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9093,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9094,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
CHAS:Herp:9095,whole organism (70% ethanol),location,Reebie: Locker 304A: Unit 19: Shelf F,"Stored in jar with CHAS 9069-9102, 9427-8, 12473-5, 13407",John Archer,2019-12-03
