part_name,ATTRIBUTE_TYPE,guid,remark,determiner,DETERMINED_DATE,ATTRIBUTE_VALUE
whole organism (70% ethanol),location,CHAS:Herp:1954.5355.137,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A: Unit 30: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1954.5355.427,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A: Unit 30: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1954.5355.428,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A: Unit 30: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1000,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1001,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:1002,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:1003,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1004,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1005,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:10051,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:1006,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1007,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1008,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1009,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1010,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1011,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1012,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1013,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:10135,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10136,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10137,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10138,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10139,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:1014,,John Archer,2015-04-17,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:10140,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10141,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10142,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10143,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10144,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10145,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10146,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10147,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10148,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10149,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:1015,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:10150,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10151,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10152,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10153,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10154,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10155,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10156,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10157,,Dawn R. Roberts,2014-09-17,Reebie: Locker 302A: Unit 9: Shelf F
whole organism (70% ethanol),location,CHAS:Herp:10158,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10159,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10160,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10161,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10162,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10163,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10164,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10165,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10166,,Dawn R. Roberts,2014-09-17,Reebie: Locker 312A?
whole organism (70% ethanol),location,CHAS:Herp:10167,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:10168,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:10169,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:1017,"Stored in jar with CHAS 441, 1017-26.",John Archer,2016-11-10,Reebie: Locker 312A: Unit 29: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:10170,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 25: Shelf E
