guid,part_name,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,remark,determiner,DETERMINED_DATE
CHAS:Herp:292,whole organism (70% ethanol),location,PNNM: Beecher Lab: Case 2: bottom,,Dawn R. Roberts,2017-05-18
CHAS:Herp:18441,whole organism (70% ethanol),location,Reebie,,John Meeks,2015-12-04
CHAS:Herp:18517,whole organism (70% ethanol),location,Reebie,,Paul Francuch,2016-01-26
CHAS:Herp:18592,whole organism (70% ethanol),location,Reebie,,Paul Francuch,2016-02-02
CHAS:Herp:18593,whole organism (70% ethanol),location,Reebie,,Paul Francuch,2016-02-02
CHAS:Herp:18720,whole organism (70% ethanol),location,Reebie,,Paul Francuch,2016-02-09
CHAS:Herp:19284,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:19441,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2016-02-23
CHAS:Herp:19444,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2016-02-23
CHAS:Herp:19445,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2016-02-23
CHAS:Herp:19784,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4436,whole organism (70% ethanol),location,Reebie,"Stored in jar with CHAS 4436, 4437",Dawn R. Roberts,2014-11-28
CHAS:Herp:4437,whole organism (70% ethanol),location,Reebie,"Stored in jar with CHAS 4436, 4437",Dawn R. Roberts,2014-11-28
CHAS:Herp:8751,whole organism (70% ethanol),location,Reebie,"Stored in jar with CHAS 8508, 8523-27, 8690, 8750-1, 8761-3",Dawn R. Roberts,2015-03-21
CHAS:Herp:8762,whole organism (70% ethanol),location,Reebie,"Stored in jar with CHAS 8508, 8523-27, 8690, 8750-1, 8761-3",Dawn R. Roberts,2015-03-21
CHAS:Herp:11657,whole organism (70% ethanol),location,Reebie,Stored in jar with CHAS 11627-11656,Dawn R. Roberts,2014-09-17
CHAS:Herp:86,whole organism (70% ethanol),location,Reebie,,Jessica Weller,2014-12-06
CHAS:Herp:511,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:911,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1349,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1424,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1425,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1426,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1427,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1428,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1429,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1430,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1582,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:1849,whole organism (70% ethanol),location,Reebie,,John Archer,2015-04-17
CHAS:Herp:2961,whole organism (70% ethanol),location,Reebie,,John Archer,2015-04-17
CHAS:Herp:3628,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:3629,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:3630,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:3631,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:3771,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:3862,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2015-07-03
CHAS:Herp:4309,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4400,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4405,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4778,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4818,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4819,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4820,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4821,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4822,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:4823,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:5040,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:5252,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:5796,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6086,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6087,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6088,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6089,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6090,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6091,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6092,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6093,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6094,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6095,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6096,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6097,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6098,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6099,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6100,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6101,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6102,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6103,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6104,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6105,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6175,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6694,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6884,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6885,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6922,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:6923,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7248,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7249,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7250,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7251,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7252,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7253,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7254,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7429,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7493,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7494,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7495,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7496,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7497,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
CHAS:Herp:7498,whole organism (70% ethanol),location,Reebie,,Dawn R. Roberts,2014-09-17
