guid_prefix,other_id_type,other_id_number,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1,agent_2
CHAS:Inv,catalog number,1909.2921.5,Actinonaias coyensis,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.40,Actinonaias pectorosa,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.1108,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2447,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,9336,Amblema plicata,2019-07-26,expert,1,Threeridge mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1908.2728.7,Amblema plicata,2019-07-26,expert,1,Threeridge mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.1406,Amblema plicata,2019-07-26,expert,1,Threeridge mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.1407,Amblema plicata,2019-07-26,expert,1,Threeridge mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.1408,Amblema plicata,2019-07-26,expert,1,Threeridge mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2826,Amblema plicata and Quadrula quadrula,2019-07-26,expert,1,Threeridge and Mapleleaf mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1949.5245.1,Anodonta californiensis,2019-07-26,expert,1,California floater. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,21562,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7354.2,Cambarunio iris,2019-07-26,expert,1,Rainbow mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7358.2,Cambarunio iris,2019-07-26,expert,1,Rainbow mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17820.2,Cambarunio iris,2019-07-26,revised taxonomy,1,Rainbow mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1896.875.2,Campeloma descisum,2019-07-26,expert,1,Freshwater snail. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17943.1,Cyclonaias nodulata,2019-07-26,expert,1,Wartyback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2230,Cyclonaias nodulata,2019-07-26,expert,1,Wartyback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.804,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.805,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2239,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2249,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2250,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2251,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2253,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13444,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1908.2728.14,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2225,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2226,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2231,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2232,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2233,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2234,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7763,Cyclonaias pustulosa,2019-07-26,revised taxonomy,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2595,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2593,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2607,Cyclonaias pustulosa,2019-07-26,expert,1,Pimpleback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1908.2728.13,Cyclonaias pustulosa and Cyclonaias tuberculata,2019-07-26,expert,1,"Pimpleback and Purple wartyback mussel. Cyclonaias pustulosa (7), Cyclonaias tuberculata (2). Identified during on-site visit during InvertEBase PEN grant period.",Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2228,Cyclonaias pustulosa and Quadrula quadrula,2019-07-26,expert,1,Pimpleback and Mapleleaf mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20933,Cyclonaias tuberculata,2019-07-26,expert,1,Purple wartyback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12441,Cyclonaias tuberculata,2019-07-26,expert,1,Purple wartyback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,8090,Cyclonaias tuberculata,2019-07-26,expert,1,Purple wartyback mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2247,Cyprogenia stegaria,2019-07-26,expert,1,Fanshell mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1906.2451.2,Cyrtonaias tampicoensis,2019-07-26,expert,1,Tampico Pearlymussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.699,Ellipsaria lineolata or Elliptio crassidens,2019-07-26,expert,1,Butterfly Mussel or Elephant-ear Mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2821,Elliptio complanata ?,2019-07-26,expert,1,Eastern elliptio mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17902,Elliptio crassidens,2019-07-26,expert,1,Elephant-ear Mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.712,Elliptio crassidens,2019-07-26,expert,1,Elephant-ear Mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.710,Elliptio dilatata,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2822,Elliptio dilatata,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2828,Elliptio dilatata,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.2540,Elliptio jayensis,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15024,Elliptio sp.,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20176,Elliptio sp.,2019-07-26,expert,1,Freshwater mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1729,Epioblasma rangiana,2019-07-26,expert,1,Riffleshell mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.801,Fusconaia flava,2019-07-26,expert,1,Wabash pigtoe mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1901.1622.8,Fusconaia flava,2019-07-26,expert,1,Wabash pigtoe mussel. Identified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
