guid,ASSIGNED_BY_AGENT,ASSIGNED_DATE,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE,COLLECTING_METHOD,COLLECTING_SOURCE,VERIFICATIONSTATUS,HABITAT,VERBATIM_DATE,VERBATIM_LOCALITY,COLL_EVENT_REMARKS,BEGAN_DATE,ENDED_DATE,LOCALITY_ID,SPEC_LOCALITY,GEOREFERENCE_PROTOCOL,GEOREFERENCE_SOURCE,HIGHER_GEOG,no_verbatim_coordinates,LOCALITY_REMARKS,MAX_DEPTH,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,MIN_DEPTH,ORIG_LAT_LONG_UNITS,DATUM,DEC_LAT,DEC_LONG,DEPTH_UNITS,MAXIMUM_ELEVATION,MINIMUM_ELEVATION,ORIG_ELEV_UNITS
CHAS:Inv:7646,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1896-01-14]",FROM SPECIMEN: Naples; FROM ORIGINAL CATALOG BOOK: Naples [Italy],Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1896-01-14,10990709,,,,,,,,,,,,,,,,,,
CHAS:Inv:15050,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1897-10-28]","FROM SPECIMEN: Onion Creek; FROM ORIGINAL CATALOG BOOK: Onion Creek, Texas",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1897-10-28,10990710,,,,,,,,,,,,,,,,,,
CHAS:Inv:20772,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1904-05-06]","FROM SPECIMEN: Bear Canyon; FROM ORIGINAL CATALOG BOOK: Bear Canyon, Arizona, 6500 ft",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1904-05-06,10990711,,,,,,,,,,,,,,,,,,
CHAS:Inv:20781,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1904-05-06]","FROM SPECIMEN: Bear Canyon, Arizona 5000 ft.; FROM ORIGINAL CATALOG BOOK: Bear Canyon, Chiricahua Mts. [Mountains], Arizona",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1904-05-06,10885161,,,,,,,,,,,,,,,,,,
CHAS:Inv:23039,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1896-04-16]",FROM SPECIMEN: Pelican Rapids,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1896-04-16,10990728,,,,,,,,,,,,,,,,,,
CHAS:Inv:1896.780.1,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1896-04-16]",FROM SPECIMEN: Pelican Rapids,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1896-04-16,10990728,,,,,,,,,,,,,,,,,,
CHAS:Inv:24349,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,fine sand,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, fine sand; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum VII, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
CHAS:Inv:24350,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,fine sand,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, fine sand; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum VII, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
CHAS:Inv:24354,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,fine sand,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, fine sand; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum VII, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
CHAS:Inv:24355,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,fine sand,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, fine sand; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum VII, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
CHAS:Inv:24358,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,fine sand,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, fine sand; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum VII, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
