loaded,guid,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1
bulkloaded,CHAS:Inv:6626,Acavus haemastoma,,legacy,1,Land snail.,unknown
bulkloaded,CHAS:Inv:6627,Acavus haemastoma,,legacy,1,Land snail.,unknown
bulkloaded,CHAS:Inv:6628,Acavus haemastoma,,legacy,1,Land snail.,unknown
bulkloaded,CHAS:Inv:6925,Acavus haemastoma melanotragus,,legacy,1,Land snail.,unknown
bulkloaded,CHAS:Inv:3835,Achatinella tumefacta,,legacy,1,O'ahu tree snail.,unknown
bulkloaded,CHAS:Inv:3853,Achatinella livida recta,,legacy,1,O'ahu tree snail.,unknown
bulkloaded,CHAS:Inv:1951.5300.26,Lottia antillarum,2019-01-19,taxonomic revision,1,Limpet. Original verbatim identification: Acmaea candeana [from specimen tag]; Synonymous with Patella candeana (= Acmaea candeana based on species author d'Orbigny 1847) per WoRMs [13 November 2018 achinn].,Anna Chinn
bulkloaded,CHAS:Inv:9223,Acmaea carpenteri,,legacy,1,Carpenter's Limpet.,unknown
bulkloaded,CHAS:Inv:9224,Acmaea carpenteri,,legacy,1,Carpenter's Limpet.,unknown
entered by hand,CHAS:Inv:22933,Acmaea patina fenestrata,,legacy,1,Gastropod.,unknown
bulkloaded,CHAS:Inv:2017.13.51,Alcadia major,,legacy,1,Land snail.,unknown
bulkloaded,CHAS:Inv:20090,Myosotella myosotis,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Alexia bermudensis [from specimen tag]; updated per Smithsonian Environmental Research Center's National Exotic Marine and Estuarine Species Information System & Martins 1996 [achinn 14 November 2018].,Anna Chinn
bulkloaded,CHAS:Inv:1810,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:1827,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:5751,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:5754,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:8416,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:9334,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
entered by hand,CHAS:Inv:9336,Amblema plicata or Megalonaias nervosa,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula heros [per specimen tag]; Amblema undulata likely =Amblema plicata (Quadrula undulata = Amblema plicata per WoRMS database) and Quadrula heros = Megalonaias nervosa (per WoRMS database) [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:9347,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:10026,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:12252,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:12374,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:12450,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:13426,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:13442,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:15080,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. On label = ranflicuta (Say). Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:15081,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. On label = ranflicuta (Say). Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:16030,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:17924,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:17925,Amblema plicata,2019-01-19,taxonomic revision,1,Undulated Unio. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:17926,Amblema plicata,2019-01-19,taxonomic revision,1,Undulated Unio. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:17927,Amblema plicata,2019-01-19,taxonomic revision,1,Blue Point. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:17930,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:17973,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:18298,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:19551,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:19552,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:20145,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:20270,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:20820,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:21065.1,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:22349,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:22425,Amblema plicata,2019-01-19,taxonomic revision,1,Freshwater Mussel. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:22939,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:20937.2,Amblema plicata,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Quadrula undulata [per specimen tag]; Quadrula undulata latecostata synonymous with Amblema plicata per WoRMS database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:2017.13.63,Cincinnatia integra,2019-01-19,taxonomic revision,1,"Gastropod. Original verbatim identification: Amnicola cinncinnatum [assumed to be a misspelling of Amnicola cincinnatiensis, achinn 14 November 2018]; Amnicola cincinnatiensis = Cincinnatia integra per Thompson & Hershler 1996 [achinn 14 November 2018].",Anna Chinn
bulkloaded,CHAS:Inv:25368,Amnicola limosus porata,,legacy,1,Gastropod.,unknown
bulkloaded,CHAS:Inv:2017.13.65,Amnicola limosus porata,,legacy,1,Gastropod.,unknown
bulkloaded,CHAS:Inv:2017.13.77,Amphidromus dohrni,,legacy,1,Gastropod.,unknown
bulkloaded,CHAS:Inv:4929,Amphidromus perversus,,legacy,1,Citron-colored Land Snail.,unknown
bulkloaded,CHAS:Inv:2017.13.83,Amphidromus inversus annamiticus,2019-01-19,taxonomic revision,1,"Gastropod. Original verbatim identification: Amphidromus roseotinctus [assumed to be a misspelling of A. roseotincta]; Amphidromus roseotincta = Amphidromus inversus roseotincta = Amphidromus inversus annamiticus per WoRMS Database, achinn 14 November 2018]",unknown
entered by hand,CHAS:Inv:1906.2296.7,Amphidromus perversus perversus {Amphidromus perversus perversus form sultanus},2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Amphidromus sultanus [per specimen tag]; Amphidromus sultanus = Amphidromus perversus perversus form sultanus per Laidlaw and Solem 1961 p.664 [achinn 19 January 2019].,Anna Chinn
bulkloaded,CHAS:Inv:20837,Pomacea dolioides,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Ampullaria dolioides [per specimen tag]; Ampullaria dolioides = Pomacea dolioides per Geijskes & Pain 1957 [achinn 14 November 2108],Anna Chinn
bulkloaded,CHAS:Inv:19330,Pomacea flagellata livescens,2019-01-19,taxonomic revision,1,Apple Snail. Original verbatim identification: Ampullaria ghiesbreghti [per specimen tag]; Ampullaria ghiesbreghti = Pomacea flagellata livescens per F. G. Thompson 2008 [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:20836,Pomacea glauca,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Ampullaria glauca [per specimen tag]; Ampullaria glauca = Pomacea glauca per Geijskes & Pain 1957 [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:8249,Lithasia geniculata,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Anculosa pinguis [per specimen tag]; Anculosa pinguis = Melania pinguis per G. W. Tryon 1873 and Melania pinguis = Lithasia geniculata per WorMS Database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:8245,Lithasia obovata,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Anculosa planospira [per specimen tag]; Anculosa planospira = Melania planospira per G. W. Tryon 1873 and Melania planospira = Lithasia obovata per WorMS Database [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:28224,Ferrissia rivularis,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Anclyus paralleluss [per specimen tag]; Anclyus parallelus = Ferrissia rivularis per Walther et al. 2010 [achinn 12 January 2019],unknown
bulkloaded,CHAS:Inv:2017.13.105,Ferrissia walkeri,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Anclyus walkeri [per specimen tag]; Anclyus walkeri = Ferrissia walkeri per Walker 1918 [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:13040,Anguispira mordax,2019-01-19,taxonomic revision,1,Gastropod. Anguispira alternata costata = Anguispira alternata lawae = Anguispira mordax per Pilsbry 1948 and Carnegie Museum of Natural History's Land Snails and Slugs of the Mid-Atlantic and Northeastern United States [achinn 14 November 2018],unknown
entered by hand,CHAS:Inv:2017.13.75,Amphichaena{Amphichaena freisoni},,legacy,1,Bivalve.,unknown
bulkloaded,CHAS:Inv:4917,Appalachina sayana,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Polygyra sayii [per specimen tag]; Polygyra sayii = Appalachina sayana per Carnegie Museum of Natural History's Land Snails and Slugs of the Mid-Atlantic and Northeastern United States [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:4965,Appalachina sayana,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Polygyra sayii [per specimen tag]; Polygyra sayii = Appalachina sayana per Carnegie Museum of Natural History's Land Snails and Slugs of the Mid-Atlantic and Northeastern United States [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:6700,Appalachina sayana,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Polygyra sayii [per specimen tag]; Polygyra sayii = Appalachina sayana per Carnegie Museum of Natural History's Land Snails and Slugs of the Mid-Atlantic and Northeastern United States [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:6709,Appalachina sayana,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Polygyra sayii [per specimen tag]; Polygyra sayii = Appalachina sayana per Carnegie Museum of Natural History's Land Snails and Slugs of the Mid-Atlantic and Northeastern United States [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:20509,Appalachina sayana,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Polygyra sayii [per specimen tag]; Polygyra sayii = Appalachina sayana per Carnegie Museum of Natural History's Land Snails and Slugs of the Mid-Atlantic and Northeastern United States [achinn 14 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:6839,Archachatina purpurea,,legacy,1,Purple Agate Shell.,unknown
bulkloaded,CHAS:Inv:2017.13.181,Monetaria moneta,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Aricia moneta [per specimen tag]; Cypraea (Aricia) moneta = Monetaria moneta per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:13350,Deroceras agreste,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Agriolimax agrestis [per specimen tag]; Agriolimax agrestis = Deroceras agreste per University of Florida's Terrestrial Mollusc Tool [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:13355,Deroceras agreste,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Agriolimax agrestis [per specimen tag]; Agriolimax agrestis = Deroceras agreste per University of Florida's Terrestrial Mollusc Tool [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:24095,Deroceras agreste,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Agriolimax agrestis [per specimen tag]; Agriolimax agrestis = Deroceras agreste per University of Florida's Terrestrial Mollusc Tool [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:12288,Deroceras laeve,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Agriolimax campestris montanus [per specimen tag]; Agriolimax agrestis = Deroceras laeve per University of Florida's Terrestrial Mollusc Tool & H. A. Pilsbury 1939 [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:2017.13.183,Ariophanta interrupta,,legacy,1,Gastropod. Original verbatim identification: Ariophanta interrupta [per specimen label],unknown
bulkloaded,CHAS:Inv:6218,Asaphis deflorata,2019-01-19,taxonomic revision,1,Gastropod. Orginial verbatim identification: Asaphis coccinea [per specimen label]; Asaphis coccinea = Asaphis deflorata per the Academy of Natural Sciences' Malacolog database v4.1.1 [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:6231,Asaphis deflorata,2019-01-19,taxonomic revision,1,Gastropod. Orginial verbatim identification: Asaphis coccinea [per specimen label]; Asaphis coccinea = Asaphis deflorata per the Academy of Natural Sciences' Malacolog database v4.1.1 [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:6232,Asaphis deflorata,2019-01-19,taxonomic revision,1,Gastropod. Orginial verbatim identification: Asaphis coccinea [per specimen label]; Asaphis coccinea = Asaphis deflorata per the Academy of Natural Sciences' Malacolog database v4.1.1 [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:2017.13.185,Asaphis deflorata,2019-01-19,taxonomic revision,1,Gastropod. Orginial verbatim identification: Asaphis coccinea [per specimen label]; Asaphis coccinea = Asaphis deflorata per the Academy of Natural Sciences' Malacolog database v4.1.1 [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:20797,Ashmunella rhyssa hyporhyssa,,legacy,1,Gastropod. Original verbatim identification: Ashmunella rhyssa hyporhyssa [per specimen tag],unknown
bulkloaded,CHAS:Inv:8586,Assiminea subconica,,legacy,1,Gastropod. Original verbatim identification: Assiminea subconica,unknown
bulkloaded,CHAS:Inv:18491,Lithopoma caelatum,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification:Astralium caelatum [per specimen tag]; Astralium caelatim = Lithopoma caelatum per Paleobiology Database's Fossilworks [achinn 15 November 2018],Anna Chinn
entered by hand,CHAS:Inv:8795,Astralium longispina{Astralium longispina costulatum},,legacy,1,Gastropod. Original verbatim identification: Astralium longispina Var COSTULATUM Lamarck,unknown
