guid,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1
CHAS:Mamm:3088,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3087,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3086,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3085,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3084,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2113,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2112,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2110,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2109,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2108,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2107,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2106,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2105,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2104,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2103,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:686,Mustela americana,,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4649,Eutamias {Eutamias borealis neglectus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3091,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2655,Mustela {Mustela arctica arctica},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2654,Mustela {Mustela arctica arctica},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2653,Mustela {Mustela arctica arctica},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2652,Mustela {Mustela arctica arctica},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2651,Mustela {Mustela arctica arctica},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2650,Mustela {Mustela arctica arctica},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:5032,Plecotis {Plecotis rafinesquii},,legacy,0,"Accepted identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3090,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3089,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2541,Citellus {Citellus beecheyi beecheyi},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4296,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1224,Sciurus {Sciurus fremonti fremonti},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:862,Microtus ochrogaster haydeni,,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:861,Microtus ochrogaster haydeni,,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2350,Microtus nanus {Microtus nanus canescens},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1424,Neotoma intermedia {Neotoma intermedia intermedia},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:793,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1421,Neotoma {Neotoma intermedia intermedia},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1422,Neotoma {Neotoma intermedia intermedia},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2649,Mustela {Mustela rixosus eskimo},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2648,Mustela {Mustela rixosus eskimo},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:2646,Mustela {Mustela rixosus eskimo},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:350,Nycteris {Nycteris borealis borealis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1675,Microtus nanus {Microtus nanus canescens},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1674,Microtus nanus {Microtus nanus canescens},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1673,Microtus nanus {Microtus nanus canescens},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1672,Microtus nanus {Microtus nanus canescens},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1671,Microtus nanus {Microtus nanus canescens},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4505,Microtus {Microtus alticola leucophaeus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4297,Geomys {Geomys tuza mobilensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:646,Citellus {Citellus mexicanus parvidens},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:884,Neosorex {Neosorex navigator navigator},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3644,Citellus {Citellus tereticaudus tereticaudus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3643,Citellus {Citellus tereticaudus tereticaudus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3642,Citellus {Citellus tereticaudus tereticaudus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3993,Citellus {Citellus tereticaudus neglectus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3992,Citellus {Citellus tereticaudus neglectus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:3903,Citellus {Citellus tereticaudus neglectus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:124,Tamias {Tamias lateralis lateralis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1588,Citellus {Citellus beecheyi beecheyi},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:123,Citellus {Citellus beecheyi beecheyi},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1364,Neosorex {Neosorex navigator navigator},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:891,Neosorex {Neosorex navigator navigator},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:890,Neosorex {Neosorex navigator navigator},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:889,Neosorex {Neosorex navigator navigator},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:888,Neosorex {Neosorex navigator navigator},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:887,Neosorex {Neosorex navigator navigator},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:724,Peromyscus leucopus {Peromycus leucopus noveboracensis},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:4044,Peroganthus {Peroganthus pencillatus pricei},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1199,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
CHAS:Mamm:1198,Thomomys {Thomomys aureus pervagus},,legacy,0,"Previous or old identification from FileMaker Pro database record. FileMaker records originally digitized between 1988 and 1992, last edited 2006-07-28.",unknown
