TAXON (to match to authority),ACCEPTED TAXON,ACCEPTED AUTHOR,SOURCE,Class,Order,Family,Subfamily
Clubiona palens,Clubonia sp.,,Petra Sierwald,Arachnida,Araneae,Clubionidae,
Phruolithus sp.,Phrurolithus sp.,,Petra Sierwald,Arachnida,Araneae,Corinnidae,
Phrurolithus sp.,Phrurolithus sp.,,Petra Sierwald,Arachnida,Araneae,Corinnidae,
Thiodina smithi,Thiodina sp.,,Petra Sierwald,Arachnida,Araneae,Salticidae,
Trebacosa (gulosa),Gladicosa gulosa,"(Walckenaer, 1837)",Petra Sierwald,Arachnida,Araneae,Lycosidae,
Tarentula sp.,Allocosa sp.,,Petra Sierwald,Arachnida,Araneae,Lycosidae,
Ceratinopsis purpurea,Ceratinopsis sp.,,Petra Sierwald,Arachnida,Araneae,Linyphiidae,Erigoninae
Herpyllus vasifer,Herpyllus sp.,,Petra Sierwald,Arachnida,Araneae,Gnaphosidae,
Corianachne versicolor,Bassaniana versicolor,"(Keyserling, 1880)",Petra Sierwald,Arachnida,Araneae,Thomisidae,
Coriarachne versicolor,Bassaniana versicolor,"(Keyserling, 1880)",Petra Sierwald,Arachnida,Araneae,Thomisidae,
Dictyna frondea,Dictyna foliacea,"(Hentz, 1850)",Petra Sierwald,Arachnida,Araneae,Dictynidae,
Icius elegans,Tutelina elegans,"(Hentz, 1846)",Petra Sierwald,Arachnida,Araneae,Salticidae,
Icius similis,Tutelina similis,"(Banks, 1895)",Petra Sierwald,Arachnida,Araneae,Salticidae,
Linyphia marginata (near),Neriene sp.,,Petra Sierwald,Arachnida,Araneae,Linyphiidae,Linyphiinae
Linyphia pusilla,Tenuiphantes tenuis,"(Blackwall, 1852)",Petra Sierwald,Arachnida,Araneae,Linyphiidae,Linyphiinae
Lycosa (helluo),Tigrosa helluo,"(Walckenaer, 1837)",Petra Sierwald,Arachnida,Araneae,Lycosidae,
Lycosa (thorelli),Lycosa thorelli,"(Keyserling, 1877)",Petra Sierwald,Arachnida,Araneae,Lycosidae,
Lycosa coloradensis,Hogna coloradensis,"(Banks, 1894)",Petra Sierwald,Arachnida,Araneae,Lycosidae,
Lycosa helluo,Tigrosa helluo,"(Walckenaer, 1837)",Petra Sierwald,Arachnida,Araneae,Lycosidae,
Phidippus brunneus,Phidippus princeps,"(Peckham & Peckham, 1883)",Petra Sierwald,Arachnida,Araneae,Salticidae,
Amblypygi sp.,Amblypygi,,ITIS,Arachnida,Amblypygi,,
Acanthepeira sp.,Acanthepeira sp.,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Acanthepeira stellata,Acanthepeira stellata,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Acantheperia stellata,Acanthepeira stellata,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Admestina tibialis,Admestina tibialis,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Agelena americana,Agelenopsis pennsylvanica,"(C. L. Koch, 1843)",Petra Sierwald,Arachnida,Araneae,Agelenidae,
Agelenopsis americana,Agelenopsis pennsylvanica,"(C. L. Koch, 1843)",Petra Sierwald,Arachnida,Araneae,Agelenidae,
Agelenopsis sp.,Agelenopsis sp.,,Petra Sierwald,Arachnida,Araneae,Agelenidae,
Agelinidae sp.,Agelenidae sp.,,World Spider Catalog,Arachnida,Araneae,Agelenidae,
Agroeca sp.,Araneae sp.,,World Spider Catalog,Arachnida,Araneae,Clubionidae,
Allocosa sp.,Allocosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Alopecosa sp.,Alopecosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Amaurobiidae sp.,Amaurobiidae sp.,,World Spider Catalog,Arachnida,Araneae,Amaurobiidae,
Amaurobius ben,Callobius bennetti,,World Spider Catalog,Arachnida,Araneae,Amaurobiidae,
Antrodiaetus sp.,Antrodiaetus sp.,,World Spider Catalog,Arachnida,Araneae,Antrodiaetidae,
Anyphaena marginalis,Anyphaena marginalis,,World Spider Catalog,Arachnida,Araneae,Anyphaenidae,
Anyphaena pacifica,Anyphaena pacifica,,World Spider Catalog,Arachnida,Araneae,Anyphaenidae,
Anyphaena pacifica (intermontana),Anyphaena pacifica,,World Spider Catalog,Arachnida,Araneae,Anyphaenidae,
Anyphaena sp.,Anyphaena sp.,,World Spider Catalog,Arachnida,Araneae,Anyphaenidae,
Aphonopelma sp.,Aphonopelma sp.,,World Spider Catalog,Arachnida,Araneae,Theraphosidae,
Apollophanes texanus,Apollophanes texanus,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Araneae sp.,Araneae sp.,,World Spider Catalog,Arachnida,Araneae,,
Araneidae sp.,Araneidae sp.,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Araneus cornuta,Larinioides cornutus,"(Clerck, 1757)",Petra Sierwald,Arachnida,Araneae,Araneidae,
Araneus cucurbitina,Araniella cucurbitina,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Araneus cucurbitinus,Araniella cucurbitina,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Araneus displicata,Araniella displicata,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Araneus frondasa,Larinioides scopetarius,"(Clerck, 1757)",Petra Sierwald,Arachnida,Araneae,Araneidae,
Araneus marmoreus,Araneus marmoreus,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Araneus nordmani,Araneus nordmanni,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Araneus sericatus,Larinioides scopetarius,"(Clerck, 1757)",Petra Sierwald,Arachnida,Araneae,Araneidae,
Araneus trifolium,Araneus trifolium,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Arctosa littoralis,Arctosa littoralis,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Arctosa sp.,Arctosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Argiope aurantia,Argiope aurantia,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Argiope aurantia lucas,Argiope aurantia,"Lucas, 1833",Petra Sierwald,Arachnida,Araneae,Araneidae,
Argiope trifasciata,Argiope trifasciata,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Argyrodes trigonum,Neospintharus trigonum,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Aysha gracilis,Hibana gracilis,,Petra Sierwald,Arachnida,Araneae,Anyphaenidae,
Bathyphantes nigrinus,Bathyphantes nigrinus,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Callilepis imbecilla,Callilepis imbecilla,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Callilepis imbecillus,Callilepis imbecilla,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Callilepus ,Callilepis sp.,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Callobius arizonicus,Callobius arizonicus,,World Spider Catalog,Arachnida,Araneae,Amaurobiidae,
Callobius catalina,Callobius arizonicus,"(Chamberlin & Ivie, 1947)",Petra Sierwald,Arachnida,Araneae,Amaurobiidae,
Callobius catalinius,Callobius arizonicus,"(Chamberlin & Ivie, 1947)",Petra Sierwald,Arachnida,Araneae,Amaurobiidae,
Callobius catalinus,Callobius arizonicus,"(Chamberlin & Ivie, 1947)",Petra Sierwald,Arachnida,Araneae,Amaurobiidae,
Callobius sp.,Callobius sp.,,World Spider Catalog,Arachnida,Araneae,Amaurobiidae,
Calymmaria sp.,Calymmaria sp.,,World Spider Catalog,Arachnida,Araneae,Hahniidae,
Castaneira sp.,Castaneira sp.,,World Spider Catalog,Arachnida,Araneae,Corinnidae,
Castianeira cingulata,Castianeira cingulata,,World Spider Catalog,Arachnida,Araneae,Corinnidae,
Castianeira trilineata,Castianeira trilineata,,World Spider Catalog,Arachnida,Araneae,Corinnidae,
Ceraticelus emertoni,Ceraticelus emertoni,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Erigoninae
Clubiona obesa,Clubiona obesa,,World Spider Catalog,Arachnida,Araneae,Clubionidae,
Clubiona sp.,Clubiona sp.,,World Spider Catalog,Arachnida,Araneae,Clubionidae,
Crustulina gattata,Crustulina guttata,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Crustulina guttata,Crustulina guttata,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Cryphoeca sp.,Cryphoeca sp.,,World Spider Catalog,Arachnida,Araneae,Hahniidae,
Cteniza californica,Bothriocyrtum californicum,,World Spider Catalog,Arachnida,Araneae,Ctenizidae,
Ctenizidae sp.,Ctenizidae sp.,,World Spider Catalog,Arachnida,Araneae,Ctenizidae,
Cybaeus sp.,Cybaeus sp.,,World Spider Catalog,Arachnida,Araneae,Cybaeidae,
Cyclosa turbinata,Cyclosa turbinata,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Dendryphantes sp.,Dendryphantes sp.,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Dictyna (Tosyna) calcarata,Dictyna calcarata,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Dictyna (Tosyna) sp.,Dictyna sp.,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Dictyna bostoniensis,Dictyna bostoniensis,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Dictyna foliacae,Dictyna foliacea,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Dictyna foliacea,Dictyna foliacea,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Dictyna sp.,Dictyna sp.,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Dictyna volucripes,Dictyna volucripes,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Dictynidae sp.,Dictynidae sp.,,World Spider Catalog,Arachnida,Araneae,Dictynidae,
Diguetia canities,Diguetia canities,,World Spider Catalog,Arachnida,Araneae,Diguetidae,
