SYNONYM (data directly from spreadsheet),TAXON (to match to authority)
(Lycosa) (frondicola),Lycosa (frondicola)
(Lycosa) (helluo),Lycosa (helluo)
(Lycosa) (kochii),Lycosa (kochii)
(Lycosa) (rabida),Lycosa (rabida)
(Lycosa) (thorelli),Lycosa (thorelli)
(Lycosa) sp.,Lycosa sp.
[ possibly misuse of a non-nearctic name?],Chiromyza flava
[possibly not the correct genus anymore; maybe Thaumatomyza],Chloropisca glabra
3955,Heterocerus gnatho
Abedus indentatus,Abedus indentatus
Abstrulia tessellata,Abstrulia tessellata
Acalymma sp.,Acalymma sp.
Acalymma vittatum,Acalymma vittatum
Acalyptus carpini,Acalyptus carpini
Acanalonia sp.,Acanalonia sp.
Acanthepeira sp.,Acanthepeira sp.
Acanthepeira stellata,Acanthepeira stellata
Acantheperia stellata,Acantheperia stellata
Acanthia lecturia,Acanthia lecturia
Acanthocinus aedilis,Acanthocinus aedilis
Acanthocinus nodosus,Acanthocinus nodosus
Acanthocinus obliquens,Acanthocinus obliquens
Acanthocinus obsoletus,Acanthocinus obsoletus
Acanthoderes decipieus,Acanthoderes decipieus
Acanthoderes quodrigiblous,Acanthoderes quodrigiblous
Acanthoscelides pauperculus,Acanthoscelides pauperculus
Acanthoscelidius acephalus,Acanthoscelidius acephalus
Acemyia,Ceracia dentata
Achaetella varipes,Achaetella varipes
Acholla multispinosa,Acholla multispinosa
Achurum carinatum,Achurum carinatum
Acidota crenata,Acidota crenata
Acilius,Acilius
Acilius ?,Acilius
Acilius canaliculatus,Acilius canaliculatus
Acilius mediatus,Acilius mediatus
Acilius semisulcatus,Acilius semisulcatus
Acilius sulcatus,Acilius sulcatus
Acilus sp.,Acilus sp.
Acmaeodera connexa,Acmaeodera connexa
Acmaeodera culta,Acmaeodera culta
Acmaeodera cuprina,Acmaeodera cuprina
Acmaeodera flavopicta,Acmaeodera flavopicta
Acmaeodera gibbula,Acmaeodera gibbula
Acmaeodera mima,Acmaeodera mima
Acmaeodera ornata,Acmaeodera ornata
Acmaeodera pulchella,Acmaeodera pulchella
Acmaeodera sp.,Acmaeodera sp.
Acmaeodera texana,Acmaeodera texana
Acmaeodera variegata,Acmaeodera variegata
Acmaeops directa,Acmaeops directa
Acmaeops discoidea,Acmaeops discoidea
Acmaeops gibbula,Acmaeops gibbula
Acmaeops ligata,Acmaeops ligata
Acmaeops pratensis,Acmaeops pratensis
Acmaeops proteus,Acmaeops proteus
Acoptus suturalis,Acoptus suturalis
Acrididae sp.,Acrididae sp.
Acritus exiguns,Acritus exiguns
Acrocinus longimanus,Acrocinus longimanus
Acrocinus sp.,Acrocinus sp.
Acrolophitus hirtipes,Acrolophitus hirtipes
Acrometopia wahlbergi,Acrometopia wahlbergi
Acroneura abnormis,Acroneura abnormis
Acrotrichis haldemani,Acrotrichis haldemani
Acrydium arenosum,Tetrix arenosa
Acrydium granulatum,Tetrix subulata
Actenodes acornis,Actenodes acornis
Actina viridis,Actina viridis
Acupalpus carus,Acupalpus carus
Acupalpus partiarius,Acupalpus partiarius
Acupalpus pauperculus,Acupalpus pauperculus
Acupalpus testaceus,Acupalpus testaceus
Acutalis rufomarginatus,Acutalis rufomarginatus
Acylophorus pronus,Acylophorus pronus
Acylophorus sp.,Acylophorus sp.
Adalia bipunctata,Adalia bipunctata
Adalia convergens,Adalia convergens
Adalia ludovicae,Adalia ludovicae
Adelocera discoidea,Adelocera discoidea
Adelocera impressicollis,Adelocera impressicollis
Adelocera marmorata,Adelocera marmorata
Adelocera obtecta,Adelocera obtecta
Adelocera rorulenta,Adelocera rorulenta
Adelops hirtus,Adelops hirtus
Adelphocoris rapidus,Adelphocoris rapidus
Adimonia rustica,Adimonia rustica
Adimonia tanaceti,Adimonia tanaceti
Admestina tibialis,Admestina tibialis
Adoxus obscurus,Adoxus obscurus
Adoxus vitis,Adoxus vitis
Adranes coecus,Adranes coecus
Adranes lecontei,Adranes lecontei
Aegialia conferta,Aegialia conferta
Aeolus sp.,Aeolus sp.
Aethina tumida,Aethina tumida
Agabetes acuductus,Agabetes acuductus
Agabus bipustulatus,Agabus bipustulatus
