TAXON (original),Phylum,Class,Order,Family,Genus,Genus (original from spreadsheet),Species,Species (original from spreadsheet),Subspecies,Subspecies (original from spreadsheet),Synonyms (old)
A. holstonia,Mollusca,Bivalvia,Unionoida,Unionidae,A.,A.,holstonia,holstonia,,,
A. kirklandi,Mollusca,Bivalvia,,,A.,A.,kirklandi,kirklandi,,,
A. truncata,Mollusca,Bivalvia,Unionoida,Unionidae,A.,A. ,truncata,truncata,,,
Acanthina crassilabrum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,crassilabrum,crassilabrum,,,
Acanthina crassilabrum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,crassilabrum,crassilabrum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina imbricatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,imbricatum,imbricatum,,,
Acanthina lapilloides,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,lapilloides,lapilloides,,,
Acanthina lugubre,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,lugubre,lugubre,,,
Acanthochites variablils,Mollusca,Polyplacophora,,Acanthochitonidae,Acanthochites,Acanthochites,variablils,variablils,,,
Acanthopleura echinatum,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,echinatum,echinatum,,,A.
Acanthopleura granulata,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,granulata,granulata,,,Acanthopleura picea Gmelin
Acanthopleura granulata,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,granulata,granulata,,,
Acanthopleura granulata,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,granulata,granulata,,,
Acavus haemastomus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,,,
Acavus haemastomus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,,,
Acavus haemastomus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,,,
Acavus haemastomus melanotragus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,melanotragus,melanotragus,
Acavus phoenix,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,phoenix,phoenix,,,
Acavus phoenix,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,phoenix,phoenix,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella sp.,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,,,,,
Acella sp.,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,,,,,
Acetocina canaliculata,Mollusca,Gastropoda,,Cyclichnidae,Acetocina,Acetocina,canaliculata,canaliculata,,,
Achatina approximata,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,approximata,approximata,,,Porphyrobaphile
Achatina fasciata,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,fasciata,fasciata,,,
Achatina fulia,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,fulia,fulia,,,
Achatina granulosa,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,granulosa,granulosa,,,
Achatina kraussi,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,kraussi,kraussi,,,
Achatina marginata,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,marginata,marginata,,,
Achatina purpurea,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,purpurea,purpurea,,,
Achatina sp.,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,,,,,
Achatina sp.,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,,sp.,,,
Achatina zebra,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,zebra,zebra,,,
Achatinella albaspira,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,albaspira,albaspira,,,
Achatinella citrina,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,citrina,citrina,,,
Achatinella clara,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,clara,clara,,,
Achatinella crassula,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,crassula,crassula,,,
Achatinella crassula,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,crassula,crassula,,,
Achatinella diaphana,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,diaphana,diaphana,,,
Achatinella ellipsoidea,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,ellipsoidea,ellipsoidea,,,
Achatinella fusca,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,fusca,fusca,,,
Achatinella gravida,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,gravida,gravida,,,
Achatinella labrosa,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,labrosa,labrosa ,,,
Achatinella lagena,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,lagena,lagena,,,
Achatinella mucronata,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,mucronata,mucronata,,,
Achatinella nigra,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,nigra,nigra,,,
Achatinella obelavata,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,obelavata,obelavata,,,
