MATCH,Class,Order,Family,Genus,species,subspecies,form/variety,FullName,Currently Accepted?,Accepted Name,Original Name,irn
Cyrena manilensis,Bivalvia,Heterodonta,Corbiculidae,Cyrena,manilensis,,,"Cyrena manilensis Philippi, 1844",No,"Corbicula fluminea (O. F. Müller, 1774)","Cyrena manilensis Philippi, 1844",589744
,Bivalvia,Heterodonta,Corbiculidae,,,,,Corbiculidae,No,Cyrenidae,,165601
,Bivalvia,Heterodonta,Corneocycladidae,,,,,Corneocycladidae,No,Sphaeriidae,Corneocycladidae,584414
Corbicula fluminalis,Bivalvia,Heterodonta,Cyrenidae,Corbicula,fluminalis,,,"Corbicula fluminalis (O. F. Müller, 1774)",Yes,"Corbicula fluminalis (O. F. Müller, 1774)","Tellina fluminalis O. F. Müller, 1774",168462
Corbicula fluminea,Bivalvia,Heterodonta,Cyrenidae,Corbicula,fluminea,,,"Corbicula fluminea (O. F. Müller, 1774)",Yes,"Corbicula fluminea (O. F. Müller, 1774)","Tellina fluminea O. F. Müller, 1774",168463
Corbicula manilensis,Bivalvia,Heterodonta,Cyrenidae,Corbicula,manilensis,,,"Corbicula manilensis (Philippi, 1844)",No,"Corbicula fluminalis (O. F. Müller, 1774)","Cyrena manilensis Philippi, 1844",197921
,Bivalvia,Heterodonta,Cyrenidae,Corbicula,,,,Corbicula sp.,Yes,Corbicula sp.,Corbicula sp.,156630
Cyclas hammalis,Bivalvia,Heterodonta,Cyrenidae,Cyclas,hammalis,,,"Cyclas hammalis Rafinesque, 1820",Unknown,,"Cyclas hammalis Rafinesque, 1820",584411
Tellina fluminalis,Bivalvia,Heterodonta,Cyrenidae,Tellina,fluminalis,,,"Tellina fluminalis O. F. Müller, 1774",No,"Corbicula fluminalis (O. F. Müller, 1774)","Tellina fluminalis O. F. Müller, 1774",589740
Tellina fluminea,Bivalvia,Heterodonta,Cyrenidae,Tellina,fluminea,,,"Tellina fluminea O. F. Müller, 1774",No,"Corbicula fluminea (O. F. Müller, 1774)","Tellina fluminea O. F. Müller, 1774",589743
,Bivalvia,Heterodonta,Cyrenidae,,,,,Cyrenidae,Yes,Cyrenidae,,589231
Dreissena bugensis,Bivalvia,Heterodonta,Dreissenidae,Dreissena,bugensis,,,"Dreissena bugensis (Andrusov, 1897)",Yes,"Dreissena bugensis (Andrusov, 1897)","Dreissena rostriformis bugensis Andrusov, 1897",156671
Dreissena polymorpha,Bivalvia,Heterodonta,Dreissenidae,Dreissena,polymorpha,,,"Dreissena polymorpha (Pallas, 1771)",Yes,"Dreissena polymorpha (Pallas, 1771)","Mytilus polymorphus Pallas, 1771",168506
Dreissena rostriformis bugensis,Bivalvia,Heterodonta,Dreissenidae,Dreissena,rostriformis,bugensis,,"Dreissena rostriformis bugensis Andrusov, 1897",No,"Dreissena bugensis (Andrusov, 1897)","Dreissena rostriformis bugensis Andrusov, 1897",589745
Dreissena sallei,Bivalvia,Heterodonta,Dreissenidae,Dreissena,sallei,,,"Dreissena sallei Récluz, 1849",No,"Mytilopsis sallei (Récluz, 1849)","Dreissena sallei Récluz, 1849",156672
,Bivalvia,Heterodonta,Dreissenidae,Dreissena,,,,Dreissena,Yes,Dreissena,Dreissena,584412
Mytilopsis leucophaeata,Bivalvia,Heterodonta,Dreissenidae,Mytilopsis,leucophaeata,,,"Mytilopsis leucophaeata (Conrad, 1831)",Yes,"Mytilopsis leucophaeata (Conrad, 1831)","Mytilus leucophaeata Conrad, 1831",168507
Mytilopsis sallei,Bivalvia,Heterodonta,Dreissenidae,Mytilopsis,sallei,,,"Mytilopsis sallei (Récluz, 1849)",Yes,"Mytilopsis sallei (Récluz, 1849)","Dreissena sallei Récluz, 1849",168508
,Bivalvia,Heterodonta,Dreissenidae,Mytilopsis,,,,Mytilopsis sp.,Yes,Mytilopsis sp.,Mytilopsis sp.,150
Mytilus leucophaeata,Bivalvia,Heterodonta,Dreissenidae,Mytilus,leucophaeata,,,"Mytilus leucophaeata Conrad, 1831",No,"Mytilopsis leucophaeata (Conrad, 1831)","Mytilus leucophaeata Conrad, 1831",584413
,Bivalvia,Heterodonta,Dreissenidae,,,,,Dreissenidae,Yes,Dreissenidae,Dreissenidae,165609
,Bivalvia,Heterodonta,Pisidiidae,,,,,Pisidiidae,No,Sphaeriidae,Pisidiidae,165604
Calyculina ferrissii,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,ferrissii,,,"Calyculina ferrissii Sterki, 1902",No,"Musculium partumeium (Say, 1822)","Calyculina ferrissii Sterki, 1902",584446
Calyculina hodgsonii,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,hodgsonii,,,"Calyculina hodgsonii Sterki, 1902",No,"Musculium partumeium (Say, 1822)","Calyculina hodgsonii Sterki, 1902",584447
Calyculina lacustris,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,lacustris,,,"Calyculina lacustris (O. F. Müller, 1774)",No,"Musculium lacustre (O. F. Müller, 1774)","Tellina lacustris O. F. Müller, 1774",584421
Calyculina partumeia,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,partumeia,,,"Calyculina partumeia (Say, 1822)",No,"Musculium partumeium (Say, 1822)","Cyclas partumeia Say, 1822",584452
Calyculina rosacea,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,rosacea,,,"Calyculina rosacea (Prime, 1852)",No,"Musculium lacustre (O. F. Müller, 1774)","Cyclas rosacea Prime, 1852",584425
Calyculina securis,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,securis,,,"Calyculina securis (Prime, 1852)",No,"Musculium securis (Prime, 1852)","Cyclas securis Prime, 1852",584456
Calyculina sphaerica,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,sphaerica,,,"Calyculina sphaerica (Prime, 1853)",No,"Musculium securis (Prime, 1852)","Cyclas sphaerica Prime, 1853",584458
Calyculina transversa,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,transversa,,,"Calyculina transversa (Say, 1829)",No,"Musculium transversum (Say, 1829)","Cyclas transversa Say, 1829",584464
Calyculina truncata,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,truncata,,,"Calyculina truncata (Gould, 1848)",No,"Musculium partumeium (Say, 1822)","Cyclas truncata Gould, 1848",584453
Cardium casertanum,Bivalvia,Heterodonta,Sphaeriidae,Cardium,casertanum,,,"Cardium casertanum Poli, 1791",No,"Pisidium casertanum (Poli, 1791)","Cardium casertanum Poli, 1791",584497
Corneocyclas tremperi,Bivalvia,Heterodonta,Sphaeriidae,Corneocyclas,tremperi,,,"Corneocyclas tremperi Hannibal, 1912",No,"Pisidium rotundatum Prime, 1852","Corneocyclas tremperi Hannibal, 1912",584669
Cyclas abditum,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,abditum,,,"Cyclas (Pisidium) abditum Haldeman, 1841",No,"Pisidium casertanum (Poli, 1791)","Cyclas (Pisidium) abditum Haldeman, 1841",584499
Cyclas abruptum,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,abruptum,,,"Cyclas (Pisidium) abruptum Haldeman, 1841",No,"Pisidium dubium (Say, 1817)","Cyclas (Pisidium) abruptum Haldeman, 1841",584614
Cyclas acuminata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,acuminata,,,"Cyclas acuminata Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas acuminata Prime, 1852",584735
Cyclas aequalis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,aequalis,,,"Cyclas aequalis Férussac, 1835",No,"Pisidium dubium (Say, 1817)","Cyclas aequalis Férussac, 1835",584613
Cyclas albula,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,albula,,,"Cyclas albula Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas albula Prime, 1852",584736
Cyclas altilis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,altilis,,,"Cyclas altilis C.B. Adams, 1847",No,"Pisidium compressum Prime, 1852","Cyclas altilis C.B. Adams, 1847",584585
Cyclas americana,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,americana,,,"Cyclas americana Prime, 1862",Unknown,,"Cyclas americana Prime, 1862",584472
Cyclas aurea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,aurea,,,"Cyclas aurea Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas aurea Prime, 1852",584737
Cyclas bulbosa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,bulbosa,,,"Cyclas bulbosa Prime, 1853",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas bulbosa Prime, 1853",584746
Cyclas calyculata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,calyculata,,,"Cyclas calyculata C.B. Adams, 1842",No,"Musculium partumeium (Say, 1822)","Cyclas calyculata C.B. Adams, 1842",584436
Cyclas cardissa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,cardissa,,,"Cyclas cardissa Prime, 1852",No,"Musculium securis (Prime, 1852)","Cyclas cardissa Prime, 1852",584454
Cyclas castanea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,castanea,,,"Cyclas castanea Prime, 1852",No,"Sphaerium fabale (Prime, 1852)","Cyclas castanea Prime, 1852",584698
Cyclas coerulea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,coerulea,,,"Cyclas coerulea Prime, 1852",No,"Musculium partumeium (Say, 1822)","Cyclas coerulea Prime, 1852",584441
