ATTRIBUTE_VALUE,CAT_NUM
"Reebie: Locker 312A: Unit 30: Shelf B","5548"
"Reebie: Locker 312A: Unit 29: Shelf C","13937"
"Reebie: Locker 312A: Unit 29: Shelf C","13943"
"Reebie: Locker 312A: Unit 30: Shelf A","1615"
"Reebie: Locker 312A: Unit 30: Shelf A","1616"
"Reebie: Locker 312A: Unit 28: Shelf D","18600"
"Reebie: Locker 312A: Unit 28: Shelf D","19013"
"Reebie: Locker 312A: Unit 28: Shelf D","18890"
"Reebie: Locker 304A?","18830"
"Reebie: Locker 304A?","18831"
"Reebie: Locker 312A: Unit 30: Shelf D","19455"
"Reebie: Locker 312A: Unit 30: Shelf E","1954.5355.122"
"Reebie: Locker 312A: Unit 30: Shelf E","1954.5355.294"
"Reebie: Locker 312A: Unit 30: Shelf E","1954.5355.341"
