status - sam,accn_number,received_from,received_year,received_month,received_day,nature_of_material,remarks,estimated_count
Done,1,Elizabeth Emerson Atwater,1893,6,16,"Malacology: Molluscks [Molluscs], principally marine. Number of species: 1500",Information from accession book. Verbatim received from agent: Mrs. E.E. Atwater,5000
Done,2,Elizabeth Emerson Atwater,1893,,,Malacology: Echinoderms .,Information from accession book. Verbatim received from agent: Mrs. E.E. Atwater,150
Done,4,Elizabeth Emerson Atwater,1893,,,Malacology: Corals.,Information from accession book. Verbatim received from agent: Mrs. E.E. Atwater,100
Done,10,,1893,,,"Malacology: Molluscks [Molluscs], land, freshwater, marine.","Origin of material: American and exotic. Associated with CHAS catalog numbers CA-6830-6832, 6834. Information from accession book.. Verbatim agency associated with: Philadephia Academy of Sciences",3000
Done,20,"Florida Expedition, 1877",1893,,,"Malacology: Mollusks [Molluscs], land, freshwater, marine.","Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences",25000
Done,21,"Florida Expedition, 1877",1893,,,Malacology: Corals.,"Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences",100
Done,22,"Florida Expedition, 1877",1893,,,Malacology: Echinoderms.,"Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences",200
Done,24,"Florida Expedition, 1877",1893,,,Malacology: sponges .,"Information from accession book. Verbatim received from agent: Florida Expedition, 1877. Verbatim agency associated with: Chicago Academy of Sciences",25
Done,35,,1879,3,5,"Malacology: Mollusks [Molluscs], land, freshwater, marine. Number of species: 1375","Information from accession book. Identified by P.P. Carpenter, [from shells in the Cumingian Collection]. Correspondence in Accession File and copies in Gifts-1879 [A. King]. Verbatim agency associated with: Boston Society of Natural History, via. Alphus Hyatt - Custodian",3000
Done,45,J. W. Velie,1893,,,"Malacology: Mollusks [Molluscs], land, freshwater, marine.","Information from accession book. Some of specimens received with this accession in correspondence. Correspondence in Accession File and copy in Gifts-1893. Note from inventory of Malacology collection where this list was found states specimens that match this list are in Malacology Cabinet 31, drawers 3 and 6. Verbatim received from agent: J.W. Velie",5000
Done,46,J. W. Velie,1893,,,Malacology: Echinoderms. Number of species: 100,Information from accession book. Verbatim received from agent: J.W. Velie,500
Done,49,J. W. Velie,1893,,,Malacology: Corals.,Information from accession book. Verbatim received from agent: J.W. Velie,100
Done,52,J. W. Velie,1893,,,Malacology: sponges .,Information from accession book. Verbatim received from agent: J.W. Velie,50
Done,59,Charles Kingsley,1893,,,Malacology: Echinoderms.,Information from accession book. Verbatim received from agent: Charles Kingsley,50
Done,60,William Wirt Calkins,1893,,,"Malacology: Mollusks [Molluscs], land and freshwater. Number of species: 240",Information from accession book. Verbatim received from agent: W.W. Calkins William W.,4000
Done,61,William Wirt Calkins,1893,,,Malacology: Marine shells.,Information from accession book. Verbatim received from agent: W.W. Calkins William W.,4000
Done,75,Henry Vendreyes,1893,,,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: H. Vendreyes,300
Done,77,J. W. Velie,1893,,,"Malacology: Whelks, baby.","Information from accession book. Note in Accession File and copy in Gifts-1893. Note found in specimens describing how pod containing whelks was found, this had accession number written on back. Verbatim received from agent: J.W. Velie",
Done,81,,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book.. Verbatim agency associated with: Smithsonian Institution,1000
Done,200,E. H. Ashmun,1898,2,16,Malacology: Land mollusks [molluscs]; Shells (land and freshwater) and slugs.,Information from accession book. Verbatim received from agent: E.H. Ashmun. Correspondence found relating to a specimen exchange with Ashmun. Temporary accession number 1898.2 assigned in relation to exchange correspondence until it was determined that it was connected to this record in the accession book. (D.Roberts) ,100
Done,269,unknown,1893,,,Malacology: Lampsilis luteola.,Information from accession book. Verbatim received from agent: unknown,8
Done,270,unknown,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: unknown,50
Done,281,George H. Laflin,1893,,,Malacology: Muricidae.,All Types. Information from accession book. Verbatim received from agent: George H. Laflin,12
Done,284,J. S. Kingsley,1882,6,1,"Malacology, Entomology, Paleontology, Arachnology, Invertebrates: Worms, etc. [insects, shells, spiders, Polyzoa, fossils, marine invertebrates].",Information from accession book. Correspondence in Accession file and copies in Gifts-1882. Verbatim received from agent: J.S. Kingsley. Verbatim agency associated with: Boston Society of Natural History,20
Done,285,A. O. Lentheusser,1893,,,Malacology: Baroque Pearls and Unio.,Information from accession book. Verbatim received from agent: A.O. Lentheuser,4
Done,300,Frank Collins Baker,1893,,,Malacology: Echinoderms.,"Origin of material: North Atlantic Ocean. Associated with CHAS catalog numbers Paleontology: 2361, 3165, 3167. Information from accession book. Verbatim received from agent: F.C. Baker",10
Done,308,Frank E. Fleming,1893,,,"Malacology: Anodonta grandis [Pyganodon Grandis, Giant Floater]",Information from accession book. Verbatim received from agent: Frank E. Flemming,3
Done,311,W. S. Strode,1893,,,Malacology: Pelecypods [bivalves].,Information from accession book. Verbatim received from agent: W.S. Strode,3
Done,312,C. E. Doolittle,1893,,,Malacology: Valvata sincera.,Information from accession book. Verbatim received from agent: C.E. Doolittle,10
Done,316,Frederick Stearns,1893,,,Malacology: Mollusks [Molluscs].,Polished. Information from accession book. Verbatim received from agent: Frederick Stearns,6
Done,317,Frederick Stearns,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Frederick Stearns,3
Done,318,Frederick Stearns,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Frederick Stearns,3
Done,330,S. H. Peabody,1893,,,Malacology: Land shells.,Information from accession book. Verbatim received from agent: S.H. Peabody,15
Done,331,unknown,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mr. Wilson,5
Done,332,P. Van Schaack,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: P. Van Schaack,10
Done,341,Arthur Compton,1893,,,Malacology: Marine mollusks [molluscs].,Information from accession book. Verbatim received from agent: Arthur Compton,5
Done,350,Amelia Walson,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mrs. Amelia Walson,5
Done,358,,1893,,,Malacology: Echinoderms.,Information from accession book.. Verbatim agency associated with: U.S. Fish Commission,50
Done,360,,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book.. Verbatim agency associated with: U.S. Fish Commission,50
