GUID,ACCN,TAXON_NAME,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,COLLECTOR_AGENT_1,COLLECTOR_AGENT_2,PART_LOT_COUNT_1,PART_DISPOSITION_1,Identification 1,Identification 2,Identification 3,Type status (not on Arctos),Reference (not on Arctos),Figured Specimens (not on Arctos)
CHAS:Inv:23936,[CHAS:Mamm]accession unknown,Acella haldemani,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Kent County","Grand Rapids, Reeds Lake",FROM SPECIMEN: Reeds Lake,unknown,,1,in collection,,,,,,plate 18 figure 1
CHAS:Inv:23990,[CHAS:Mamm]accession unknown,Acella haldemani,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Kent County","Grand Rapids, Reeds Lake",FROM SPECIMEN: Reeds lake,unknown,,2,in collection,,,,,,"plate 26, figure 3-4"
CHAS:Inv:23909,[CHAS:Mamm]accession unknown,Acella haldemani,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Kent County",Grand Rapids,FROM SPECIMEN: Grand Rapids,unknown,,2,in collection,,,,,,"plate 26, figure 1-2"
CHAS:Inv:23583,[CHAS:Mamm]783,Acella sp.,"Gastropod. ""On back of label ""= exact example of portlandia"" (Baker often used scrap paper for labels, so this may not have anything to do with the specimen).""",[no date recorded],1800,2017-07-01,"North America, United States, Indiana, Lake County",Berry Lake,FROM SPECIMEN: Berry Lake,William K. Higley,,1,in collection,,,,,,"plate 37, figure 1"
CHAS:Inv:17664,[CHAS:Mamm]accession unknown,Actinonaias ligamentina,Freshwater Mussel.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,"FIGURE. UNIO LIGAMENTINEUS SHOWING DIFFERENT PARTS OF INTERIOR OF SHELL. A, Anterior end; P, posterior end; D, dorsal margin; V, ventral margin. Aa, anterior adductor muscle scar; ar, anterior retractor muscle scar; c, cavity of the beaks; ct, cardinal teeth; hp, hinge plate; lt, lateral teeth; pl, pallial line; pa, posterior adductor muscle scar; pr, posterior retractor muscle scar; pp, protactor pedis muscle scar; u, umbo"
CHAS:Inv:7731,[CHAS:Mamm]783,Stylaster profundus,Gastropod.,1888,1888-01-01,1888-12-31,"North America, United States, Illinois, Cook County","Wolf Lake, nearby woods",FROM SPECIMEN: Woods near Wolf Lake; FROM ORIGINAL CATALOG BOOK: Woods near Wolf Lake,William K. Higley,,4,in collection,Allogona profunda,Allopora profunda,Polygyra profunda,,,1 deformed specimen figured by Baker 1902
CHAS:Inv:21028,[CHAS:Mamm]2262,Amnicola augustina,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Alabama, Colbert County",Tuscumbia,"FROM SPECIMEN: Tuscumbia, Spring; FROM ORIGINAL CATALOG BOOK: Spring, Tuseumbia, Alabama",unknown,,7,in collection,,,,topotype,,
CHAS:Inv:20940,[CHAS:Mamm]2058,Ampullaria miamiensis,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Florida, Miami-Dade County",creek near Miami,"FROM SPECIMEN: Creek Near Miami; FROM ORIGINAL CATALOG BOOK: Creek near Miami, Florida",Henry A. Pilsbry,,6,in collection,,,,topotype,,
CHAS:Inv:10037,[CHAS:Mamm]accession unknown,Lunarca ovalis,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Arca pexata,,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:17680,[CHAS:Mamm]accession unknown,Arctica islandica,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:17693,[CHAS:Mamm]accession unknown,Asaphis deflorata,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:5079,[CHAS:Mamm]200,Ashmunella ashmuni,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New Mexico, Sandoval County",Bland,"FROM SPECIMEN: Bland; FROM ORIGINAL CATALOG BOOK: Bland, N. [New] Mexico",E. H. Ashmum,,2,in collection,Ashmunella ashmuni robusta,,,topotype,,
CHAS:Inv:20772,[CHAS:Mamm]1975,Ashmunella levettei,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Arizona, Pima County","Cornado National Forest, Sabino Canyon, Bear Canyon","FROM SPECIMEN: Bear Canyon; FROM ORIGINAL CATALOG BOOK: Bear Canyon, Arizona, 6500 ft",James H. Ferriss,,4,in collection,,,,topotype,,
